Sample ID,5_Granby_00001
Species,5_Granby
Subgroup,5_Granby
Group,5_Granby
Library,EXM_MRS
Sample Description,Sample 5
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
990.0,0.157004
991.0,0.157111
992.0,0.157222
993.0,0.157335
994.0,0.157452
995.0,0.157566
996.0,0.157675
997.0,0.15778499999999998
998.0,0.157894
999.0,0.158003
1000.0,0.158112
1001.0,0.158221
1002.0,0.15833
1003.0,0.158438
1004.0,0.158547
1005.0,0.158657
1006.0,0.158774
1007.0,0.15889699999999998
1008.0,0.159017
1009.0,0.159126
1010.0,0.159214
1011.0,0.159285
1012.0,0.159357
1013.0,0.159448
1014.0,0.15957000000000002
1015.0,0.15971
1016.0,0.159861
1017.0,0.160014
1018.0,0.16018000000000002
1019.0,0.16035900000000003
1020.0,0.16052499999999997
1021.0,0.16065200000000002
1022.0,0.160715
1023.0,0.160735
1024.0,0.16075
1025.0,0.160796
1026.0,0.16087900000000002
1027.0,0.16097899999999998
1028.0,0.161091
1029.0,0.161207
1030.0,0.161339
1031.0,0.161483
1032.0,0.16161799999999998
1033.0,0.161724
1034.0,0.161788
1035.0,0.161831
1036.0,0.161876
1037.0,0.161944
1038.0,0.162036
1039.0,0.16214099999999998
1040.0,0.162254
1041.0,0.16237200000000002
1042.0,0.16250299999999998
1043.0,0.16264
1044.0,0.162772
1045.0,0.162889
1046.0,0.162988
1047.0,0.16308
1048.0,0.163178
1049.0,0.163296
1050.0,0.163434
1051.0,0.163581
1052.0,0.16372699999999998
1053.0,0.16386399999999998
1054.0,0.163996
1055.0,0.16412500000000002
1056.0,0.164249
1057.0,0.16436499999999998
1058.0,0.16447199999999998
1059.0,0.164576
1060.0,0.164681
1061.0,0.164794
1062.0,0.16491299999999998
1063.0,0.165034
1064.0,0.165152
1065.0,0.165263
1066.0,0.165367
1067.0,0.165471
1068.0,0.16558299999999998
1069.0,0.16570900000000002
1070.0,0.165845
1071.0,0.16598600000000002
1072.0,0.166129
1073.0,0.16627099999999997
1074.0,0.166414
1075.0,0.166562
1076.0,0.16672
1077.0,0.16689299999999999
1078.0,0.16707799999999998
1079.0,0.167267
1080.0,0.167448
1081.0,0.167621
1082.0,0.167789
1083.0,0.16795400000000002
1084.0,0.16811399999999999
1085.0,0.168267
1086.0,0.168414
1087.0,0.16856200000000002
1088.0,0.168718
1089.0,0.168883
1090.0,0.169053
1091.0,0.16922399999999999
1092.0,0.169393
1093.0,0.169564
1094.0,0.16973500000000002
1095.0,0.1699
1096.0,0.17005199999999998
1097.0,0.170192
1098.0,0.170323
1099.0,0.170449
1100.0,0.170573
1101.0,0.17069099999999998
1102.0,0.170806
1103.0,0.17092600000000002
1104.0,0.17105499999999998
1105.0,0.171187
1106.0,0.171326
1107.0,0.171478
1108.0,0.171651
1109.0,0.171848
1110.0,0.172053
1111.0,0.17225300000000002
1112.0,0.172436
1113.0,0.17260899999999998
1114.0,0.172778
1115.0,0.172949
1116.0,0.173122
1117.0,0.17329699999999998
1118.0,0.17347100000000001
1119.0,0.173645
1120.0,0.17381900000000003
1121.0,0.173995
1122.0,0.174168
1123.0,0.17433099999999999
1124.0,0.174473
1125.0,0.174602
1126.0,0.174738
1127.0,0.17490100000000003
1128.0,0.175102
1129.0,0.17532499999999998
1130.0,0.175555
1131.0,0.17577500000000001
1132.0,0.175988
1133.0,0.17620000000000002
1134.0,0.17640699999999998
1135.0,0.176608
1136.0,0.176802
1137.0,0.17699
1138.0,0.177177
1139.0,0.177366
1140.0,0.177559
1141.0,0.17775
1142.0,0.177935
1143.0,0.178109
1144.0,0.178272
1145.0,0.178429
1146.0,0.178584
1147.0,0.17874199999999998
1148.0,0.178902
1149.0,0.179059
1150.0,0.179207
1151.0,0.17934
1152.0,0.17945699999999998
1153.0,0.17957
1154.0,0.17969000000000002
1155.0,0.179819
1156.0,0.17995
1157.0,0.18009
1158.0,0.180251
1159.0,0.18043900000000002
1160.0,0.18064800000000003
1161.0,0.180871
1162.0,0.181097
1163.0,0.181324
1164.0,0.181559
1165.0,0.1818
1166.0,0.182049
1167.0,0.182307
1168.0,0.182573
1169.0,0.182843
1170.0,0.183114
1171.0,0.183397
1172.0,0.18368099999999998
1173.0,0.18395399999999998
1174.0,0.18420000000000003
1175.0,0.184423
1176.0,0.18462900000000002
1177.0,0.18482600000000002
1178.0,0.185018
1179.0,0.185194
1180.0,0.185367
1181.0,0.185551
1182.0,0.185758
1183.0,0.185979
1184.0,0.18621300000000002
1185.0,0.186458
1186.0,0.18672
1187.0,0.18700299999999997
1188.0,0.187288
1189.0,0.187556
1190.0,0.187796
1191.0,0.188018
1192.0,0.18823399999999998
1193.0,0.188453
1194.0,0.18868
1195.0,0.188908
1196.0,0.189135
1197.0,0.189358
1198.0,0.189575
1199.0,0.18978899999999999
1200.0,0.19000599999999998
1201.0,0.19023199999999998
1202.0,0.190471
1203.0,0.190715
