filter_id,cwl,fwhm,snr
S060,1180.78297699,10.7704791418,20300.0
S061,1186.16821657,10.7235573402,20300.0
S062,1191.52999524,10.7315298808,20203.2801143
S063,1196.89576018,10.741258326,20074.5017558
S064,1202.26638934,10.7509260772,19945.6066559
S065,1207.64185238,10.7605336349,19816.5955429
S066,1213.0221192,10.7700814947,19720.8847678
S067,1218.40715994,10.7795701477,19936.2863977
S068,1223.79694502,10.7878559636,20151.8778007
S069,1229.190873,10.7948475923,20267.053968
S070,1234.58829679,10.8017915584,20353.4127487
S071,1239.98919257,10.808688313,20400.0
S072,1245.39353673,10.815538302,20400.0
S073,1250.80130588,10.8223419659,20400.0
S074,1256.21247686,10.8292209026,20400.0
S075,1261.62708732,10.857436018,20400.0
S076,1267.05580532,10.8856286459,20363.5535574
S077,1272.49861965,10.9137984697,20320.0110428
S078,1277.95551888,10.9419451754,20276.3558489
S079,1283.42649147,10.970068451,20232.5880682
S080,1288.9115257,10.9981679872,20177.4155889
S081,1294.41060969,11.0125831689,20089.430245
S082,1299.91690127,11.0177379046,20001.3295796
S083,1305.42577023,11.0228563074,19913.1876764
S084,1310.93719838,11.0279387418,19825.0048259
S085,1316.45116775,11.0329855675,19705.171974
S086,1321.96766053,11.0379971399,19572.7761472
S087,1327.4866591,11.0536729115,19440.3201815
S088,1333.01349556,11.1106410732,19307.6761066
S089,1338.5688161,11.1680161925,19165.7978849
S090,1344.15282419,11.2258024667,18987.1096258
S091,1349.76572543,11.2840041526,18807.4967864
S092,1355.4077275,11.3426255676,18583.6908999
S093,1361.07904029,11.4016710911,18356.8383886
S094,1366.77987583,11.3738741074,18163.0439734
S095,1372.46681289,11.3332335751,17981.0619877
S096,1378.13342967,11.2933561849,17849.8651252
S097,1383.78010777,11.2542187647,17759.5182758
S098,1389.40721715,11.2157991119,17669.4845256
S099,1395.0151167,11.1780759422,17579.7581327
S100,1400.60415467,11.1871913691,17500.0
S101,1406.19775036,11.231065151,17500.0
S102,1411.81328293,11.2751046748,17500.0
S103,1417.45083527,11.3193105172,17222.7532248
S104,1423.11049053,11.3636832569,16905.8125303
S105,1428.79233216,11.408223474,16617.9680564
S106,1434.4964439,11.4458858749,16344.170693
S107,1440.21938683,11.4644221369,16287.0203787
S108,1445.9515979,11.4829008977,16470.4511329
S109,1451.69304835,11.5013222602,16681.2663208
S110,1457.44370948,11.5196863288,16957.2980551
S111,1463.20355265,11.5379932093,17194.3715788
S112,1468.97254925,11.5557158315,17148.219606
S113,1474.75040717,11.5682910872,17101.9967427
S114,1480.53455271,11.5808088395,17055.7235783
S115,1486.32495713,11.5932693981,17009.400343
S116,1492.12159183,11.6056730714,17000.0
S117,1497.92442836,11.6180201663,17000.0
S118,1503.73343845,11.631103192,16970.1324924
S119,1509.54899004,11.6687420228,16923.6080797
S120,1515.38336105,11.7064551107,16807.7324463
S121,1521.23658861,11.7442423247,16620.4291645
S122,1527.10870977,11.7821035324,16466.2606436
S123,1532.99976154,11.8200385998,16372.0038154
S124,1538.90978084,11.8579935298,16311.2782467
S125,1544.8387776,11.8956558778,16358.7102208
S126,1550.78660554,11.9333868682,16355.9500896
S127,1556.75329898,11.9711863373,16021.8152573
S128,1562.73889214,12.0090541196,15690.4443142
S129,1568.7434192,12.0469900485,15450.2632318
S130,1574.76691423,12.0796254636,15209.3234308
S131,1580.80672696,12.1034207191,15200.0
S132,1586.85843732,12.1271743104,15200.0
S133,1592.92202448,12.1508861282,14983.119021
S134,1598.99746754,12.1745560652,14740.1012984
S135,1605.08474557,12.1981840165,14577.9661063
S136,1611.18383758,12.2545245455,14431.5878981
S137,1617.31109985,12.3182982135,14476.9775976
S138,1623.47024896,12.3825834437,14575.5239834
