filter_id,cwl,fwhm,snr
S075,1000.69125729,10.0054631506,19405.5300583
S076,1002.35883448,10.02471145,19418.8706758
S077,1004.02961972,10.0440067007,19432.2369578
S078,1005.70362084,10.063349058,19445.6289667
S079,1007.38084568,10.0827386781,19459.0467654
S080,1009.06130213,10.1021757177,19472.490417
S081,1010.74499808,10.1216603342,19485.9599846
S082,1012.43194147,10.1411926857,19499.4555317
S083,1014.12214025,10.160772931,19500.0
S084,1015.8156024,10.1804012298,19500.0
S085,1017.51233594,10.1974454471,19500.0
S086,1019.21191018,10.2100078488,19500.0
S087,1020.91357816,10.2225747143,19500.0
S088,1022.61734061,10.2351460229,19500.0
S089,1024.32319828,10.247721754,19500.0
S090,1026.03115191,10.2603018868,19508.2492153
S091,1027.74120222,10.2728864006,19521.9296178
S092,1029.45334995,10.2854752746,19535.6267996
S093,1031.16759583,10.2980684882,19549.3407667
S094,1032.88394058,10.3106660205,19563.0715247
S095,1034.60238492,10.3232678508,19576.8190793
S096,1036.32292956,10.3358739583,19590.5834365
S097,1038.04557522,10.3484843221,19604.3646018
S098,1039.77032261,10.3610989216,19618.1625809
S099,1041.49717243,10.3737177358,19631.9773794
S100,1043.22612538,10.3863407439,19645.8090031
S101,1044.95718217,10.3989679251,19659.6574574
S102,1046.69034349,10.4115992586,19673.522748
S103,1048.42561004,10.4242347234,19687.4048803
S104,1050.16298249,10.4368742987,19700.0
S105,1051.90246154,10.4421981549,19700.0
S106,1053.6428279,10.4466840065,19700.0
S107,1055.3839419,10.4511608201,19700.0
S108,1057.12580204,10.4556286181,19700.0
S109,1058.86840681,10.4600874224,19700.0
S110,1060.61175471,10.4645372553,19700.0
S111,1062.35584425,10.4689781387,19700.0
S112,1064.10067394,10.4734100947,19712.8053916
S113,1065.84624229,10.4778331451,19726.7699383
S114,1067.59254782,10.4822473118,19740.7403825
S115,1069.33958904,10.4866526168,19754.7167123
S116,1071.08736447,10.4910490817,19768.6989158
S117,1072.83587265,10.4954367283,19782.6869812
S118,1074.58511211,10.4998155782,19796.6808969
S119,1076.33508137,10.5041856532,19810.680651
S120,1078.08577898,10.5085469747,19824.6862318
S121,1079.83720347,10.5128995643,19838.6976278
S122,1081.5893534,10.5172434435,19852.7148272
S123,1083.34222731,10.5215786336,19866.7378185
S124,1085.09582375,10.5239228805,19880.76659
S125,1086.8498109,10.5248762547,19894.7984872
S126,1088.60395694,10.5258268145,19908.8316555
S127,1090.35826141,10.5267745723,19922.8660913
S128,1092.11272384,10.52771954,19936.9017907
S129,1093.86734376,10.5286617297,19950.9387501
S130,1095.62212071,10.5296011535,19964.9769657
S131,1097.37705424,10.5305378231,19979.0164339
S132,1099.13214388,10.5314717504,19993.057151
S133,1100.88738917,10.5324029473,20007.0991133
S134,1102.64278966,10.5333314254,20021.1423173
S135,1104.3983449,10.5342571963,20035.1867592
S136,1106.15405443,10.5351802716,20049.2324354
S137,1107.90991781,10.5361006629,20063.2793425
S138,1109.66593459,10.5370183816,20077.3274767
S139,1111.42210432,10.537933439,20091.3768345
S140,1113.17842656,10.5388458465,20105.4274124
S141,1114.93490086,10.5397556153,20119.4792069
S142,1116.6915268,10.5406627567,20133.5322144
S143,1118.44830393,10.5537548773,20147.5864314
S144,1120.20726307,10.5790711951,20161.6581046
S145,1121.9704416,10.6044901897,20175.7635328
S146,1123.73785664,10.6300125145,20189.9028531
S147,1125.50952539,10.6556388289,20204.0762031
S148,1127.28546519,10.6813697982,20218.2837215
S149,1129.06569349,10.7072060934,20232.5255479
S150,1130.85022784,10.7331483918,20246.8018227
S151,1132.63908591,10.7591973765,20261.1126873
S152,1134.43228547,10.785353737,20275.4582838
S153,1136.22984443,10.8116181688,20289.8387554
S154,1138.03178079,10.8379913738,20300.0
S155,1139.83811268,10.8644740603,20300.0
S156,1141.64885836,10.8910669428,20300.0
S157,1143.46403618,10.9177707425,20300.0
S158,1145.28366464,10.9445861872,20300.0
S159,1147.10776234,10.9715140113,20300.0
S160,1148.93634801,10.998554956,20300.0
