filter_id,cwl,fwhm,snr
S092,1416.94870714,14.1694870714,1302.82258065
S093,1424.03345068,14.2403345068,1295.16129032
S094,1431.15361793,14.3115361793,1287.5
S095,1438.30938602,14.3830938602,1279.83870968
S096,1445.50093295,14.4550093295,1272.17741935
S097,1452.72843761,14.5272843761,1264.51612903
S098,1459.9920798,14.599920798,1256.85483871
S099,1467.2920402,14.672920402,1249.19354839
S100,1474.6285004,14.746285004,1241.53225806
S101,1482.0016429,14.820016429,1233.87096774
S102,1489.41165112,14.8941165112,1226.20967742
S103,1496.85870938,14.9685870938,1218.5483871
S104,1504.34300292,15.0434300292,1210.88709677
S105,1511.86471794,15.1186471794,1203.22580645
S106,1519.42404153,15.1942404153,1195.56451613
S107,1527.02116173,15.2702116173,1187.90322581
S108,1534.65626754,15.3465626754,1180.24193548
S109,1542.32954888,15.4232954888,1172.58064516
S110,1550.04119662,15.5004119662,1164.91935484
S111,1557.79140261,15.5779140261,1157.25806452
S112,1565.58035962,15.6558035962,1149.59677419
S113,1573.40826142,15.7340826142,1141.93548387
S114,1581.27530273,15.8127530273,1134.27419355
S115,1589.18167924,15.8918167924,1126.61290323
S116,1597.12758764,15.9712758764,1118.9516129
S117,1605.11322557,16.0511322557,1111.29032258
S118,1613.1387917,16.131387917,1103.62903226
S119,1621.20448566,16.2120448566,1095.96774194
S120,1629.31050809,16.2931050809,1088.30645161
S121,1637.45706063,16.3745706063,1080.64516129
S122,1645.64434593,16.4564434593,1072.98387097
S123,1653.87256766,16.5387256766,1065.32258065
S124,1662.1419305,16.621419305,1057.66129032
S125,1670.45264015,16.7045264015,1050.0
S126,1678.80490335,16.7880490335,1042.33870968
S127,1687.19892787,16.8719892787,1034.67741935
S128,1695.63492251,16.9563492251,1027.01612903
S129,1704.11309712,17.0411309712,1019.35483871
S130,1712.63366261,17.1263366261,1011.69354839
S131,1721.19683092,17.2119683092,1004.03225806
S132,1729.80281508,17.2980281508,996.370967742
S133,1738.45182915,17.3845182915,988.709677419
S134,1747.1440883,17.471440883,981.048387097
S135,1755.87980874,17.5587980874,973.387096774
S136,1764.65920778,17.6465920778,965.725806452
S137,1773.48250382,17.7348250382,958.064516129
S138,1782.34991634,17.8234991634,950.403225806
