Data ID,bir2jbg60a
Sample ID,JB-JLB-G60-A
Mineral Name,halite
Sample Description,"Halite medium grains (JB1660a, Melissa Lane SL6)"
Date Added,2017-06-02
Viewing Geometry,            i=NA deg             e=NA deg
Other Information,Instrument name: Thermo Nicolet Nexus 870 FTIR with Pike AutoDiff Diffuse Reflectance Accessory;                         Range: 833.4 - 99718.8 nm;                         Mineral Group: halide
Grain Size,0 - 250 micrometer
Database of Origin,RELAB
Wavelength,Response
871.2,0.53548
871.3,0.53615
871.3,0.5375
871.4,0.53723
871.5,0.53866
871.5,0.53939
871.6,0.53807
871.7,0.5367
871.8,0.53698
871.8,0.53836
871.9,0.53715
872.0,0.53495
872.0,0.53565
872.1,0.53859
872.2,0.53913
872.3,0.53729
872.3,0.53789
872.4,0.53856
872.5,0.53589
872.6,0.53535
872.6,0.53807
872.7,0.53897
872.8,0.53783
872.9,0.53738
872.9,0.53811
873.0,0.53816
873.1,0.53815
873.2,0.53781
873.2,0.53602
873.3,0.53551
873.4,0.53566
873.5,0.53565
873.5,0.53515
873.6,0.53514
873.7,0.53516
873.7,0.53492
873.8,0.53546
873.9,0.5337
874.0,0.53438
874.0,0.53669
874.1,0.53633
874.2,0.53465
874.3,0.53464
874.3,0.53574
874.4,0.53609
874.5,0.53505
874.5,0.53533
874.6,0.5362
874.7,0.53379
874.8,0.53483
874.8,0.53781
874.9,0.53866
875.0,0.53748
875.1,0.53554
875.1,0.53426
875.2,0.53458
875.3,0.53553
875.4,0.53529
875.4,0.53426
875.5,0.53406
875.6,0.53396
875.7,0.53383
875.7,0.53421
875.8,0.53538
875.9,0.53642
876.0,0.53549
876.0,0.53374
876.1,0.53451
876.2,0.53522
876.3,0.53502
876.3,0.53378
876.4,0.53213
876.5,0.53441
876.5,0.53442
876.6,0.5317
876.7,0.53225
876.8,0.53424
876.8,0.53281
876.9,0.53171
877.0,0.53234
877.1,0.53359
877.1,0.53398
877.2,0.53519
877.3,0.53534
877.4,0.53438
877.4,0.53404
877.5,0.53355
877.6,0.53358
877.7,0.53482
877.7,0.5346
877.8,0.53293
877.9,0.5317
878.0,0.53186
878.0,0.53344
878.1,0.53363
878.2,0.53308
878.3,0.53317
878.3,0.5328
878.4,0.53237
878.5,0.53207
878.5,0.53165
878.6,0.53111
878.7,0.53042
878.8,0.53126
878.8,0.532
878.9,0.53142
879.0,0.5315
879.1,0.53232
879.2,0.53263
879.2,0.53277
879.3,0.53305
879.4,0.53182
879.5,0.53239
879.5,0.53444
879.6,0.53369
879.7,0.53316
879.7,0.53319
879.8,0.53145
879.9,0.5301
880.0,0.53125
880.0,0.53151
880.1,0.52982
880.2,0.53149
880.3,0.53201
880.3,0.53092
880.4,0.53052
880.5,0.532
880.6,0.53289
880.6,0.53314
880.7,0.53161
880.8,0.53109
880.9,0.53056
880.9,0.52947
881.0,0.52974
881.1,0.53052
881.2,0.53089
881.2,0.53164
881.3,0.53172
881.4,0.53164
881.5,0.53194
881.5,0.53125
881.6,0.53047
881.7,0.53128
881.8,0.5319
881.8,0.53032
881.9,0.5294
882.0,0.5293
882.1,0.52897
882.1,0.52879
882.2,0.52883
882.3,0.52984
882.4,0.53064
882.4,0.52926
882.5,0.52938
882.6,0.52966
882.7,0.52981
882.7,0.52891
882.8,0.52842
882.9,0.52926
883.0,0.53063
883.0,0.5308
883.1,0.52939
883.2,0.52891
883.3,0.52991
883.3,0.52906
883.4,0.5287
883.5,0.52854
883.6,0.52771
883.6,0.52926
883.7,0.52963
883.8,0.53007
883.9,0.53016
883.9,0.52879
884.0,0.52718
884.1,0.52667
884.2,0.52762
884.2,0.52782
884.3,0.52789
884.4,0.52731
884.5,0.52707
884.5,0.52718
884.6,0.52779
884.7,0.52755
884.8,0.52684
884.8,0.52626
884.9,0.52665
885.0,0.52804
885.1,0.52826
885.2,0.52825
885.2,0.52908
885.3,0.52752
885.4,0.52572
885.5,0.52686
885.5,0.52858
885.6,0.52948
885.7,0.52918
885.8,0.52785
885.8,0.52583
885.9,0.5254
886.0,0.52626
886.0,0.52657
886.1,0.52759
886.2,0.52799
886.3,0.52818
886.4,0.52807
886.4,0.52768
886.5,0.52624
886.6,0.52609
886.7,0.5253
886.7,0.52439
886.8,0.52565
886.9,0.52702
887.0,0.52842
887.0,0.52808
887.1,0.52756
887.2,0.52701
887.3,0.5273
887.3,0.52556
887.4,0.52444
887.5,0.52457
887.6,0.52347
887.7,0.52358
887.7,0.52446
887.8,0.52378
887.9,0.52462
888.0,0.52506
888.0,0.52394
888.1,0.52403
888.2,0.52323
888.3,0.52294
888.3,0.52527
888.4,0.52614
888.5,0.52526
888.6,0.52433
888.6,0.52364
888.7,0.52378
888.8,0.52481
888.9,0.52446
888.9,0.52413
889.0,0.52439
889.1,0.5239
889.2,0.52317
889.2,0.52342
889.3,0.5237
889.4,0.52523
889.5,0.52471
889.5,0.52396
889.6,0.52373
889.7,0.52256
889.8,0.52156
889.8,0.52415
889.9,0.5252
890.0,0.5236
890.1,0.52292
890.2,0.52351
890.2,0.523
890.3,0.5234
890.4,0.52378
890.5,0.52256
890.5,0.5234
890.6,0.5245
890.7,0.52558
890.8,0.52555
890.8,0.5245
890.9,0.52393
891.0,0.52349
891.1,0.52377
891.2,0.52334
891.2,0.52299
891.3,0.52242
891.4,0.52194
891.5,0.52161
891.5,0.52241
891.6,0.52279
891.7,0.5214
891.8,0.52121
891.8,0.52116
891.9,0.52107
892.0,0.52273
892.1,0.52313
892.2,0.52251
892.2,0.52082
892.3,0.52113
892.4,0.52151
892.5,0.5194
892.5,0.51895
892.6,0.52028
892.7,0.52148
892.8,0.52192
892.8,0.52071
892.9,0.5202
893.0,0.52088
893.1,0.52026
893.2,0.51899
893.2,0.51872
893.3,0.51958
893.4,0.52131
893.5,0.52216
893.5,0.52168
893.6,0.51953
893.7,0.51772
893.8,0.51932
893.8,0.52033
893.9,0.51993
894.0,0.51933
894.1,0.52005
894.2,0.51992
894.2,0.51937
894.3,0.51941
894.4,0.51976
894.5,0.52007
894.5,0.52096
894.6,0.52067
894.7,0.5202
894.8,0.51895
894.8,0.51805
894.9,0.51828
895.0,0.51983
895.1,0.52056
895.2,0.52008
895.2,0.51888
895.3,0.51967
895.4,0.52004
895.5,0.51948
895.5,0.51837
895.6,0.51946
895.7,0.52008
895.8,0.52037
895.8,0.52101
895.9,0.5195
896.0,0.5191
896.1,0.51889
896.2,0.51873
896.2,0.51872
896.3,0.51845
896.4,0.51779
896.5,0.51808
896.5,0.5173
896.6,0.51778
896.7,0.51959
896.8,0.51991
896.8,0.51983
896.9,0.5195
897.0,0.51842
897.1,0.51853
897.2,0.51883
897.2,0.51908
897.3,0.5182
897.4,0.5172
897.5,0.5169
897.5,0.51795
897.6,0.51799
897.7,0.51754
897.8,0.51793
897.9,0.51799
897.9,0.51724
898.0,0.51668
898.1,0.51749
898.2,0.51739
898.3,0.51656
898.3,0.51705
898.4,0.51757
898.5,0.51686
898.6,0.51728
898.6,0.51666
898.7,0.5162
898.8,0.51644
898.9,0.51743
899.0,0.51833
899.0,0.51787
899.1,0.51719
899.2,0.51743
899.3,0.51703
899.3,0.51666
899.4,0.51697
899.5,0.51755
899.6,0.51691
899.7,0.5163
899.7,0.51776
899.8,0.51843
899.9,0.51657
900.0,0.51582
900.0,0.51656
900.1,0.51644
900.2,0.51582
900.3,0.51611
900.4,0.51689
900.4,0.5163
900.5,0.51584
900.6,0.51469
900.7,0.51486
900.8,0.51497
900.8,0.51517
900.9,0.51611
901.0,0.51639
901.1,0.517
901.1,0.51686
901.2,0.51654
901.3,0.51593
901.4,0.51473
901.5,0.51495
901.5,0.5148
901.6,0.51482
901.7,0.51538
901.8,0.51421
901.8,0.51357
901.9,0.51363
902.0,0.51434
902.1,0.51511
902.2,0.51487
902.2,0.51481
