Sample ID,11_Iceland_00003
Species,11_Iceland
Subgroup,11_Iceland
Group,11_Iceland
Library,EXM_MRS
Sample Description,Sample 11
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,50,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
560.0,0.10498900000000001
561.0,0.105045
562.0,0.105134
563.0,0.105203
564.0,0.10525999999999999
565.0,0.10535299999999999
566.0,0.105415
567.0,0.105458
568.0,0.105508
569.0,0.10557499999999999
570.0,0.105642
571.0,0.10569800000000001
572.0,0.10576599999999999
573.0,0.10584099999999999
574.0,0.10592
575.0,0.105991
576.0,0.106068
577.0,0.106148
578.0,0.10621499999999999
579.0,0.106287
580.0,0.10634600000000001
581.0,0.10635199999999999
582.0,0.10640100000000001
583.0,0.10645099999999999
584.0,0.10646000000000001
585.0,0.106459
586.0,0.106453
587.0,0.106452
588.0,0.106491
589.0,0.106509
590.0,0.106503
591.0,0.106515
592.0,0.106509
593.0,0.106503
594.0,0.10651999999999999
595.0,0.10653399999999999
596.0,0.10655300000000001
597.0,0.106579
598.0,0.106585
599.0,0.1066
600.0,0.106624
601.0,0.10662699999999999
602.0,0.10663399999999999
603.0,0.10665200000000001
604.0,0.106694
605.0,0.106718
606.0,0.106727
607.0,0.106722
608.0,0.106727
609.0,0.10671699999999999
610.0,0.106697
611.0,0.10670600000000001
612.0,0.106715
613.0,0.106715
614.0,0.10669100000000001
615.0,0.106664
616.0,0.106632
617.0,0.10660399999999999
618.0,0.10663600000000001
619.0,0.10663500000000001
620.0,0.10660700000000001
621.0,0.106596
622.0,0.10657
623.0,0.106557
624.0,0.10658799999999999
625.0,0.106616
626.0,0.106623
627.0,0.10661
628.0,0.10660399999999999
629.0,0.106608
630.0,0.10660399999999999
631.0,0.10657299999999999
632.0,0.106528
633.0,0.106517
634.0,0.106557
635.0,0.106579
636.0,0.106596
637.0,0.106593
638.0,0.106543
639.0,0.106531
640.0,0.106539
641.0,0.106556
642.0,0.106572
643.0,0.106608
644.0,0.106646
645.0,0.106655
646.0,0.106671
647.0,0.10665200000000001
648.0,0.106596
649.0,0.106664
650.0,0.106674
651.0,0.10664699999999999
652.0,0.106668
653.0,0.10667
654.0,0.10667199999999999
655.0,0.106679
656.0,0.106677
657.0,0.10670400000000001
658.0,0.106729
659.0,0.106723
660.0,0.10675499999999999
661.0,0.10677500000000001
662.0,0.10678000000000001
663.0,0.106807
664.0,0.10682900000000001
665.0,0.10684300000000001
666.0,0.106847
667.0,0.106816
668.0,0.106823
669.0,0.10686999999999999
670.0,0.106934
671.0,0.10697200000000001
672.0,0.106973
673.0,0.106955
674.0,0.106976
675.0,0.10698
676.0,0.10697200000000001
677.0,0.106959
678.0,0.106945
679.0,0.106958
680.0,0.10697200000000001
681.0,0.106936
682.0,0.10695600000000001
683.0,0.106965
684.0,0.10695
685.0,0.106925
686.0,0.106949
687.0,0.107012
688.0,0.107089
689.0,0.107119
690.0,0.107112
691.0,0.10710800000000001
692.0,0.107141
693.0,0.107137
694.0,0.107101
695.0,0.107066
696.0,0.107084
697.0,0.107096
698.0,0.10714399999999999
699.0,0.107201
700.0,0.10718299999999999
701.0,0.107153
702.0,0.107126
703.0,0.107121
704.0,0.107165
705.0,0.107172
706.0,0.10719
707.0,0.10724700000000001
708.0,0.107285
709.0,0.107281
710.0,0.10726100000000001
711.0,0.107248
712.0,0.10723699999999999
713.0,0.10723
714.0,0.107206
715.0,0.107153
716.0,0.10716300000000001
717.0,0.10715899999999999
718.0,0.107172
719.0,0.107225
720.0,0.107219
721.0,0.10722
722.0,0.107231
723.0,0.10724
724.0,0.107221
725.0,0.10718
726.0,0.10716300000000001
727.0,0.10721299999999999
728.0,0.107224
729.0,0.10724700000000001
730.0,0.10727600000000001
731.0,0.107292
732.0,0.10726100000000001
733.0,0.107273
734.0,0.107271
735.0,0.10722
736.0,0.10721299999999999
737.0,0.107227
738.0,0.10722899999999999
739.0,0.107196
740.0,0.10712300000000001
741.0,0.107104
742.0,0.10710499999999999
743.0,0.107104
744.0,0.107087
745.0,0.10710599999999999
746.0,0.10714399999999999
747.0,0.10715400000000001
748.0,0.107062
749.0,0.10705999999999999
750.0,0.107002
751.0,0.106936
752.0,0.10696
753.0,0.10697200000000001
754.0,0.106906
755.0,0.106823
756.0,0.106777
757.0,0.10676999999999999
758.0,0.106757
759.0,0.106748
760.0,0.106742
761.0,0.106727
762.0,0.10671599999999999
763.0,0.106641
764.0,0.106566
765.0,0.10658
766.0,0.10656800000000001
767.0,0.10653
768.0,0.106459
769.0,0.10638500000000001
770.0,0.10637
771.0,0.10643000000000001
772.0,0.106462
773.0,0.10644999999999999
774.0,0.106409
775.0,0.10634700000000001
776.0,0.10634700000000001
777.0,0.106334
778.0,0.106296
779.0,0.106291
780.0,0.106271
781.0,0.10627
782.0,0.10624700000000001
783.0,0.10618999999999999
784.0,0.106177
785.0,0.106137
786.0,0.10609099999999999
787.0,0.106054
788.0,0.106039
789.0,0.106019
790.0,0.10600300000000001
791.0,0.10596299999999999
792.0,0.105907
793.0,0.105868
794.0,0.105886
795.0,0.105843
796.0,0.105813
797.0,0.105829
798.0,0.105868
799.0,0.10586000000000001
800.0,0.10583999999999999
801.0,0.10580099999999999
802.0,0.105754
803.0,0.105723
804.0,0.105641
805.0,0.10560499999999999
806.0,0.105625
807.0,0.105669
808.0,0.105669
809.0,0.10561
810.0,0.10552
811.0,0.105449
812.0,0.105405
813.0,0.105374
814.0,0.10534700000000001
815.0,0.105307
816.0,0.105265
817.0,0.105203
818.0,0.105129
819.0,0.105107
820.0,0.10509600000000001
821.0,0.10502399999999999
822.0,0.104916
823.0,0.104815
824.0,0.10475899999999999
825.0,0.10470399999999999
826.0,0.104648
827.0,0.104588
828.0,0.104503
829.0,0.104392
830.0,0.104282
831.0,0.104222
832.0,0.104127
833.0,0.10407899999999999
834.0,0.104063
835.0,0.10399699999999999
836.0,0.103821
837.0,0.103707
838.0,0.103591
839.0,0.103489
840.0,0.10343400000000001
841.0,0.10342000000000001
842.0,0.10337500000000001
843.0,0.10323600000000001
844.0,0.103042
845.0,0.102907
846.0,0.10275600000000001
847.0,0.102602
848.0,0.102532
849.0,0.102407
850.0,0.10227399999999999
851.0,0.10210100000000001
852.0,0.10196
853.0,0.10188900000000001
854.0,0.10184599999999999
855.0,0.101719
856.0,0.10154
857.0,0.101518
858.0,0.10134800000000001
859.0,0.101107
860.0,0.10090199999999999
861.0,0.10074
862.0,0.10057100000000001
863.0,0.10039899999999999
864.0,0.10024699999999999
865.0,0.100082
866.0,0.09987399999999999
867.0,0.09969900000000001
868.0,0.09956300000000001
869.0,0.09934599999999999
870.0,0.0992
871.0,0.099069
872.0,0.098812
873.0,0.098596
874.0,0.098422
875.0,0.098192
876.0,0.097907
877.0,0.097697
878.0,0.09749000000000001
879.0,0.097291
880.0,0.097121
881.0,0.096954
882.0,0.096765
883.0,0.096569
884.0,0.09635500000000001
885.0,0.09609999999999999
886.0,0.09583
887.0,0.09557700000000001
888.0,0.09537599999999999
889.0,0.095261
890.0,0.095088
891.0,0.094842
892.0,0.09458899999999999
893.0,0.094358
894.0,0.09416000000000001
895.0,0.094017
896.0,0.093791
897.0,0.093621
898.0,0.093369
899.0,0.093133
900.0,0.09280300000000001
901.0,0.09257
902.0,0.09235099999999999
903.0,0.09212
904.0,0.091905
905.0,0.091679
906.0,0.09141099999999999
907.0,0.091114
908.0,0.09102700000000001
909.0,0.090782
910.0,0.090548
911.0,0.090276
912.0,0.09011100000000001
913.0,0.08984600000000001
914.0,0.089558
915.0,0.089338
916.0,0.089142
917.0,0.088887
918.0,0.08870900000000001
919.0,0.088545
920.0,0.088248
921.0,0.08814
922.0,0.087788
923.0,0.087625
924.0,0.087305
925.0,0.087179
926.0,0.086935
927.0,0.08667
928.0,0.086421
929.0,0.086212
930.0,0.085829
931.0,0.08576700000000001
932.0,0.08566900000000001
933.0,0.085437
934.0,0.08519299999999999
935.0,0.08506
936.0,0.084923
937.0,0.08463
938.0,0.084551
939.0,0.084457
940.0,0.084117
941.0,0.08399100000000001
942.0,0.08372600000000001
943.0,0.083493
944.0,0.083479
945.0,0.08317000000000001
946.0,0.08282199999999999
947.0,0.08270899999999999
948.0,0.082656
949.0,0.082499
950.0,0.08235300000000001
951.0,0.082214
952.0,0.082035
953.0,0.081845
954.0,0.08186600000000001
955.0,0.081482
956.0,0.08123200000000001
957.0,0.08118
958.0,0.08112
959.0,0.080842
960.0,0.080621
961.0,0.08049400000000001
962.0,0.080358
963.0,0.080015
964.0,0.079877
965.0,0.079536
966.0,0.079501
967.0,0.07921700000000001
968.0,0.079264
969.0,0.07911800000000001
970.0,0.078701
971.0,0.07900299999999999
972.0,0.07872799999999999
973.0,0.0785
974.0,0.078211
975.0,0.07802100000000001
976.0,0.078182
977.0,0.078049
978.0,0.07821600000000001
979.0,0.077799
980.0,0.077627
981.0,0.077507
982.0,0.07734200000000001
983.0,0.077165
984.0,0.077003
985.0,0.07685800000000001
986.0,0.076729
987.0,0.076616
988.0,0.076519
