,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1982.67040395,0.9378175042403329,0.8001606713992095,0.9337839962012142,0.89227320592375,0.7189727188768553,0.9597109948896666,0.8105704932047099,0.7412433227249221,0.34313460635597604,0.9045552080251019,0.870818076129385,0.8676244324868552,0.8173253184637771,0.9495386850487578,0.9629385663737775,0.9303266575897023,0.9329580630325612,0.8125586427106001,0.8398137596110266,0.8078954483726907,0.9038753238517275,0.6881311473092979,0.9723470647411919,0.8430673008997949,0.7603290535740552,0.5918311678595201,0.9443667179053901,0.3952033991604488,0.7246368878164218
1991.57932378,0.9470458466942706,0.8469020692711454,0.8446922901979281,0.9365125253411869,0.7822633873175128,0.9378290437155611,0.7852043098880903,0.7945205230386738,0.3488619344276423,0.9549197959691204,0.848585737903827,0.8765960367071892,0.8564778673974439,0.9578518826283776,0.9891358964631563,0.9334640559137495,0.9429261070424374,0.8688333017979802,0.9267228485019066,0.8759172337932657,0.9023873231260894,0.7310438818865889,0.8867144498823524,0.8385982473598501,0.786363848683899,0.613489203749902,0.9370071369407232,0.4325089778648342,0.7134204330056628
2000.48893957,0.9640565888154569,0.9094877240624082,0.9445477722245839,0.9668445007801785,0.7769204229716917,0.9549611668571815,0.8448261254312148,0.7495475616098238,0.3589282417038992,0.9051042192807764,1.0,0.9087742102614134,0.8216757694004612,0.9106129860881854,0.891956003631181,0.9574579592494408,0.9795627666760768,0.9203380954797834,0.8697898123251749,0.9060765738074193,0.9121825372848238,0.7608998996782589,0.9140464727573161,0.8671245799529452,0.8491385663826913,0.659319971727497,0.9073995047351938,0.4200677180032971,0.7472295653192996
2009.39924527,0.8763085532846728,0.876654636574843,0.9089351749227425,0.8791416872047261,0.7695573747701443,0.9720360873801542,0.9594698477114294,0.7899716525371253,0.38432363743076564,0.894595766884907,0.9135841247219776,0.8678488106480898,0.8727925268501158,0.898923994519153,0.9555058965543289,0.9410810143358489,0.9719475531157306,0.8284205379559408,0.8724734645807734,0.9246410575507547,0.8691132928321467,0.773478698267304,0.9811024986190401,0.8263094161599626,0.845171888752988,0.8208552487117259,1.0,0.42933113258408484,0.6940256895822597
2018.31023493,0.9022785490754937,0.8813093691358662,0.8992421540603464,1.0,0.8686946731548942,0.9244103703163468,0.9033628698057358,0.7788253669060484,0.37115181331269165,0.9914535925662256,0.8099468472746237,0.8304351215045643,0.880036359947653,0.9573917128683759,0.9659074795250461,0.9107766118931582,0.9177172860080063,0.9322691850686352,0.8347911960806136,0.8816488134390539,0.922317030010075,0.8154927666922714,0.9628808950138281,0.8271111317954981,0.9459404754003805,0.83813489372348,0.9438255879111019,0.4452121049193673,0.8281589271278689
2027.22190266,0.9558579616943521,0.8090164776602182,0.9052434460907709,0.938075781184562,0.8668686164088677,0.9867430364395219,0.8893329621688582,0.7742153318841974,0.4133247231756228,0.9131567405506198,0.9040643436359789,0.903698373282887,0.834821173207426,0.9010161769808435,0.9734015599904653,0.8925504860242569,0.9178214094135771,0.8880436841556112,0.9198980395222821,0.8854523263747704,0.9334123558285405,0.8571233907391883,1.0,0.8592940677226758,0.9186796235125491,0.8487739783629193,0.9004508080212975,0.4151833003198179,0.7616457720347823
2036.13424266,0.826526645163562,0.8774883596054831,0.9085339896705948,0.9263876458236912,0.8324204756822019,0.9169362169852995,0.9120391301073798,0.7154609481491431,0.3927939931795433,0.9433673031295123,0.8968872804405612,0.8754424902108637,0.8608907038953025,0.9611872688405375,0.9816408997047428,0.9637071648366924,0.9406789114750291,0.8947796032113484,0.922210602738753,0.8669715914275812,0.9207478838803714,0.8671920495673534,0.9378282204881657,0.8011768864559551,0.8923628094737577,0.8430276446922689,0.9718925262715523,0.41180752175615415,0.7947011974321203
2045.04724919,0.9770845029095797,0.8704601663254604,0.904904168301067,0.9478586941584853,0.8560562333000457,0.9515362653133438,0.9031212904704736,0.7291461266881872,0.4378281102217681,0.903975144775338,0.850981167719616,0.9256099494182272,0.8617969731902564,0.9465597842897395,0.9594803961682589,0.8965826370142103,0.9765377654988876,0.9160646605805467,0.885119441252542,0.9754384849924157,0.9832202908574453,0.8500559715809846,0.9841779772922283,0.8134190797265383,0.8812001916194144,0.8745078093356476,0.8740362243956098,0.40652531983626505,0.843886580430966
2053.96130725,0.9416116995831955,0.8886955821690223,0.9252113769869633,0.8343925441645577,0.8838112971459002,0.9560917839510572,0.9877073333296819,0.7228251505835414,0.407765518687347,0.8560388631944489,0.9415407303596203,0.8858850910190812,0.8535740837537705,0.9799577312526017,0.9015779451911597,1.0,0.9735877332237196,0.9192250006137088,0.8627892777839659,0.9326648039724582,0.8744307263086697,0.8765156419573541,0.9240864514070521,0.7923927040134234,0.9347421840869546,0.9052107986165312,0.8178158489636695,0.3793146069223951,0.8266105140204043
2062.87694233,0.9175996882127694,0.8901986123720592,0.9116950021973562,0.967750577748268,0.8996076193842576,0.9353931083935922,0.9483523781336036,0.7576395603895595,0.43321460486521984,0.8951210299117234,0.8787069973980515,0.8787121033293155,0.771967614361692,0.963600190097784,0.9953058906116907,0.9184335341731524,0.9471713483736811,0.8811881388688393,0.8354840559110837,0.9907208111916053,0.9665182903368931,0.8459128369591878,0.8854816063927362,0.777963379510098,0.8761865693572634,0.949515282575188,0.8998374569042782,0.38633360447685966,0.919759520661266
2071.79414164,0.9269355130641957,0.8302077094793312,0.8764875528797129,0.9482229464147419,0.9461984833375189,0.8747207230771993,0.9107804840927615,0.7234764852143837,0.4505104208605166,0.9406680548606233,0.8959144476560902,0.8980516415574443,0.8206306366755562,0.8965678593761042,0.9631498121485945,0.9258196116913604,0.959565867936738,0.9213968521519597,0.9299937275746311,0.9212452674560506,0.9314548414161182,0.9360519358055363,0.9550216631157412,0.7829329117284944,0.8893792673088547,0.9426481342727453,0.9498816672213,0.3621718639517652,0.8253736225062605
2080.71289251,0.8800877794222794,0.8837977489452361,0.9372584860205287,0.9220192952329582,0.9198217983723623,0.9766511517874529,0.9257727735522079,0.6896411475838335,0.44302876929733276,0.9211824983359221,0.8823180028460821,0.9436525622669706,0.8153557401472201,0.9052543580599578,0.9001141075138366,0.923812480791261,0.9254103722364605,0.9188447442433443,1.0,0.9959156886814748,0.9501018373652678,0.9009586271850762,0.9624375733220334,0.8295845069962308,0.9318659884872459,0.9220727530777824,0.9309208332162453,0.36874428916475815,0.8898741849547773
2089.63318245,0.904116326178357,0.8656343003861574,0.9016777428535397,0.9516975676665161,0.9742927710645907,0.9287781458461293,0.9032334218369782,0.7112170062012122,0.45987419958290876,0.8858304140522757,0.8921553162545977,0.9371580320181676,0.8082422762596516,0.9626064192307429,0.9666626387995744,0.9118774770957907,1.0,0.9222338221420616,0.9214505177958315,0.8686146775474093,0.9745295586297171,0.8164515429003854,0.9448075717057167,0.7990360737936609,0.8973328053438453,0.9519470312145407,0.9069222923233585,0.36427529476568365,0.8873102198355197
2098.55499911,0.9522707282413005,0.8959639532754806,0.9596576342284359,0.9536554445251825,0.9076061546505986,1.0,0.9558996330415295,0.6765789023725733,0.4906183283667829,0.9831492994942796,0.9221884655359464,0.8699930375360276,0.7841618767039295,1.0,0.9526050301671231,0.9344232092198561,0.9810810383110001,0.9192058875306621,0.92827246177223,0.9401934037045113,0.9649562322490263,0.8949147297967824,0.9444113282004214,0.7515139385694076,0.883396091926677,0.8968913263954584,0.9411601638801655,0.38973558689129306,0.8574927360341219
2107.47833028,0.9564686981257833,0.8745137613947181,0.9235207313646596,0.9031869169307789,0.9331929742342221,0.9444621101177751,0.8643429898248751,0.7304195801654148,0.49122258263465535,0.9168804241828141,0.9063717520961551,1.0,0.7950072573503737,0.8900148390293664,0.9431360109620553,0.951850185333356,0.9332893192030657,0.9320997600526257,0.9141810024442564,0.9081396242644413,0.9534504129311967,0.8828427863169714,0.8955475465597558,0.738275805993595,0.9127261893531328,0.9741259951208455,0.8912943360956167,0.38438574334129394,0.9203848820062176
2116.41133382,1.0,0.9532625100274467,0.9304223453519952,0.9423115362514299,0.9656123848461121,0.9400326747381732,0.8533258588478544,0.6721800080251299,0.5025981161896169,0.8795244014956863,0.8706239806374622,0.9002428740637219,0.846565191796706,0.937025333113215,0.9051173060564004,0.8814375020807148,0.9703243803201823,0.9495224315018712,0.9234093931039212,0.916721727115345,1.0,0.9515596190169712,0.9778842038359531,0.6598443392511222,0.9178067485962613,0.9251684091999902,0.8768759919952606,0.3743351516489246,0.9042328511836247
2125.37093026,0.9088504828697568,0.8891366653613887,0.859363598696404,0.885939865452216,0.9188831391972104,0.9640097948560581,0.9482656624948945,0.6822558410779104,0.5182845990895941,0.9529899209050249,0.9323237525631036,0.8763662978711182,0.8305254861501788,0.9475839788750663,0.9559539653344659,0.8781811294457889,1.0,0.9312086289742048,0.9079150720227772,0.8934839122927487,0.9064208530355607,0.905401189061393,0.934078919144793,0.6367134500021415,0.9110673355060991,0.8246173567646502,0.895670662446845,0.38671322067091246,0.9411272097135953
2134.35713173,0.8885788028572099,0.8944475395666046,0.8854152994052736,1.0,0.9600758272101465,0.9982651402079044,0.969332019024003,0.6692819874366317,0.5434046684057873,0.9397742978884053,0.9292517524349909,0.9455079985552135,0.8087191888375911,0.8888161609397683,0.9032844618240384,0.9376405500339365,0.9121391639329333,1.0,0.9294306937322215,0.9156708421957231,0.8899220621719655,0.9087743870382327,1.0,0.662379533627912,0.9073451446273073,0.8727070040595221,0.8873782995209336,0.40822750671423697,0.9489324323633073
2143.36995005,0.8914914895880736,0.9340912149882076,0.9584001539327752,0.9378896597696115,1.0,0.9412411933368423,0.9168765454263778,0.7061932964410258,0.5372724501471958,0.8906032341542521,0.8317173357313568,0.9056367459998425,0.8147893172349939,0.9582882803331385,0.8301712237286588,0.9926370261536438,0.9588314370890823,0.9995392816503889,0.8990569314280543,1.0,0.9335562884304502,0.92046015545349,0.9787122883117763,0.5831379292512814,0.9501234359026861,0.8733025354198102,0.8749971992220125,0.4143365675544342,1.0
2152.40939672,0.8735599149592929,0.9014088387137568,0.9013595323205749,0.9326451090355884,0.9611607039322041,0.9920702673911603,0.9088603001899022,0.6546449558580639,0.6036525627243378,0.9299859553259894,0.8398787331273814,0.9914879029768001,0.8424210427643559,0.9398850873900535,0.7686171260233671,0.9138451521933161,0.8828184726188424,0.9582830683108962,0.8910062476754945,0.9145558083477752,0.9667915460212758,0.8817218312855462,0.8890394868450866,0.5740407084835357,0.9328170670658681,0.9321595155249813,0.9008166800966454,0.43760339549030797,0.9789747817428229
2161.47548295,0.9053188459329137,0.9294714674197888,0.9077136537270545,0.895128425431316,0.9237815016725441,1.0,0.9324214232780836,0.670412851650162,0.5421556947039737,0.9336868493709078,0.8533512158341688,0.9484264298677576,0.7917225551279224,0.8697967982110446,0.7587995980253687,0.9533161693191041,0.8758948959727479,0.9895132668255919,0.9444508055522844,0.9663191117813774,0.9901361965641149,0.8952184441155695,0.9931909288830495,0.5409553634203869,0.9113614630079926,0.8668979146752239,0.9460712497148327,0.5087400420254258,0.9256405756675287
2170.56821963,0.921914248477878,0.919024732603387,0.9161969895281405,0.9321472010596837,0.9038439552282839,0.9749031065550633,0.8943764808646544,0.6920704927274797,0.5978592586623657,0.9216604931860877,0.919620188934321,0.9128597292911876,0.7903347230270052,1.0,0.6959396480251078,1.0,0.8416653705207896,0.982456289390075,0.9492230986029313,0.8518471944349614,0.9396617685721891,0.9691253942128359,0.9167995371759852,0.5479766595836939,1.0,0.8606786949824516,0.8907962597398379,0.5220057925665719,0.9356109304726435
2179.68761735,0.9088319382684269,1.0,0.9722026912282894,0.9409631433395789,0.8524653833471278,0.9861833050503676,0.9271017930196828,0.6954434949334283,0.6075222796889915,0.9099691894017566,0.8619910626649905,0.9724652568805825,0.8549445494646642,0.9130165038102298,0.7473221222540747,0.8953315980677213,0.8431296199263953,0.9971696763957766,0.9083839037941215,0.9846809080267563,0.9601330200748704,0.9261538279391321,0.9466930693106675,0.5666689190465449,0.9228633880250479,0.8865565437025619,0.8670395509506849,0.6329842628481794,0.9880263051083648
2188.8336864,0.9476659768015726,0.9785769637265019,0.9378108415861373,0.9518651105797372,0.8804103422615649,0.962896803262718,0.9255959942946628,0.6641293296667754,0.6170269937289741,0.8456319709907473,0.8473303119975388,0.9467926908899469,0.8039020947877487,0.8970921456687012,0.7505078336976426,0.9150486200641492,0.7644245925287257,0.9791074647894337,0.9329479369731103,0.8835415372283129,0.9649397477528006,1.0,0.9764143205198547,0.5603060152805215,0.9543609292086109,0.8889548971234934,0.874329631863205,0.6472017749709005,0.9775858612799369
2198.00643675,0.9027267439496228,0.9466809209371262,0.9695636402736273,0.8816118266722978,0.9378950106686312,0.9551493746703996,0.9489506649556556,0.662093065055781,0.6060162478748361,0.8937990260167166,0.8625065806742921,0.8751253148592882,0.8757615172319639,0.9540205815331433,0.701447510674333,0.8915030841191242,0.6922853400883902,1.0,0.9413814525328134,0.8948138043830219,0.9140882215098701,0.9270482158109844,0.9872013691637853,0.6272969743034652,0.895850866097855,0.7823050926804554,0.8774211910652814,0.6772415008011036,0.9817827119928039
2207.20587807,0.8983849743929361,0.9301434503813625,0.9139607582384497,0.9114727100478629,0.8575997373610843,0.9372163912264055,0.874774712359187,0.6623653816496191,0.669248639560965,0.902581173441937,0.8542013226101054,0.9482392635027982,0.8633429070857452,0.9539679873206293,0.7093700405439697,0.9352753832636218,0.6824697182920153,0.9201957990183123,0.9792886806649614,0.8966124389685393,0.9524851714032257,0.9728320472258817,1.0,0.7024317967200997,0.8669277008035925,0.8612667877095117,0.8944950737937847,0.736031771707008,0.903721423519883
2216.43201972,0.8893718402417722,0.9702711018168979,0.9307103637018349,0.9316419155229241,0.8705983508565919,0.8620570223352448,0.9123303813426193,0.6411770970378222,0.6258958597750204,0.8836577900753605,0.8543224045681037,0.8992506288641383,0.7492268817799113,0.952135634729339,0.7992417887025881,0.912913377750811,0.7124643618910848,0.9344257661548787,0.9559017592880755,0.8479368791522204,0.9524676395282812,0.9623451806159781,0.928686034398858,0.702027167353364,0.8852455165042515,0.7979290413049753,0.891499656765618,0.6921845366602686,0.9646119986147959
2225.68487077,0.8510694863260716,0.9409624427030399,0.8807620186756936,0.898389302720425,0.8865174717668742,0.7984217135770603,0.9595636928103342,0.6412532746946434,0.6961584021352109,0.890528146327602,0.8222942510155032,0.9138476777194809,0.7345008420354665,0.8993476128251245,0.8161778765632964,0.9182944073555193,0.7523750447993556,0.9475393521092672,0.9368919886834823,0.9013881549423208,0.9750449801159069,0.9337846187412023,0.8921778231398969,0.7953843947991885,0.9039904695583171,0.8430635914515043,0.914011700272373,0.8017156338817979,0.9401881040177581
