Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
1643.0,0.8986441850662231,0.8233437776565552,0.9049578070640564,0.737292206287384,0.4740039944648743,0.48722152709960936,0.884305453300476,0.430293995141983,0.27650700211524964,0.369626396894455,0.6887139999999999,0.8339616298675537,0.33100459575653074,0.4462045967578888,0.9335591912269592,0.626892602443695,0.5593450784683227,0.7156659999999999,0.5266836047172546,0.6358468174934387,0.5164633750915527,0.8603196142,0.6657097816467286,0.76736980676651,0.8567018508911133,0.8783462047576904,0.8793158054351806,0.4076616108417511,0.8292874097824097
1644.0,0.8988625884056092,0.8234263777732849,0.9048010587692261,0.7373306035995484,0.47391865849494935,0.48792251348495486,0.8842456817626954,0.43051099181175234,0.2756879985332489,0.37013520002365113,0.689222,0.8339408755302429,0.3312027931213379,0.4464267909526825,0.9328655958175659,0.6268718123435975,0.5595523476600647,0.7155779999999999,0.5267827987670899,0.6353864192962646,0.5167031764984131,0.8604608176,0.6658816576004029,0.7673434019088745,0.8568196296691895,0.8790019750595093,0.8797554135322571,0.40818281173706056,0.8293972015380859
1645.0,0.8990809917449951,0.8235089778900146,0.9046443104743958,0.7373690009117126,0.4738333225250244,0.4886234998703003,0.8841859102249146,0.4307279884815216,0.27486899495124817,0.3706440031528473,0.68973,0.8339201211929321,0.331400990486145,0.4466489851474762,0.9321720004081726,0.6268510222434998,0.5597596168518066,0.71549,0.526881992816925,0.6349260210990906,0.5169429779052734,0.860602021,0.6660535335540771,0.767316997051239,0.8569374084472656,0.8796577453613281,0.8801950216293335,0.40870401263237,0.8295069932937622
1646.0,0.8986451983451843,0.8233871817588806,0.9046996235847473,0.737267005443573,0.4737678587436676,0.48927874565124513,0.8843228936195373,0.43075619339942933,0.2740827977657318,0.370812201499939,0.6906323999999999,0.834005069732666,0.33125319480896,0.4468189895153046,0.9322806000709534,0.6272396206855774,0.5600300192832947,0.715496,0.5270531892776489,0.6352936148643493,0.5167945861816406,0.861145222,0.6661332964897155,0.766826593875885,0.8571758151054383,0.8800847053527832,0.8797620177268982,0.4089886128902435,0.8296435475349426
1647.0,0.8982094049453735,0.8232653856277465,0.9047549366950989,0.7371650099754333,0.4737023949623108,0.48993399143218996,0.8844598770141602,0.43078439831733706,0.27329660058021543,0.37098039984703063,0.6915348,0.8340900182723999,0.3311053991317749,0.44698899388313296,0.9323891997337341,0.627628219127655,0.5603004217147827,0.715502,0.5272243857383728,0.6356612086296082,0.5166461944580079,0.861688423,0.666213059425354,0.766336190700531,0.8574142217636108,0.8805116653442383,0.8793290138244629,0.40927321314811704,0.829780101776123
1648.0,0.8977736115455628,0.8231435894966126,0.9048102498054504,0.7370630145072937,0.47363693118095396,0.49058923721313474,0.8845968604087829,0.43081260323524473,0.2725104033946991,0.3711485981941223,0.6924372,0.8341749668121338,0.33095760345458985,0.4471589982509613,0.9324977993965149,0.6280168175697327,0.5605708241462708,0.715508,0.5273955821990967,0.6360288023948669,0.516497802734375,0.862231624,0.6662928223609924,0.765845787525177,0.8576526284217835,0.8809386253356933,0.8788960099220275,0.4095578134059906,0.8299166560173035
1649.0,0.897337818145752,0.8230217933654785,0.904865562915802,0.736961019039154,0.47357146739959716,0.4912444829940796,0.8847338438034058,0.43084080815315245,0.27172420620918275,0.37131679654121397,0.6933396000000001,0.8342599153518677,0.33080980777740476,0.44732900261878966,0.9326063990592957,0.6284054160118103,0.5608412265777588,0.715514,0.5275667786598206,0.6363963961601258,0.5163494110107422,0.862774825,0.6663725852966309,0.765355384349823,0.857891035079956,0.8813655853271485,0.8784630060195923,0.40984241366386415,0.8300532102584839
1650.0,0.8969020247459412,0.8228999972343445,0.9049208760261536,0.7368590235710144,0.47350600361824036,0.4918997287750244,0.8848708271980286,0.4308690130710602,0.2709380090236664,0.37148499488830566,0.694242,0.8343448638916016,0.3306620121002197,0.44749900698661804,0.9327149987220764,0.6287940144538879,0.5611116290092468,0.71552,0.5277379751205444,0.6367639899253845,0.5162010192871094,0.863318026,0.6664523482322693,0.764864981174469,0.8581294417381287,0.8817925453186035,0.878030002117157,0.41012701392173767,0.8301897644996643
1651.0,0.8973816156387329,0.8231022000312805,0.9051104307174682,0.7370664238929748,0.47341880202293396,0.4924813747406006,0.8851177215576171,0.4310382127761841,0.27024840712547304,0.37231879830360415,0.6946436,0.8345033645629882,0.3308094084262848,0.44782700538635256,0.9327921986579895,0.6286946058273315,0.5614089608192444,0.715534,0.5276569843292236,0.6367765903472901,0.5163724184036255,0.862794423,0.6664706349372864,0.7645579814910889,0.8583677411079407,0.8823754072189331,0.8782674074172974,0.4102818131446838,0.830169415473938
1652.0,0.8978612065315247,0.8233044028282166,0.905299985408783,0.7372738242149353,0.47333160042762756,0.49306302070617675,0.8853646159172058,0.431207412481308,0.26955880522727965,0.3731526017189026,0.6950452,0.834661865234375,0.33095680475234984,0.448155003786087,0.9328693985939026,0.6285951972007752,0.561706292629242,0.715548,0.5275759935379029,0.6367891907691956,0.5165438175201416,0.86227082,0.6664889216423034,0.7642509818077088,0.8586060404777527,0.8829582691192627,0.8785048127174377,0.41043661236763,0.8301490664482116
