Data ID,Forsterite LASC02
Sample ID,LASC02
Mineral Name,forsterite
Sample Description,
Date Added,
Viewing Geometry,
Other Information,
Grain Size,
Database of Origin,MICA Files (USGS/RELAB)
Wavelength,Response
2725.6200000000003,0.779501
2727.06,0.781239
2728.49,0.781015
2729.93,0.779928
2731.37,0.779478
2732.8100000000004,0.778799
2734.25,0.777261
2735.69,0.776435
2737.1400000000003,0.77689
2738.58,0.77584
2740.0299999999997,0.774388
2741.48,0.775168
2742.93,0.77611
2744.38,0.775809
2745.8300000000004,0.774417
2747.29,0.77336
2748.75,0.77258
2750.2,0.772009
2751.6600000000003,0.771264
2753.13,0.770783
2754.5899999999997,0.769309
2756.05,0.767633
2757.52,0.769315
2758.99,0.769612
2760.46,0.768475
2761.93,0.767371
2763.3999999999996,0.766429
2764.8700000000003,0.766331
2766.35,0.765856
2767.82,0.764974
2769.2999999999997,0.764713
2770.7799999999997,0.764331
2772.26,0.763894
2773.75,0.763746
2775.23,0.762816
2776.7200000000003,0.761713
2778.21,0.760651
2779.7000000000003,0.759887
2781.19,0.758885
2782.68,0.758865
2784.1800000000003,0.759136
2785.67,0.75868
2787.17,0.757514
2788.67,0.757318
2790.1699999999996,0.757574
2791.67,0.757093
2793.18,0.756177
2794.68,0.755986
2796.19,0.755532
2797.7,0.754583
2799.21,0.753559
2800.7200000000003,0.753338
2802.24,0.752377
2803.75,0.751688
2805.27,0.752458
2806.79,0.752451
2808.31,0.751836
2809.83,0.7517
2811.35,0.751492
2812.8799999999997,0.751381
2814.41,0.750845
2815.93,0.750674
2817.46,0.750455
2819.0,0.750256
2820.53,0.750103
2822.07,0.749751
2823.6,0.749246
2825.1400000000003,0.749194
2826.6800000000003,0.748905
2828.22,0.748863
2829.77,0.748659
2831.3100000000004,0.748295
2832.86,0.747483
2834.4100000000003,0.747138
2835.96,0.747048
2837.5099999999998,0.7469
2839.07,0.746781
2840.62,0.746628
2842.18,0.746131
2843.74,0.745929
2845.2999999999997,0.745858
2846.86,0.745768
2848.43,0.74552
2849.9900000000002,0.745096
2851.56,0.744507
2853.13,0.744274
2854.7,0.744455
2856.27,0.744946
2857.85,0.744861
2859.42,0.744386
2861.0,0.743982
2862.58,0.743657
2864.16,0.743418
2865.75,0.743391
2867.33,0.743003
2868.92,0.74318
2870.5099999999998,0.742929
2872.1,0.742533
2873.69,0.742467
2875.28,0.742632
2876.88,0.742372
2878.48,0.742419
2880.0699999999997,0.742563
2881.68,0.742156
2883.28,0.741858
2884.88,0.741777
2886.49,0.741936
2888.1,0.741734
2889.71,0.741477
2891.3199999999997,0.74158
2892.93,0.741354
2894.55,0.74089
2896.16,0.740687
2897.78,0.740837
2899.4,0.740844
2901.03,0.740567
2902.65,0.740759
2904.2799999999997,0.740977
2905.91,0.740426
2907.54,0.74001
2909.17,0.739866
2910.8,0.740051
2912.44,0.739672
2914.07,0.739432
2915.7099999999996,0.739546
2917.35,0.739326
2918.99,0.739031
2920.6400000000003,0.739209
2922.29,0.73878
2923.93,0.738259
2925.58,0.738338
2927.24,0.738741
2928.89,0.738414
2930.55,0.738059
2932.2,0.737871
2933.86,0.737874
2935.52,0.737647
2937.19,0.737639
2938.85,0.73727
2940.52,0.736828
2942.19,0.736571
2943.86,0.736453
2945.53,0.736386
2947.21,0.736333
2948.88,0.736097
2950.56,0.735783
2952.2400000000002,0.73548
2953.92,0.735269
2955.61,0.734895
2957.29,0.734674
2958.98,0.735024
2960.67,0.734778
2962.3599999999997,0.73424
2964.06,0.733672
2965.75,0.732952
2967.45,0.732757
2969.15,0.732818
2970.85,0.732815
2972.55,0.732681
2974.26,0.732307
2975.97,0.731876
2977.68,0.731669
2979.39,0.731046
2981.1,0.730902
2982.8199999999997,0.730767
2984.5299999999997,0.730749
2986.25,0.730359
2987.97,0.729903
2989.7,0.729348
2991.42,0.729266
2993.15,0.729501
2994.88,0.729256
2996.61,0.72871
2998.3399999999997,0.728483
3000.08,0.728365
3001.8199999999997,0.728065
3003.55,0.727692
3005.3,0.728048
3007.04,0.72771
3008.7799999999997,0.727374
3010.53,0.727255
3012.28,0.726967
3014.03,0.726695
3015.79,0.72714
3017.54,0.727246
3019.2999999999997,0.727151
3021.06,0.726706
3022.8199999999997,0.726383
3024.58,0.726291
3026.35,0.72614
3028.12,0.726061
3029.89,0.726032
3031.66,0.726039
3033.4300000000003,0.725908
3035.21,0.725556
3036.99,0.72563
3038.77,0.725723
3040.55,0.725715
3042.3300000000004,0.725354
3044.12,0.725362
3045.9100000000003,0.725455
3047.7,0.725737
3049.4900000000002,0.725475
3051.29,0.724928
3053.08,0.724738
3054.8799999999997,0.725221
3056.6800000000003,0.725138
3058.49,0.724554
3060.29,0.72442
3062.1,0.724601
3063.91,0.724552
3065.72,0.724399
3067.54,0.724158
3069.35,0.724443
3071.17,0.724412
3072.99,0.724057
3074.81,0.723891
3076.64,0.723815
3078.47,0.723697
3080.2900000000004,0.723722
3082.1299999999997,0.723619
3083.96,0.723558
3085.79,0.723487
3087.6299999999997,0.7237
3089.47,0.723862
3091.31,0.723829
3093.1600000000003,0.723528
3095.0099999999998,0.723392
3096.85,0.723092
3098.71,0.723151
3100.5600000000004,0.723061
3102.41,0.723056
3104.27,0.723178
3106.1299999999997,0.723275
3107.9900000000002,0.723233
3109.8599999999997,0.723028
3111.73,0.723155
3113.5899999999997,0.723256
3115.4700000000003,0.723001
3117.34,0.722971
3119.21,0.72298
3121.09,0.722772
3122.97,0.722699
3124.86,0.722925
3126.74,0.722916
3128.6299999999997,0.722911
3130.52,0.722841
3132.4100000000003,0.72283
3134.3,0.722887
3136.2000000000003,0.722961
3138.1,0.722687
3140.0,0.722595
3141.9,0.722662
3143.8100000000004,0.72296
3145.7099999999996,0.7232
3147.62,0.723203
3149.54,0.722916
3151.4500000000003,0.723152
3153.37,0.72334
3155.29,0.723283
3157.21,0.723406
3159.13,0.723608
3161.06,0.723455
3162.9900000000002,0.723653
3164.92,0.72384
3166.8500000000004,0.723875
3168.79,0.724154
3170.7200000000003,0.724369
3172.67,0.724241
3174.61,0.724371
3176.55,0.724438
3178.5,0.724191
3180.45,0.724098
3182.4,0.724331
3184.3599999999997,0.724429
3186.3199999999997,0.724579
3188.27,0.724645
3190.2400000000002,0.724704
3192.2000000000003,0.724853
3194.17,0.72518
3196.1400000000003,0.725218
3198.1099999999997,0.725216
3200.08,0.725239
3202.06,0.725138
3204.04,0.725295
3206.02,0.725758
3208.0,0.725881
3209.99,0.72578
3211.98,0.725518
3213.9700000000003,0.725816
3215.96,0.726042
3217.96,0.72608
3219.96,0.726337
3221.96,0.726548
3223.96,0.72657
3225.97,0.726681
3227.98,0.726809
3229.99,0.726929
3232.0,0.726965
3234.02,0.727113
3236.04,0.727244
3238.06,0.727478
3240.08,0.727465
3242.1099999999997,0.727456
3244.14,0.727778
3246.17,0.727745
3248.2000000000003,0.727734
3250.24,0.728153
3252.2799999999997,0.728147
3254.3199999999997,0.727973
3256.37,0.728044
3258.41,0.728461
3260.46,0.728603
3262.5099999999998,0.728698
3264.57,0.728818
3266.63,0.728914
3268.69,0.729043
3270.75,0.729343
3272.8100000000004,0.729294
3274.88,0.729248
3276.95,0.729386
3279.02,0.729671
3281.1,0.729523
3283.1800000000003,0.729463
3285.26,0.729477
3287.34,0.729746
3289.43,0.729862
3291.51,0.729859
3293.61,0.730039
3295.7000000000003,0.730273
3297.8,0.730134
3299.9,0.730085
3302.0,0.730164
3304.1,0.73012
3306.21,0.730082
3308.32,0.730083
3310.4300000000003,0.730009
3312.5499999999997,0.729965
3314.66,0.7297
3316.79,0.729982
3318.91,0.729897
3321.0299999999997,0.729395
3323.1600000000003,0.729141
3325.29,0.729072
3327.4300000000003,0.729073
3329.5699999999997,0.729094
3331.71,0.729018
3333.85,0.728819
3335.99,0.728568
3338.1400000000003,0.728232
