Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
2398.0,0.3193392097949982,0.5370270013809204,0.42613139748573303,0.7632398,0.7661898016929627,0.34509140253067017,0.3107725977897644,0.44432988166809084,0.4726333975791931,0.6350218176841735,0.14677900075912476,0.47567571997642516,0.41538300514221194,0.5553943991661072,0.5985794067382812,0.3204674482345581,0.462848,0.3928320109844208,0.48159139752388,0.43260669708251953,0.475707799,0.23744223713874818,0.8511449813842773,0.5895306706428528,0.8937968969345093,0.4983422040939331,0.2632443070411682,0.5294172286987304,0.5278219223022461
2399.0,0.31943361163139344,0.5382120013237,0.4258762001991272,0.7636014,0.7657780885696411,0.34520620107650757,0.3093552589416504,0.44203044176101686,0.46804975271224974,0.6309364199638366,0.1455020010471344,0.47425665855407717,0.4159470021724701,0.5571362018585205,0.5985012054443359,0.3199098289012909,0.462524,0.3923630118370056,0.48069719672203065,0.4317878484725952,0.477656394,0.24151132106781006,0.850931978225708,0.5882123827934265,0.8934028625488282,0.5030786037445069,0.26240025758743285,0.5332099556922912,0.5253914713859558
2400.0,0.3195280134677887,0.5393970012664795,0.42562100291252136,0.763963,0.7653663754463196,0.34532099962234497,0.3079379200935364,0.43973100185394287,0.4634661078453064,0.6268510222434998,0.14422500133514404,0.4728375971317291,0.41651099920272827,0.5588780045509338,0.5984230041503906,0.3193522095680237,0.4622,0.39189401268959045,0.4798029959201813,0.4309689998626709,0.479604989,0.24558040499687195,0.8507189750671387,0.5868940949440002,0.893008828163147,0.5078150033950806,0.2615562081336975,0.537002682685852,0.5229610204696655
2401.0,0.31975641250610354,0.5399765968322754,0.42554200291633604,0.7635145999999999,0.76513112783432,0.3454006016254425,0.30756369829177854,0.43687333464622496,0.4593536913394928,0.6238946199417115,0.1444894015789032,0.47168161869049074,0.4175539970397949,0.5601600050926209,0.5979892015457153,0.3189807772636414,0.461882,0.39212821125984193,0.47895299792289736,0.43049203157424926,0.4826079902,0.2508010804653168,0.850892174243927,0.5857233047485352,0.8930537462234497,0.5119773983955384,0.26065080761909487,0.5389249682426452,0.5192184567451477
2402.0,0.3199848115444183,0.5405561923980713,0.42546300292015077,0.7630661999999999,0.7648958802223206,0.34548020362854004,0.30718947649002076,0.43401566743850706,0.4552412748336792,0.6209382176399231,0.14475380182266234,0.4705256402492523,0.4185969948768616,0.5614420056343079,0.59755539894104,0.318609344959259,0.46156400000000003,0.3923624098300934,0.4781029999256134,0.4300150632858276,0.48561099139999997,0.2560217559337616,0.8510653734207153,0.5845525145530701,0.8930986642837524,0.5161397933959961,0.2597454071044922,0.5408472537994384,0.5154758930206299
2403.0,0.32021321058273317,0.5411357879638672,0.42538400292396544,0.7626178,0.764660632610321,0.3455598056316376,0.30681525468826293,0.4311580002307892,0.4511288583278656,0.6179818153381348,0.14501820206642152,0.4693696618080139,0.4196399927139282,0.5627240061759948,0.5971215963363647,0.3182379126548767,0.461246,0.3925966084003448,0.4772530019283295,0.42953809499740603,0.4886139926,0.26124243140220643,0.8512385725975037,0.5833817243576049,0.8931435823440552,0.5203021883964538,0.25884000658988954,0.5427695393562317,0.511733329296112
2404.0,0.32044160962104795,0.5417153835296631,0.4253050029277802,0.7621694,0.7644253849983216,0.3456394076347351,0.30644103288650515,0.4283003330230713,0.447016441822052,0.6150254130363464,0.14528260231018067,0.4682136833667755,0.4206829905509949,0.5640060067176819,0.5966877937316895,0.31786648035049436,0.460928,0.3928308069705963,0.4764030039310455,0.4290611267089844,0.49161699379999996,0.2664631068706512,0.851411771774292,0.5822109341621399,0.8931885004043579,0.5244645833969116,0.25793460607528684,0.5446918249130249,0.5079907655715943
2405.0,0.3206700086593628,0.542294979095459,0.42522600293159485,0.761721,0.764190137386322,0.34571900963783264,0.3060668110847473,0.4254426658153534,0.4429040253162384,0.6120690107345581,0.14554700255393982,0.4670577049255371,0.4217259883880615,0.5652880072593689,0.5962539911270142,0.31749504804611206,0.46061,0.3930650055408478,0.4755530059337616,0.42858415842056274,0.494619995,0.27168378233909607,0.8515849709510803,0.5810401439666748,0.8932334184646606,0.5286269783973694,0.2570292055606842,0.5466141104698181,0.5042482018470764
2406.0,0.3210032045841217,0.5428987860679626,0.42512879967689515,0.761919,0.7639548778533936,0.34576340913772585,0.3052129685878754,0.4225848615169525,0.4389346718788147,0.6100742101669312,0.14715420305728913,0.46617332100868225,0.42278038859367373,0.5655638098716735,0.5962427973747253,0.3171235978603363,0.460024,0.3927048027515411,0.47444560527801516,0.42846991419792174,0.4955793974,0.27690470814704893,0.8512947797775269,0.5795579314231872,0.8932783484458924,0.5312295794487,0.2561557173728943,0.548536479473114,0.5005054533481598
2407.0,0.3213364005088806,0.5435025930404663,0.42503159642219546,0.762117,0.7637196183204651,0.345807808637619,0.3043591260910034,0.41972705721855164,0.43496531844139097,0.6080794095993042,0.14876140356063844,0.4652889370918274,0.4238347887992859,0.5658396124839783,0.5962316036224365,0.31675214767456056,0.459438,0.3923445999622345,0.47333820462226867,0.42835566997528074,0.4965387998,0.28212563395500184,0.8510045886039734,0.5780757188796997,0.893323278427124,0.5338321805000306,0.25528222918510435,0.5504588484764099,0.4967627048492432
2408.0,0.3216695964336395,0.54410640001297,0.4249343931674957,0.762315,0.7634843587875366,0.3458522081375122,0.3035052835941315,0.41686925292015076,0.4309959650039673,0.6060846090316773,0.15036860406398772,0.46440455317497253,0.4248891890048981,0.5661154150962829,0.5962204098701477,0.3163806974887848,0.458852,0.3919843971729279,0.47223080396652223,0.4282414257526398,0.4974982022,0.2873465597629547,0.8507143974304199,0.5765935063362122,0.8933682084083557,0.536434781551361,0.2544087409973145,0.5523812174797058,0.4930199563503265
2409.0,0.32200279235839846,0.5447102069854737,0.424837189912796,0.762513,0.7632490992546082,0.3458966076374054,0.3026514410972595,0.4140114486217499,0.4270266115665436,0.6040898084640502,0.15197580456733703,0.4635201692581177,0.42594358921051023,0.5663912177085877,0.5962092161178589,0.31600924730300906,0.458266,0.3916241943836212,0.47112340331077573,0.4281271815299988,0.4984576046,0.2925674855709076,0.8504242062568664,0.5751112937927246,0.8934131383895874,0.5390373826026916,0.25353525280952455,0.5543035864830017,0.48927720785140993
2410.0,0.32233598828315735,0.5453140139579773,0.4247399866580963,0.762711,0.7630138397216797,0.3459410071372986,0.3017975986003876,0.411153644323349,0.4230572581291199,0.6020950078964233,0.15358300507068634,0.4626357853412628,0.42699798941612244,0.5666670203208923,0.5961980223655701,0.3156377971172333,0.45768,0.3912639915943146,0.4700160026550293,0.4280129373073578,0.499417007,0.2977884113788605,0.850134015083313,0.5736290812492371,0.8934580683708191,0.5416399836540222,0.2526617646217346,0.5562259554862976,0.4855344593524933
2411.0,0.3226713895797729,0.5452630162239075,0.4248173892498016,0.7626392000000001,0.7627786040306092,0.34592920541763306,0.2998106122016907,0.40829597115516664,0.4202427327632904,0.6006864070892334,0.15548540353775026,0.4619377672672272,0.42763959169387816,0.5664298176765442,0.5959968209266663,0.315266364812851,0.45667199999999997,0.3910063922405243,0.4691030025482178,0.42823477983474734,0.49866820580000004,0.3030090868473053,0.85000981092453,0.5722703814506531,0.8935029864311218,0.5440201878547668,0.2516875982284546,0.5581482291221619,0.4817918956279755
2412.0,0.32300679087638856,0.5452120184898377,0.42489479184150697,0.7625674,0.7625433683395386,0.34591740369796753,0.29782362580299376,0.4054382979869843,0.41742820739746095,0.5992778062820434,0.15738780200481414,0.46123974919319155,0.4282811939716339,0.5661926150321961,0.5957956194877625,0.3148949325084686,0.45566399999999996,0.39074879288673403,0.46819000244140624,0.42845662236213683,0.4979194046,0.3082297623157501,0.8498856067657471,0.5709116816520691,0.8935479044914245,0.5464003920555115,0.2507134318351746,0.5600705027580262,0.47804933190345766
2413.0,0.32334219217300414,0.5451610207557678,0.42497219443321227,0.7624956,0.762308132648468,0.345905601978302,0.2958366394042969,0.40258062481880186,0.41461368203163146,0.5978692054748536,0.15929020047187806,0.46054173111915586,0.42892279624938967,0.5659554123878479,0.5955944180488586,0.3145235002040863,0.454656,0.3904911935329437,0.46727700233459474,0.4286784648895264,0.4971706034,0.31345043778419496,0.8497614026069641,0.5695529818534851,0.8935928225517273,0.5487805962562561,0.24973926544189454,0.5619927763938903,0.4743067681789398
2414.0,0.3236775934696198,0.545110023021698,0.4250495970249176,0.7624238,0.7620728969573974,0.3458938002586365,0.29384965300559995,0.3997229516506195,0.411799156665802,0.5964606046676636,0.16119259893894194,0.45984371304512023,0.4295643985271454,0.5657182097434997,0.5953932166099548,0.31415206789970396,0.453648,0.39023359417915343,0.4663640022277832,0.42890030741691587,0.4964218022,0.31867111325263975,0.8496371984481812,0.5681942820549011,0.89363774061203,0.5511608004570008,0.2487650990486145,0.5639150500297546,0.470564204454422
2415.0,0.32401299476623535,0.5450590252876282,0.4251269996166229,0.762352,0.7618376612663269,0.34588199853897095,0.2918626666069031,0.39686527848243713,0.40898463129997253,0.5950520038604736,0.16309499740600586,0.4591456949710846,0.4302060008049011,0.5654810070991516,0.595192015171051,0.31378063559532166,0.45264,0.38997599482536316,0.4654510021209717,0.4291221499443054,0.495673001,0.3238917887210846,0.8495129942893982,0.5668355822563171,0.8936826586723328,0.5535410046577454,0.24779093265533447,0.5658373236656189,0.4668216407299042
2416.0,0.3245937943458557,0.5456088185310364,0.42529159784317017,0.7622494000000001,0.7614972472190857,0.3459495961666107,0.2886221885681152,0.39418397545814515,0.40676832795143125,0.5953935980796814,0.16477799713611602,0.45855979323387147,0.43031840324401854,0.5643618106842041,0.594264817237854,0.31340596079826355,0.451384,0.38938799500465393,0.4644302010536194,0.4293027758598328,0.4935936036,0.32631508708000184,0.8488083958625794,0.5652299165725708,0.8935889005661011,0.5560338020324707,0.24680853486061097,0.5670787930488587,0.4629284977912903
2417.0,0.3251745939254761,0.5461586117744446,0.4254561960697174,0.7621468,0.7611568331718445,0.3460171937942505,0.28538171052932737,0.39150267243385317,0.40455202460289,0.5957351922988892,0.1664609968662262,0.45797389149665835,0.43043080568313596,0.5632426142692566,0.593337619304657,0.31303128600120544,0.450128,0.3887999951839447,0.46340939998626707,0.4294834017753601,0.49151420619999997,0.3287383854389191,0.8481037974357605,0.5636242508888245,0.8934951424598694,0.5585265994071961,0.24582613706588746,0.5683202624320984,0.4590353548526764
2418.0,0.3257553935050964,0.5467084050178528,0.42562079429626465,0.7620442000000001,0.7608164191246033,0.34608479142189025,0.2821412324905396,0.38882136940956114,0.40233572125434874,0.5960767865180969,0.16814399659633636,0.45738798975944517,0.43054320812225344,0.5621234178543091,0.5924104213714599,0.31265661120414734,0.448872,0.3882119953632355,0.4623885989189148,0.42966402769088746,0.4894348088,0.3311616837978363,0.8473991990089417,0.5620185852050781,0.8934013843536377,0.5610193967819214,0.24484373927116393,0.5695617318153381,0.4551422119140625
2419.0,0.3263361930847168,0.547258198261261,0.4257853925228119,0.7619416,0.760476005077362,0.34615238904953005,0.2789007544517517,0.38614006638526915,0.4001194179058075,0.5964183807373047,0.16982699632644654,0.45680208802223204,0.43065561056137086,0.5610042214393616,0.591483223438263,0.31228193640708923,0.44761599999999996,0.38762399554252625,0.4613677978515625,0.4298446536064148,0.4873554114,0.33358498215675353,0.8466946005821228,0.5604129195213318,0.893307626247406,0.5635121941566468,0.24386134147644042,0.5708032011985779,0.4512490689754486
2420.0,0.32691699266433716,0.5478079915046692,0.42594999074935913,0.761839,0.7601355910301208,0.3462199866771698,0.27566027641296387,0.3834587633609772,0.39790311455726624,0.5967599749565125,0.1715099960565567,0.4562161862850189,0.4307680130004883,0.5598850250244141,0.5905560255050659,0.31190726161003113,0.44636,0.387035995721817,0.4603469967842102,0.43002527952194214,0.485276014,0.3360082805156708,0.845990002155304,0.5588072538375854,0.8932138681411743,0.5660049915313721,0.24287894368171692,0.5720446705818176,0.4473559260368347
2421.0,0.3271549940109253,0.5478115320205689,0.42604119181632993,0.7622604000000001,0.759637463092804,0.3462749898433685,0.2726229190826416,0.38104230761528013,0.39646207690238955,0.59717857837677,0.1726231962442398,0.45589309334754946,0.43006120920181273,0.5581336140632629,0.5896440148353577,0.31152776479721067,0.44509,0.3863703966140747,0.4592915952205658,0.43015325665473936,0.4832890096,0.3342353940010071,0.8452167987823487,0.5569209575653076,0.8929121017456054,0.5688297986984253,0.24192117154598236,0.5722647905349731,0.4432373881340027
2422.0,0.3273929953575134,0.5478150725364686,0.4261323928833008,0.7626818000000001,0.759139335155487,0.34632999300956724,0.26958556175231935,0.37862585186958314,0.3950210392475128,0.5975971817970276,0.1737363964319229,0.45557000041007994,0.4293544054031372,0.5563822031021118,0.5887320041656494,0.31114826798439027,0.44382,0.3857047975063324,0.45823619365692136,0.43028123378753663,0.4813020052,0.3324625074863434,0.8444435954093933,0.5550346612930298,0.8926103353500366,0.5716546058654786,0.2409633994102478,0.5724849104881287,0.43911885023117064
2423.0,0.32763099670410156,0.5478186130523681,0.4262235939502716,0.7631032,0.7586412072181702,0.346384996175766,0.26654820442199706,0.3762093961238861,0.3935800015926361,0.5980157852172852,0.17484959661960603,0.4552469074726105,0.4286476016044617,0.5546307921409607,0.5878199934959412,0.3107687711715698,0.44255,0.3850391983985901,0.457180792093277,0.43040921092033385,0.4793150008,0.3306896209716797,0.843670392036438,0.5531483650207519,0.8923085689544678,0.5744794130325317,0.24000562727451324,0.5727050304412842,0.43500031232833863
2424.0,0.3278689980506897,0.5478221535682678,0.42631479501724245,0.7635246,0.7581430792808532,0.34643999934196473,0.2635108470916748,0.3737929403781891,0.3921389639377594,0.5984343886375427,0.17596279680728913,0.45492381453514097,0.42794079780578614,0.5528793811798096,0.5869079828262329,0.3103892743587494,0.44128,0.3843735992908478,0.4561253905296326,0.4305371880531311,0.4773279964,0.32891673445701597,0.8428971886634826,0.5512620687484742,0.892006802558899,0.5773042201995849,0.2390478551387787,0.5729251503944397,0.43088177442550657
2425.0,0.32810699939727783,0.5478256940841675,0.42640599608421326,0.763946,0.7576449513435364,0.34649500250816345,0.26047348976135254,0.37137648463249207,0.3906979262828827,0.5988529920578003,0.17707599699497223,0.4546007215976715,0.4272339940071106,0.5511279702186584,0.5859959721565247,0.31000977754592896,0.44001,0.38370800018310547,0.45506998896598816,0.43066516518592834,0.475340992,0.3271438479423523,0.8421239852905273,0.5493757724761963,0.8917050361633301,0.5801290273666382,0.23809008300304413,0.5731452703475952,0.42676323652267456
2426.0,0.32850099802017213,0.547848129272461,0.4262935996055603,0.7639872,0.7571468114852905,0.34651960134506227,0.2576504975557327,0.36895990967750547,0.3896588981151581,0.5997697949409485,0.17759179770946504,0.454318642616272,0.426651793718338,0.5496467709541321,0.5852277755737305,0.3096302688121796,0.438744,0.3832665979862213,0.45415419340133667,0.4306598663330078,0.47380239360000004,0.3253708779811859,0.8416335940361023,0.5477602124214173,0.8914032578468323,0.5823488235473633,0.23708437383174896,0.5733654022216796,0.42264450192451475
2427.0,0.32889499664306643,0.5478705644607544,0.4261812031269073,0.7640284,0.7566486716270446,0.3465442001819611,0.2548275053501129,0.36654333472251893,0.38861986994743347,0.6006865978240967,0.17810759842395782,0.45403656363487244,0.4260695934295654,0.5481655716896057,0.5844595789909363,0.30925076007843016,0.43747800000000003,0.38282519578933716,0.4532383978366852,0.4306545674800873,0.4722637952,0.32359790802001953,0.8411432027816772,0.5461446523666382,0.8911014795303345,0.5845686197280884,0.2360786646604538,0.5735855340957642,0.418525767326355
2428.0,0.32928899526596067,0.5478929996490478,0.4260688066482544,0.7640696,0.7561505317687989,0.34656879901885984,0.2520045131444931,0.36412675976753234,0.38758084177970886,0.6016034007072448,0.17862339913845063,0.4537544846534729,0.42548739314079287,0.5466843724250794,0.5836913824081421,0.3088712513446808,0.436212,0.382383793592453,0.4523226022720337,0.43064926862716674,0.4707251968,0.32182493805885315,0.8406528115272522,0.5445290923118591,0.8907997012138367,0.5867884159088135,0.23507295548915863,0.5738056659698486,0.4144070327281952
2429.0,0.32968299388885497,0.5479154348373413,0.42595641016960145,0.7641108000000001,0.755652391910553,0.34659339785575866,0.2491815209388733,0.3617101848125458,0.38654181361198425,0.602520203590393,0.1791391998529434,0.45347240567207336,0.4249051928520203,0.545203173160553,0.5829231858253479,0.3084917426109314,0.434946,0.38194239139556885,0.4514068067073822,0.43064396977424624,0.4691865984,0.32005196809768677,0.8401624202728272,0.5429135322570801,0.8904979228973389,0.5890082120895386,0.23406724631786346,0.5740257978439331,0.4102882981300354
2430.0,0.33007699251174927,0.5479378700256348,0.4258440136909485,0.764152,0.7551542520523071,0.34661799669265747,0.24635852873325348,0.3592936098575592,0.38550278544425964,0.6034370064735413,0.17965500056743622,0.45319032669067383,0.4243229925632477,0.5437219738960266,0.5821549892425537,0.308112233877182,0.43368,0.3815009891986847,0.4504910111427307,0.4306386709213257,0.467648,0.3182789981365204,0.8396720290184021,0.541297972202301,0.8901961445808411,0.5912280082702637,0.2330615371465683,0.5742459297180176,0.4061695635318756
2431.0,0.3304327964782715,0.5481098532676697,0.42595860958099363,0.7639130000000001,0.7546561241149903,0.3466307997703552,0.24562377631664276,0.35687715411186216,0.38449286222457885,0.6034502029418946,0.17980940043926238,0.4530501842498779,0.423756992816925,0.5420107841491699,0.5814287900924683,0.30773273706436155,0.432966,0.38035818934440613,0.44940961003303526,0.43060527443885804,0.4659196022,0.3165061056613922,0.8387334227561951,0.539145314693451,0.8898943781852722,0.5927426099777222,0.23206615447998047,0.5744660496711731,0.4020510256290436
2432.0,0.3307886004447937,0.5482818365097046,0.42607320547103883,0.7636740000000001,0.7541579961776733,0.34664360284805296,0.24488902390003203,0.35446069836616517,0.38348293900489805,0.6034633994102478,0.17996380031108855,0.452910041809082,0.42319099307060243,0.5402995944023132,0.5807025909423829,0.30735324025154115,0.432252,0.37921538949012756,0.44832820892333985,0.4305718779563904,0.4641912044,0.314733213186264,0.837794816493988,0.5369926571846009,0.8895926117897034,0.5942572116851806,0.23107077181339264,0.5746861696243286,0.39793248772621154
2433.0,0.33114440441131593,0.5484538197517395,0.426187801361084,0.763435,0.7536598682403565,0.34665640592575075,0.24415427148342134,0.35204424262046813,0.3824730157852173,0.603476595878601,0.18011820018291474,0.45276989936828616,0.4226249933242798,0.5385884046554565,0.5799763917922973,0.3069737434387207,0.431538,0.378072589635849,0.4472468078136444,0.4305384814739227,0.4624628066,0.3129603207111359,0.836856210231781,0.5348399996757507,0.8892908453941345,0.5957718133926392,0.2300753891468048,0.5749062895774841,0.3938139498233795
2434.0,0.3315002083778381,0.5486258029937744,0.4263023972511292,0.763196,0.7531617403030395,0.3466692090034485,0.2434195190668106,0.34962778687477114,0.3814630925655365,0.6034897923469543,0.1802726000547409,0.45262975692749025,0.4220589935779572,0.5368772149085999,0.5792501926422119,0.3065942466259003,0.430824,0.37692978978157043,0.446165406703949,0.43050508499145507,0.4607344088,0.3111874282360077,0.8359176039695739,0.5326873421669006,0.8889890789985657,0.5972864151000976,0.22908000648021698,0.5751264095306396,0.38969541192054746
2435.0,0.33185601234436035,0.5487977862358093,0.4264169931411743,0.762957,0.7526636123657227,0.34668201208114624,0.2426847666501999,0.3472113311290741,0.3804531693458557,0.6035029888153076,0.18042699992656708,0.45248961448669434,0.4214929938316345,0.5351660251617432,0.5785239934921265,0.30621474981307983,0.43011,0.37578698992729187,0.44508400559425354,0.4304716885089874,0.459006011,0.3094145357608795,0.8349789977073669,0.5305346846580505,0.8886873126029968,0.5988010168075562,0.22808462381362915,0.5753465294837952,0.38557687401771545
2436.0,0.332286012172699,0.5489877343177796,0.42656359672546384,0.7629032,0.7521654725074768,0.3467280089855194,0.24508296847343444,0.344794762134552,0.37965072989463805,0.6031421899795533,0.1802024006843567,0.4523631393909454,0.42105799317359927,0.532118821144104,0.5779507994651795,0.30583524107933047,0.429792,0.3755431890487671,0.44397360682487486,0.430390989780426,0.458717006,0.30764156579971313,0.8338160037994384,0.5286144495010376,0.888385534286499,0.6003492116928101,0.22709679305553437,0.5755666613578796,0.38145813941955564
2437.0,0.3327160120010376,0.5491776823997497,0.42671020030975343,0.7628494,0.7516673326492309,0.3467740058898926,0.247481170296669,0.34237819314002993,0.3788482904434204,0.6027813911437988,0.1799778014421463,0.45223666429519654,0.42062299251556395,0.5290716171264649,0.5773776054382325,0.30545573234558104,0.429474,0.37529938817024233,0.4428632080554962,0.43031029105186464,0.458428001,0.30586859583854675,0.83265300989151,0.5266942143440246,0.8880837559700012,0.601897406578064,0.22610896229743957,0.5757867932319641,0.3773394048213959
2438.0,0.3331460118293762,0.54936763048172,0.42685680389404296,0.7627956,0.7511691927909852,0.3468200027942657,0.24987937211990358,0.3399616241455078,0.3780458509922028,0.6024205923080445,0.1797532021999359,0.4521101891994476,0.4201879918575287,0.5260244131088256,0.5768044114112854,0.3050762236118317,0.429156,0.3750555872917175,0.44175280928611754,0.4302295923233032,0.458138996,0.30409562587738037,0.8314900159835815,0.5247739791870117,0.8877819776535034,0.6034456014633178,0.2251211315393448,0.5760069251060486,0.3732206702232361
2439.0,0.33357601165771483,0.5495575785636901,0.42700340747833254,0.7627418,0.7506710529327393,0.3468659996986389,0.2522775739431381,0.3375450551509857,0.3772434115409851,0.60205979347229,0.17952860295772552,0.45198371410369875,0.4197529911994934,0.5229772090911865,0.5762312173843384,0.30469671487808225,0.428838,0.37481178641319274,0.4406424105167389,0.43014889359474184,0.457849991,0.302322655916214,0.8303270220756531,0.5228537440299987,0.8874801993370056,0.6049937963485718,0.22413330078125,0.5762270569801331,0.3691019356250763
2440.0,0.33400601148605347,0.5497475266456604,0.42715001106262207,0.762688,0.7501729130744934,0.3469119966030121,0.2546757757663727,0.3351284861564636,0.37644097208976746,0.6016989946365356,0.17930400371551514,0.45185723900794983,0.41931799054145813,0.5199300050735474,0.5756580233573914,0.3043172061443329,0.42852,0.37456798553466797,0.43953201174736023,0.4300681948661804,0.457560986,0.3005496859550476,0.8291640281677246,0.5209335088729858,0.8871784210205078,0.6065419912338257,0.2231454700231552,0.5764471888542175,0.3649832010269165
2441.0,0.3345270097255707,0.5498421311378479,0.4267848074436188,0.7624722,0.7498284101486206,0.3470029950141907,0.257354211807251,0.33347012400627135,0.37597336173057555,0.6003031969070435,0.1789534032344818,0.4517597734928131,0.4189267933368683,0.5181506037712097,0.5754080176353454,0.30469255447387694,0.427922,0.37491078972816466,0.43864821195602416,0.42993338108062745,0.4561361906,0.29951717257499694,0.8282334208488464,0.5188551902770996,0.8870405554771423,0.6075979948043824,0.2222010999917984,0.5757293462753296,0.36145992279052735
2442.0,0.3350480079650879,0.5499367356300354,0.42641960382461547,0.7622564000000001,0.7494839072227478,0.3470939934253693,0.2600326478481293,0.3318117618560791,0.37550575137138364,0.5989073991775513,0.17860280275344848,0.45166230797767637,0.4185355961322784,0.516371202468872,0.5751580119132995,0.305067902803421,0.42732400000000004,0.37525359392166135,0.4377644121646881,0.4297985672950745,0.4547113952,0.29848465919494627,0.8273028135299683,0.5167768716812133,0.8869026899337769,0.6086539983749389,0.2212567299604416,0.5750115036964416,0.3579366445541382
2443.0,0.3355690062046051,0.5500313401222229,0.4260544002056122,0.7620406,0.749139404296875,0.34718499183654783,0.26271108388900755,0.33015339970588686,0.3750381410121918,0.597511601448059,0.17825220227241517,0.4515648424625397,0.4181443989276886,0.5145918011665345,0.5749080061912537,0.3054432511329651,0.426726,0.3755963981151581,0.4368806123733521,0.42966375350952146,0.4532865998,0.29745214581489565,0.8263722062110901,0.5146985530853272,0.8867648243904114,0.6097100019454956,0.22031235992908477,0.5742936611175538,0.354413366317749
2444.0,0.3360900044441223,0.5501259446144104,0.42568919658660886,0.7618248,0.7487949013710022,0.34727599024772643,0.26538951992988585,0.3284950375556946,0.3745705306529999,0.5961158037185669,0.17790160179138184,0.45146737694740297,0.41775320172309877,0.5128123998641968,0.5746580004692078,0.30581859946250917,0.426128,0.3759392023086548,0.435996812582016,0.4295289397239685,0.4518618044,0.296419632434845,0.8254415988922119,0.5126202344894409,0.8866269588470459,0.6107660055160522,0.21936798989772796,0.5735758185386658,0.35089008808135985
2445.0,0.3366110026836395,0.5502205491065979,0.4253239929676056,0.761609,0.7484503984451294,0.34736698865890503,0.26806795597076416,0.3268366754055023,0.374102920293808,0.5947200059890747,0.1775510013103485,0.45136991143226624,0.4173620045185089,0.5110329985618591,0.5744079947471619,0.3061939477920532,0.42553,0.3762820065021515,0.43511301279067993,0.4293941259384155,0.450437009,0.2953871190547943,0.8245109915733337,0.5105419158935547,0.8864890933036804,0.6118220090866089,0.21842361986637115,0.5728579759597778,0.3473668098449707
2446.0,0.3373344004154205,0.5503637909889221,0.42542999386787417,0.7615314,0.7481058716773987,0.3474809885025024,0.2688268482685089,0.3251782298088074,0.3738995432853699,0.5923614025115966,0.17705579996109008,0.45120297074317933,0.4168668031692505,0.509665596485138,0.5740527987480164,0.3065693140029907,0.42494200000000004,0.37686180472373965,0.4341326117515564,0.42929306626319885,0.449051809,0.2943545520305634,0.8233459949493408,0.508916974067688,0.886351215839386,0.6109238028526306,0.21749787628650666,0.5721401095390319,0.34384337067604065
2447.0,0.33805779814720155,0.5505070328712464,0.4255359947681427,0.7614538,0.747761344909668,0.34759498834609986,0.2695857405662537,0.3235197842121124,0.37369616627693175,0.5900027990341187,0.17656059861183165,0.45103603005409243,0.41637160181999205,0.5082981944084167,0.5736976027488708,0.30694468021392823,0.424354,0.37744160294532775,0.4331522107124329,0.4291920065879822,0.447666609,0.2933219850063324,0.8221809983253479,0.5072920322418213,0.8862133383750915,0.6100255966186523,0.21657213270664216,0.5714222431182862,0.3403199315071106
2448.0,0.33878119587898253,0.5506502747535705,0.42564199566841127,0.7613762000000001,0.7474168181419373,0.34770898818969725,0.2703446328639984,0.3218613386154175,0.37349278926849366,0.5876441955566406,0.17606539726257325,0.45086908936500547,0.41587640047073365,0.5069307923316956,0.5733424067497254,0.3073200464248657,0.42376600000000003,0.3780214011669159,0.4321718096733093,0.4290909469127655,0.446281409,0.29228941798210145,0.821016001701355,0.5056670904159546,0.8860754609107971,0.6091273903846741,0.21564638912677764,0.5707043766975403,0.33679649233818054
2449.0,0.33950459361076357,0.5507935166358948,0.4257479965686798,0.7612986,0.7470722913742065,0.3478229880332947,0.2711035251617432,0.3202028930187225,0.3732894122600555,0.5852855920791626,0.17557019591331482,0.45070214867591857,0.4153811991214752,0.5055633902549743,0.5729872107505798,0.30769541263580324,0.423178,0.378601199388504,0.4311914086341858,0.42898988723754883,0.444896209,0.29125685095787046,0.8198510050773621,0.5040421485900879,0.8859375834465026,0.6082291841506958,0.21472064554691314,0.5699865102767945,0.3332730531692505
2450.0,0.34022799134254456,0.550936758518219,0.42585399746894836,0.761221,0.7467277646064758,0.3479369878768921,0.2718624174594879,0.3185444474220276,0.37308603525161743,0.5829269886016846,0.1750749945640564,0.45053520798683167,0.4148859977722168,0.5041959881782532,0.5726320147514343,0.3080707788467407,0.42259,0.37918099761009216,0.43021100759506226,0.42888882756233215,0.443511009,0.2902242839336395,0.8186860084533691,0.5024172067642212,0.8857997059822083,0.6073309779167175,0.21379490196704865,0.5692686438560486,0.32974961400032043
