Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
2109.0,0.3244761943817139,0.30784019231796267,0.4387722074985504,0.757149,0.8210737109184265,0.3348012030124664,0.44970864057540894,0.6421411395072937,0.6797718167304992,0.7899764060974122,0.15529700219631196,0.7006203889846802,0.48637861013412476,0.7866069912910462,0.6637467861175537,0.5632680773735046,0.604706,0.4968947947025299,0.5974274158477784,0.5121418595314026,0.688813782,0.5668546557426453,0.8727984070777893,0.6837577819824219,0.9045971632003784,0.7227227926254273,0.35503665208816526,0.6733861684799194,0.7050422906875611
2110.0,0.3242169916629791,0.3087039887905121,0.4388180077075958,0.75729,0.8210701942443848,0.3348360061645508,0.4462401866912842,0.642181396484375,0.6786836385726929,0.7896350026130676,0.15523800253868103,0.700966477394104,0.48625001311302185,0.7843149900436401,0.6635609865188599,0.5628429651260376,0.60482,0.4968149960041046,0.5972080230712891,0.5121463537216187,0.689598978,0.5656821727752686,0.8727520108222961,0.6841769814491272,0.9053053855895996,0.7226679921150208,0.35509997606277466,0.6731252074241638,0.7035865187644958
2111.0,0.3241017937660217,0.30971118807792664,0.43876940608024595,0.757349,0.821066677570343,0.33486520648002627,0.44142181873321534,0.6422216534614563,0.6775245904922486,0.7887942075729371,0.15494800209999085,0.7014212250709534,0.4863226115703583,0.7819655895233154,0.6634893894195557,0.5624178290367127,0.605332,0.4966437995433807,0.597547423839569,0.512295663356781,0.6895495776,0.564509642124176,0.8730300068855286,0.6844977855682373,0.9060136437416076,0.7224745988845825,0.3552059829235077,0.6728642225265503,0.7021306753158569
2112.0,0.3239865958690643,0.3107183873653412,0.43872080445289613,0.757408,0.8210631608963013,0.3348944067955017,0.4366034507751465,0.6422619104385376,0.6763655424118042,0.7879534125328064,0.15465800166130067,0.7018759727478028,0.4863952100276947,0.7796161890029907,0.6634177923202514,0.5619926929473877,0.605844,0.49647260308265684,0.5978868246078491,0.5124449729919434,0.6895001772,0.5633371114730835,0.873308002948761,0.6848185896873474,0.9067219018936157,0.7222812056541443,0.3553119897842407,0.6726032376289368,0.700674831867218
2113.0,0.32387139797210696,0.31172558665275574,0.43867220282554625,0.757467,0.8210596442222595,0.3349236071109772,0.4317850828170776,0.6423021674156189,0.6752064943313598,0.7871126174926758,0.15436800122261046,0.702330720424652,0.48646780848503113,0.7772667884826661,0.6633461952209473,0.5615675568580627,0.606356,0.496301406621933,0.5982262253761291,0.5125942826271057,0.6894507768,0.562164580821991,0.8735859990119934,0.6851393938064575,0.9074301600456238,0.722087812423706,0.35541799664497375,0.6723422527313232,0.6992189884185791
2114.0,0.32375620007514955,0.3127327859401703,0.43862360119819643,0.7575259999999999,0.8210561275482178,0.3349528074264526,0.4269667148590088,0.6423424243927002,0.6740474462509155,0.7862718224525451,0.15407800078392028,0.7027854681015014,0.48654040694236755,0.7749173879623413,0.663274598121643,0.5611424207687378,0.6068680000000001,0.4961302101612091,0.5985656261444092,0.5127435922622681,0.6894013764,0.5609920501708985,0.8738639950752258,0.6854601979255677,0.9081384181976319,0.7218944191932678,0.3555240035057068,0.6720812678337097,0.6977631449699402
2115.0,0.32364100217819214,0.31373998522758484,0.43857499957084656,0.757585,0.821052610874176,0.3349820077419281,0.42214834690093994,0.6423826813697815,0.6728883981704712,0.7854310274124146,0.1537880003452301,0.7032402157783508,0.486613005399704,0.7725679874420166,0.6632030010223389,0.5607172846794128,0.60738,0.49595901370048523,0.5989050269126892,0.5128929018974304,0.689351976,0.5598195195198059,0.8741419911384583,0.6857810020446777,0.9088466763496399,0.7217010259628296,0.3556300103664398,0.6718202829360962,0.6963073015213013
2116.0,0.3233438014984131,0.3148297905921936,0.4384566009044647,0.7576039999999999,0.8213171005249024,0.33494560718536376,0.4168732762336731,0.6425353050231933,0.6714009523391724,0.7846812248229981,0.15337400138378143,0.7035390734672546,0.4866886019706726,0.7721399903297425,0.6631718039512634,0.5598432421684265,0.607754,0.4959184110164642,0.5991770267486572,0.512921416759491,0.6897507788,0.5576642632484436,0.8736305952072143,0.686328399181366,0.9088322758674622,0.7216296195983887,0.35564022660255434,0.6720582365989685,0.6955671787261963
2117.0,0.323046600818634,0.31591959595680236,0.4383382022380829,0.7576229999999999,0.8215815901756287,0.3349092066287994,0.41159820556640625,0.6426879286766052,0.6699135065078735,0.7839314222335816,0.15296000242233276,0.7038379311561584,0.4867641985416412,0.7717119932174683,0.6631406068801879,0.5589691996574402,0.608128,0.4958778083324432,0.5994490265846253,0.5129499316215516,0.6901495816,0.5555090069770813,0.8731191992759705,0.6868757963180542,0.9088178753852845,0.7215582132339478,0.3556504428386688,0.6722961902618408,0.6948270559310913
2118.0,0.322749400138855,0.31700940132141114,0.43821980357170104,0.757642,0.8218460798263549,0.33487280607223513,0.4063231348991394,0.6428405523300171,0.6684260606765747,0.783181619644165,0.1525460034608841,0.7041367888450623,0.4868397951126099,0.771283996105194,0.6631094098091126,0.5580951571464539,0.608502,0.49583720564842226,0.5997210264205932,0.512978446483612,0.6905483844,0.553353750705719,0.8726078033447265,0.6874231934547425,0.9088034749031066,0.7214868068695068,0.35566065907478334,0.6725341439247131,0.6940869331359864
