Sample ID,6_Hydrothermal_Clay_00001
Species,6_Hydrothermal_Clay
Subgroup,6_Hydrothermal_Clay
Group,6_Hydrothermal_Clay
Library,EXM_MRS
Sample Description,Sample 6
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1366.0,0.39759300000000003
1367.0,0.397356
1368.0,0.397072
1369.0,0.39672199999999996
1370.0,0.396314
1371.0,0.39585000000000004
1372.0,0.395323
1373.0,0.394725
1374.0,0.394053
1375.0,0.393316
1376.0,0.392526
1377.0,0.391685
1378.0,0.390777
1379.0,0.38982700000000003
1380.0,0.38885800000000004
1381.0,0.387885
1382.0,0.386894
1383.0,0.385882
1384.0,0.38484699999999994
1385.0,0.383799
1386.0,0.382734
1387.0,0.381629
1388.0,0.38046599999999997
1389.0,0.37925600000000004
1390.0,0.377997
1391.0,0.376678
1392.0,0.37528300000000003
1393.0,0.373793
1394.0,0.37225299999999995
1395.0,0.370714
1396.0,0.369201
1397.0,0.36768500000000004
1398.0,0.36617400000000005
1399.0,0.36467700000000003
1400.0,0.36318300000000003
1401.0,0.361694
1402.0,0.360238
1403.0,0.35883400000000004
1404.0,0.35743400000000003
1405.0,0.35607999999999995
1406.0,0.35484699999999997
1407.0,0.353782
1408.0,0.352808
1409.0,0.35200499999999996
1410.0,0.351488
1411.0,0.351323
1412.0,0.35145000000000004
1413.0,0.351832
1414.0,0.352432
1415.0,0.35331
1416.0,0.354455
1417.0,0.355728
1418.0,0.35700400000000004
1419.0,0.358346
1420.0,0.359749
1421.0,0.36115
1422.0,0.3625
1423.0,0.36383699999999997
1424.0,0.36515000000000003
1425.0,0.366417
1426.0,0.367618
1427.0,0.36876600000000004
1428.0,0.369879
1429.0,0.37098
1430.0,0.372085
1431.0,0.373176
1432.0,0.374229
1433.0,0.375218
1434.0,0.376145
1435.0,0.37702199999999997
1436.0,0.377856
1437.0,0.378652
1438.0,0.37939999999999996
1439.0,0.380114
1440.0,0.380807
1441.0,0.381496
1442.0,0.38217599999999996
1443.0,0.382818
1444.0,0.38339399999999996
1445.0,0.38388399999999995
1446.0,0.384313
1447.0,0.384716
1448.0,0.385124
1449.0,0.385522
1450.0,0.38590800000000003
1451.0,0.386289
1452.0,0.386673
1453.0,0.38706
1454.0,0.387437
1455.0,0.387792
1456.0,0.38811500000000004
1457.0,0.38841299999999995
1458.0,0.388698
1459.0,0.38898000000000005
1460.0,0.38925
1461.0,0.389512
1462.0,0.389781
1463.0,0.390069
1464.0,0.390371
1465.0,0.390683
1466.0,0.391006
1467.0,0.391337
1468.0,0.39167700000000005
1469.0,0.39202800000000004
1470.0,0.39239199999999996
1471.0,0.392778
1472.0,0.393182
1473.0,0.393583
1474.0,0.39396299999999995
1475.0,0.394313
1476.0,0.394653
1477.0,0.39500799999999997
1478.0,0.3954
1479.0,0.395826
1480.0,0.39626300000000003
1481.0,0.396688
1482.0,0.397099
1483.0,0.397509
1484.0,0.397894
1485.0,0.398234
1486.0,0.398506
1487.0,0.398741
1488.0,0.398984
1489.0,0.39927300000000004
1490.0,0.399596
1491.0,0.399936
1492.0,0.40027999999999997
1493.0,0.400625
1494.0,0.40097900000000003
1495.0,0.401331
1496.0,0.401667
1497.0,0.40198500000000004
1498.0,0.40229
1499.0,0.402587
1500.0,0.402877
1501.0,0.40314999999999995
1502.0,0.403419
1503.0,0.40369900000000003
1504.0,0.403999
1505.0,0.40431399999999995
1506.0,0.40464
1507.0,0.404971
1508.0,0.405321
1509.0,0.405684
1510.0,0.406034
1511.0,0.406345
1512.0,0.406604
1513.0,0.40684
1514.0,0.407087
1515.0,0.407374
1516.0,0.40769
1517.0,0.408007
1518.0,0.408295
1519.0,0.408552
1520.0,0.40879
1521.0,0.409
1522.0,0.40917299999999995
1523.0,0.40928600000000004
1524.0,0.409371
1525.0,0.409474
1526.0,0.409635
1527.0,0.40984200000000004
1528.0,0.410064
1529.0,0.41027
1530.0,0.410443
1531.0,0.410599
1532.0,0.410755
1533.0,0.410927
1534.0,0.41111
1535.0,0.411303
1536.0,0.411504
1537.0,0.41171599999999997
1538.0,0.411939
1539.0,0.412171
1540.0,0.412409
1541.0,0.41265799999999997
1542.0,0.41292
1543.0,0.413175
1544.0,0.41340699999999997
1545.0,0.413624
1546.0,0.41382599999999997
1547.0,0.414007
1548.0,0.41416200000000003
1549.0,0.414285
1550.0,0.414394
1551.0,0.41450899999999996
1552.0,0.41464199999999996
1553.0,0.414782
1554.0,0.414916
1555.0,0.41503100000000004
1556.0,0.415125
1557.0,0.415207
1558.0,0.41529000000000005
1559.0,0.415379
1560.0,0.41546700000000003
1561.0,0.415561
1562.0,0.41566600000000004
1563.0,0.41578000000000004
1564.0,0.41590000000000005
1565.0,0.41604199999999997
1566.0,0.416221
1567.0,0.41645200000000004
1568.0,0.416708
1569.0,0.416952
1570.0,0.41716200000000003
1571.0,0.417354
1572.0,0.41753300000000004
1573.0,0.41769599999999996
1574.0,0.41784
1575.0,0.41796700000000003
1576.0,0.418089
1577.0,0.418219
1578.0,0.41835900000000004
1579.0,0.418497
1580.0,0.41861899999999996
1581.0,0.41871600000000003
1582.0,0.41879600000000006
1583.0,0.418858
1584.0,0.4189
1585.0,0.41890700000000003
1586.0,0.41889200000000004
1587.0,0.418885
1588.0,0.41891100000000003
1589.0,0.41895899999999997
1590.0,0.419024
1591.0,0.41910600000000003
1592.0,0.419221
1593.0,0.419371
1594.0,0.41951
1595.0,0.419591
1596.0,0.419587
1597.0,0.419544
1598.0,0.41951700000000003
1599.0,0.419552
1600.0,0.41962299999999997
1601.0,0.41972000000000004
1602.0,0.419831
1603.0,0.419969
1604.0,0.42013
1605.0,0.420287
1606.0,0.42040999999999995
1607.0,0.42048900000000006
