Sample ID,Standard_00003
Species,Standard
Subgroup,Standard
Group,Standard
Library,EXM_MRS
Sample Description,Setup + Grey
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1117.0,0.478254
1118.0,0.478414
1119.0,0.47856699999999996
1120.0,0.478708
1121.0,0.478846
1122.0,0.47897599999999996
1123.0,0.47909799999999997
1124.0,0.479204
1125.0,0.479298
1126.0,0.479394
1127.0,0.47950699999999996
1128.0,0.479645
1129.0,0.479796
1130.0,0.479949
1131.0,0.480088
1132.0,0.480212
1133.0,0.480329
1134.0,0.480447
1135.0,0.480574
1136.0,0.48070799999999997
1137.0,0.480848
1138.0,0.48099
1139.0,0.48113799999999995
1140.0,0.481307
1141.0,0.48147599999999996
1142.0,0.481618
1143.0,0.481704
1144.0,0.48173
1145.0,0.48173099999999996
1146.0,0.48174700000000004
1147.0,0.48180700000000004
1148.0,0.481893
1149.0,0.481996
1150.0,0.482112
1151.0,0.482247
1152.0,0.48241
1153.0,0.48257599999999995
1154.0,0.482717
1155.0,0.48281199999999996
1156.0,0.48287599999999997
1157.0,0.482928
1158.0,0.48298699999999994
1159.0,0.483059
1160.0,0.483131
1161.0,0.483213
1162.0,0.483313
1163.0,0.48344299999999996
1164.0,0.483594
1165.0,0.483747
1166.0,0.483878
1167.0,0.483983
1168.0,0.484076
1169.0,0.48417
1170.0,0.484277
1171.0,0.484392
1172.0,0.484512
1173.0,0.48464100000000004
