,white_spectralon_enfys_sampled Au_measured,white_spectralon Au_reference
Filepath,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Measured/white_spectralon_enfys_sampled.csv,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Reference/white_spectralon.csv
Category,Measured,Reference
Sample ID,SRS-99 Aber Spectralon,SRS-99 Aber Spectralon
Species,au_measured,au_reference
Subgroup,SRS-99,SRS-99
Group,Spectralon,Spectralon
Library,Calibration,Calibration
Sample Description,,
Date Added,,
Viewing Geometry,,
Other Information,As measured by Enfys,
Composition,,
Resolution,,
Grain Size,,
Locality,,
Database of Origin,Aberystwyth University,Aberystwyth University
Reflectance,---,---
1138.0,0.7761570284025974,0.781275986
1139.0,0.7745271686623376,0.782338301
1140.0,0.774753408025974,0.782323298
1141.0,0.7775231906060606,0.784967633
1142.0,0.7802929731861472,0.793792592
1143.0,0.7830627557662337,0.803146121
1144.0,0.7854368626926407,0.807531002
1145.0,0.7877196598528139,0.803040254
1146.0,0.790002457012987,0.791033435
1147.0,0.7917870761082251,0.778291541
1148.0,0.7916173043333333,0.771369758
1149.0,0.7914475325584416,0.773478872
1150.0,0.7912777607835497,0.78069284
1151.0,0.7908603948268398,0.787337081
1152.0,0.7902736223246754,0.790933391
1153.0,0.7896868498225108,0.792871712
1154.0,0.7891000773203464,0.797039801
1155.0,0.7934445207272727,0.805431509
1156.0,0.7978672374025974,0.814521698
1157.0,0.802289954077922,0.82092473
1158.0,0.8056422178701298,0.823702544
1159.0,0.8072103935238095,0.824054039
1160.0,0.8087785691774891,0.823333301
1161.0,0.8103467448311688,0.822403277
1162.0,0.8111399203636364,0.82097873
1163.0,0.8116958509610389,0.818931347
1164.0,0.8122517815584416,0.81687185
1165.0,0.8126258466147186,0.816131114
1166.0,0.8120178377489178,0.816888275
1167.0,0.8114098288831169,0.81757682
1168.0,0.810801820017316,0.816978518
1169.0,0.8087209819090909,0.814926041
1170.0,0.8054197995714286,0.812003192
1171.0,0.8021186172337663,0.808819964
1172.0,0.7988174348961039,0.805332536
1173.0,0.7960958447662337,0.8019107
1174.0,0.7934128941168831,0.7980038
1175.0,0.7907299434675324,0.793523951
1176.0,0.7878096056363636,0.788647301
1177.0,0.7844031892900433,0.783488069
1178.0,0.7809967729437229,0.777587075
1179.0,0.7775903565974026,0.771031871
1180.0,0.7709902363203464,0.763638029
1181.0,0.7631404058095238,0.756294191
1182.0,0.7552905752987012,0.748628864
1183.0,0.7473560593030303,0.740253914
1184.0,0.7387319615021645,0.730235852
1185.0,0.7301078637012988,0.718111259
1186.0,0.721483765900433,0.703500074
1187.0,0.7132640451731602,0.687660344
1188.0,0.7054487015194806,0.670483241
1189.0,0.6976333578658009,0.65306717
1190.0,0.6898180142121212,0.637083368
1191.0,0.6820951692207793,0.623642399
1192.0,0.6743836837142857,0.614891042
1193.0,0.6666721982077922,0.612455183
1194.0,0.6601085353766234,0.616240268
1195.0,0.6564781971601732,0.624375206
1196.0,0.652847858943723,0.633964274
1197.0,0.6492175207272728,0.642933116
1198.0,0.646847538012987,0.649708343
1199.0,0.6450930777532468,0.653964857
1200.0,0.6433386174935065,0.656466155
1201.0,0.641809712056277,0.657410894
1202.0,0.64366412895671,0.65775599
1203.0,0.6455185458571429,0.658351547
1204.0,0.6473729627575757,0.659648528
1205.0,0.6476069125108225,0.661181561
1206.0,0.645885126051948,0.662654276
1207.0,0.6441633395930736,0.663812333
1208.0,0.6424415531341992,0.664218638
1209.0,0.6417531532207792,0.663320537
1210.0,0.6412561211861472,0.660988331
1211.0,0.6407590891515151,0.657332504
1212.0,0.640337834974026,0.652616603
1213.0,0.6401641217965368,0.647888147
1214.0,0.6399904086190477,0.643926059
1215.0,0.6398166954415584,0.641847608
1216.0,0.6388821133463203,0.641698784
1217.0,0.6374910099004328,0.642947129
1218.0,0.6360999064545454,0.644827886
1219.0,0.634745744,0.645935012
1220.0,0.635718864,0.645391538
1221.0,0.636691984,0.642981941
1222.0,0.637665104,0.638425727
1223.0,0.636481789064935,0.631835666
1224.0,0.6321467615324675,0.623536469
1225.0,0.627811734,0.614136977
1226.0,0.6234767064675325,0.604112102
1227.0,0.6195747322987013,0.594107279
1228.0,0.6157831442813853,0.585010709
1229.0,0.6119915562640692,0.577556927
