Sample ID,15_Oxia_Sophia_00003
Species,15_Oxia_Sophia
Subgroup,15_Oxia_Sophia
Group,15_Oxia_Sophia
Library,EXM_MRS
Sample Description,Sample 15
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1399.0,0.35256
1400.0,0.35296700000000003
1401.0,0.35341500000000003
1402.0,0.353831
1403.0,0.354143
1404.0,0.35434899999999997
1405.0,0.354491
1406.0,0.354604
1407.0,0.35470999999999997
1408.0,0.354777
1409.0,0.354833
1410.0,0.35492199999999996
1411.0,0.355064
1412.0,0.35523699999999997
1413.0,0.355441
1414.0,0.355676
1415.0,0.355954
1416.0,0.356269
1417.0,0.35659799999999997
1418.0,0.356916
1419.0,0.357231
1420.0,0.357547
1421.0,0.357863
1422.0,0.358176
1423.0,0.358485
1424.0,0.358795
1425.0,0.35911099999999996
1426.0,0.35943600000000003
1427.0,0.359767
1428.0,0.360103
1429.0,0.360442
1430.0,0.36079500000000003
1431.0,0.36115699999999995
1432.0,0.361504
1433.0,0.361815
1434.0,0.36208599999999996
1435.0,0.362333
1436.0,0.36257300000000003
1437.0,0.362813
1438.0,0.363038
1439.0,0.363266
1440.0,0.36351799999999995
1441.0,0.363816
1442.0,0.364151
1443.0,0.364492
1444.0,0.364807
1445.0,0.365098
1446.0,0.365375
1447.0,0.365629
1448.0,0.365851
1449.0,0.366025
1450.0,0.366179
1451.0,0.36634700000000003
1452.0,0.366556
1453.0,0.366793
1454.0,0.367044
1455.0,0.367299
1456.0,0.36755699999999997
1457.0,0.36782200000000004
1458.0,0.36808599999999997
1459.0,0.36834000000000006
1460.0,0.368583
1461.0,0.36882
1462.0,0.369052
1463.0,0.36928199999999994
1464.0,0.369511
1465.0,0.36973500000000004
1466.0,0.36995100000000003
1467.0,0.370155
1468.0,0.370349
1469.0,0.37054000000000004
1470.0,0.370734
1471.0,0.370931
1472.0,0.37113
1473.0,0.37133299999999997
1474.0,0.371543
1475.0,0.37174599999999997
1476.0,0.371958
1477.0,0.3722
1478.0,0.37249200000000005
1479.0,0.372832
1480.0,0.37319899999999995
1481.0,0.373572
1482.0,0.373964
1483.0,0.37438299999999997
1484.0,0.37477699999999997
1485.0,0.375097
1486.0,0.375319
1487.0,0.37548699999999996
1488.0,0.375654
1489.0,0.375865
1490.0,0.376099
1491.0,0.376346
1492.0,0.376601
1493.0,0.376865
1494.0,0.377141
1495.0,0.37742
1496.0,0.377689
1497.0,0.37794400000000006
1498.0,0.378191
1499.0,0.37844
1500.0,0.378698
1501.0,0.378959
1502.0,0.379224
1503.0,0.379501
1504.0,0.37979599999999997
1505.0,0.38011
1506.0,0.380428
1507.0,0.380732
1508.0,0.38102400000000003
1509.0,0.38131
1510.0,0.381577
1511.0,0.381814
1512.0,0.382
1513.0,0.38216700000000003
1514.0,0.382362
1515.0,0.382622
1516.0,0.382928
1517.0,0.383253
1518.0,0.38357199999999997
1519.0,0.383899
1520.0,0.384234
1521.0,0.384538
1522.0,0.38476999999999995
1523.0,0.384902
1524.0,0.38498800000000005
1525.0,0.385097
1526.0,0.385285
1527.0,0.385532
1528.0,0.385799
1529.0,0.386051
1530.0,0.386279
1531.0,0.38650100000000004
1532.0,0.38670299999999996
1533.0,0.38687600000000005
1534.0,0.387005
1535.0,0.38711199999999996
1536.0,0.38722999999999996
1537.0,0.387382
1538.0,0.387552
1539.0,0.387738
1540.0,0.38793700000000003
1541.0,0.388152
1542.0,0.388384
1543.0,0.388625
