Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1178.17511177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184.06598733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189.98631726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.93624885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201.9159301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207.92550975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213.96513729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220.03496298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226.1351378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232.26581348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238.42714255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244.61927826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250.84237466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257.09658653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263.38206946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269.69897981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276.04747471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282.42771208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288.83985064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295.2840499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301.76047015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308.2692725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314.81061886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321.38467195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327.99159531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334.63155329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.30471106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348.01123461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354.75129078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361.52504724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368.33267247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375.17433584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382.05020752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388.96045855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395.90526085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402.88478715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409.89921109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416.94870714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424.03345068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431.15361793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438.30938602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445.50093295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452.72843761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459.9920798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467.2920402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474.6285004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482.0016429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489.41165112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496.85870938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
