Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1375.17433584,0.3608987007575594,0.5703265716995429,0.23426124010421712,0.38765704110625454,0.8167518296867391,0.29448433574811894,0.8282997153742425,0.8116969767624179,0.8481816843855732,0.8370747890837634,0.6926404743358452,0.8538456430458498,0.3802187573295341,0.8490530100966213,0.5406558114393218,0.49311014695923994,0.4690242032799179,0.602409557393209,0.49460629552810975,0.7927861903782386,0.6007397783663011,0.8863070063663246,0.8793206474855837,0.9032924718873415,0.7339648852315124,0.48436857156689295,0.42172144291640234,0.7471408086976049
1382.05020752,0.3636971759802933,0.5636077243427585,0.23664284839833194,0.39542500886404963,0.8146017919758353,0.2955065300109359,0.8224832130805394,0.7947937606079843,0.8425712910776882,0.8411884033578695,0.6828431392451191,0.8481942670273865,0.3785068521789002,0.8295971105104845,0.5419526586714515,0.4904509183107825,0.457470941921181,0.5951545707634103,0.48883940357179206,0.7507688142604662,0.5610685955778952,0.8864778640899302,0.8747482833987189,0.9030258934886747,0.7334403929160032,0.4714041796901147,0.4225958199520801,0.7311503729521849
1388.96045855,0.36657180181981686,0.5553695918140165,0.23895951593669246,0.40323747188290104,0.8138367446527507,0.2965603175010436,0.8132825936711299,0.7748228784371544,0.8369847205179084,0.845176763820539,0.6705790101817679,0.8408419169987112,0.3747324019912582,0.8096558987557244,0.5421443305784401,0.4840582471598592,0.44862013968230824,0.5845496211271319,0.4794503749580963,0.6992333505260769,0.506023398639854,0.8865711636862442,0.8695618543759034,0.9019147699553002,0.7328695229095634,0.4562414500626824,0.42398942848078397,0.7084611103752853
1395.90526085,0.36933399885904267,0.5468418428028886,0.24101173840487308,0.41113278407056547,0.8138994917684118,0.2976221815948646,0.79998053512982,0.7567148970540558,0.8293020990673541,0.8478652880364469,0.655543035102135,0.831134423529941,0.37574661176061475,0.7959616806810408,0.5401434646905708,0.47057449538362056,0.4495512703625015,0.5723798604548223,0.46665021827427416,0.6819724345118869,0.500006521515349,0.8866122964438217,0.8648139677962194,0.9008803893062103,0.7325113448538297,0.43969624346734554,0.4256870264065485,0.678276005813361
1402.88478715,0.37216027725964757,0.5409110670928149,0.2433654730636415,0.4196808134832126,0.813689351816807,0.29877370556498434,0.7803212039078036,0.7394753160782293,0.8174996317944898,0.8505424982592615,0.6372375296960948,0.8188819045753222,0.3804369057733595,0.7926082275281461,0.5379027109762602,0.44900635228311775,0.45815548181070276,0.5589198227434439,0.4519541993894625,0.679452335308307,0.5476560784613201,0.8870959353810068,0.8595349220701094,0.8997991165992935,0.7314779253544106,0.42472309064801594,0.42762609374186444,0.6380953867864583
1409.89921109,0.37509946789828813,0.5356907360686376,0.24621601829812184,0.42868774395394244,0.8135226966273053,0.3000479603798062,0.7514687512836422,0.7186675324866745,0.8012541829238967,0.8535512148052591,0.616287113363557,0.8046781581218425,0.3840423704518238,0.7896845557211911,0.5366592468603355,0.4347488665167844,0.46751699329297697,0.5488154005272374,0.43934497204704576,0.6713392151433524,0.5823108360689433,0.8874659923200591,0.8542099133852334,0.8993989446152695,0.7303432099415944,0.4152766225839032,0.42940474228843856,0.5877867192012013
1416.94870714,0.37785382090631797,0.5294136879688532,0.24915820649280565,0.4376697530075179,0.8142754299905933,0.3013821272425608,0.7084717252206892,0.6966298650202141,0.7811516191855343,0.8554613006231144,0.5946874370403591,0.7901315588624933,0.38685160354630815,0.7968326495533862,0.5377686073493,0.4459081131998392,0.47500959121311187,0.5483829163056685,0.4317570716101982,0.6693419807133066,0.5974659903946589,0.887847430503265,0.8500106806720172,0.899045978251178,0.7290042950529865,0.41203219876864805,0.4305967352387559,0.5405965367258723
1424.03345068,0.38042589522887077,0.5227190613413378,0.2521475582266855,0.4467377807968945,0.8151480903223889,0.3026399411387702,0.6574236884155968,0.6809071413892697,0.7588604075132435,0.8565385160120618,0.5744472908949736,0.7772984503017593,0.389132892419613,0.8337101110170275,0.542334346281549,0.46927608194831844,0.4804598674511992,0.5574031139141403,0.42886809009448507,0.6767681465018375,0.6052519711610921,0.8887158255945761,0.8461758127327382,0.8985043566490695,0.7272889457555213,0.4125871052664209,0.4316861305119702,0.5191892513014016
1431.15361793,0.3829509593369427,0.5154954803882248,0.2552862545705075,0.4560537523808615,0.8154610022539196,0.3039251329817984,0.6421060167165207,0.6774360454278492,0.7362564573631426,0.8568164145632267,0.5566561523911475,0.7676654375788815,0.39090075935834506,0.865784161860704,0.5486881144355978,0.48662459791454477,0.48472098314815415,0.568738245827384,0.42971850672316575,0.6888358307219294,0.6108743411021867,0.8893599538702266,0.8426759733276196,0.8977620386444208,0.7251811527839581,0.4146651426035196,0.4327473690720531,0.5325226756768221
1438.30938602,0.38545183484921336,0.5076395858143755,0.25857082850662977,0.4655370025489596,0.8160372216869103,0.30517023789224795,0.6557108973037074,0.6856458112813193,0.7115390815818514,0.8557931437466457,0.5412123976755708,0.7620874339162278,0.392751350742543,0.8848596596067728,0.5546089725842741,0.49703993014966424,0.4882737707318498,0.5783048211525817,0.43585415993614,0.7010522496209016,0.6157756948911881,0.8896156196500647,0.8394105306206161,0.8967010539900426,0.7232483174604137,0.4170984619662497,0.4338089834549195,0.5667941705021109
1445.50093295,0.38794866427389973,0.4993147491530401,0.26200215734829935,0.4748587418078441,0.8169139327241153,0.30643756799989763,0.6594409538129316,0.699936458937726,0.6915242576393994,0.8526311705244464,0.5276575584661752,0.7605593382285161,0.39494458994443393,0.8953627630377423,0.5591577261120629,0.5040797188345932,0.49138492275878065,0.5849851410343903,0.4468146385870105,0.7111239525113845,0.6208604942996361,0.8898025708376588,0.836238582853755,0.8960959359469757,0.7213467090088393,0.4192328632175852,0.4346756801888136,0.6034198254516315
1452.72843761,0.39042216787356493,0.49084334938004465,0.2654617851031212,0.48414056650993514,0.8173532445220283,0.3077296954801815,0.6466998226706594,0.7158616242797033,0.6895689278272805,0.8461923490150989,0.5156898321234732,0.7617355066660237,0.39757867666141766,0.9018053808474134,0.5630957107648104,0.5090405459449502,0.494006095931932,0.5888258902314506,0.4564940851193654,0.7183967255116579,0.6254629927021663,0.8899912797422165,0.8333840913753768,0.8960044641200785,0.717858920233269,0.4208744874676175,0.43534185956357363,0.6305244699115523
1459.9920798,0.3927499618116159,0.48216857735688134,0.2690785840635512,0.4935413680641037,0.8186319503504665,0.30895008948272273,0.6292184284813043,0.7287144326974138,0.6993450094079796,0.8350685510245034,0.5051871023800294,0.764193384533898,0.40026396476926673,0.9068364092097974,0.5666455033431615,0.5126070364264951,0.4961662130585271,0.5914470629237463,0.4624393879464046,0.7238817510947608,0.6289468983511043,0.8901958010684728,0.8309184264992431,0.8960649047740555,0.7120057457988256,0.4226309018717069,0.4359911650935793,0.6440759277936497
1467.2920402,0.3949821385025867,0.47323685038389124,0.2726996662331249,0.503227336318154,0.8199544207711716,0.31015109983067296,0.6077224467765797,0.735391983259906,0.7079556725041692,0.8205830211369354,0.49595706420418195,0.7671629100428706,0.4028166114818052,0.9105393492505923,0.5698711730928896,0.5156304417185766,0.49797393441576926,0.594646491155832,0.4670029106510279,0.7310700233254388,0.6318179822744023,0.8905041699630456,0.8287571067783708,0.8966943111245599,0.7020611513751871,0.4256659537410833,0.43645653372613524,0.6542465642884429
1474.6285004,0.3971887368023599,0.4644125515274313,0.27642846283889116,0.513125905380901,0.821224331670028,0.31139579144692175,0.5821168522692981,0.739065851378547,0.7129754664415309,0.8084232203096117,0.48831478916607024,0.7707653431038095,0.4051774063206533,0.9138797621769225,0.5731853149128145,0.5186181994011898,0.49963079842039654,0.5989464467194616,0.4718623089508546,0.7418408451497257,0.6348047272666092,0.8911109651279646,0.8267798010533384,0.8975203325549986,0.6888524082068247,0.4300503071128282,0.436305010994112,0.6778197029723844
1482.0016429,0.39937464215820234,0.4553779492749928,0.2802604492749901,0.5230005455322462,0.8228022241735534,0.31274153247261466,0.5953151692527717,0.7472614696175185,0.7146981108058189,0.8081162897489009,0.48221940965509785,0.7752620240874015,0.4073740911352555,0.9167048064292962,0.5762760529877554,0.5212721201698894,0.5016050014783597,0.6032842835513282,0.47673633502644064,0.7542503536933072,0.6379092979026497,0.8913148633648631,0.8249457149736361,0.8986386703626476,0.6853539560128056,0.43491646080283897,0.43557647504049907,0.7092673703664413
1489.41165112,0.40147474948428064,0.44632836936286746,0.2842431754206488,0.5328317941581531,0.8243861323829795,0.31409655775888956,0.6431159372065569,0.7591467191579414,0.7150013827991903,0.8213940477904825,0.47674530325547704,0.7804344987087427,0.40931380578232884,0.918672824013007,0.5790933598961643,0.5234154825484373,0.5034112586932846,0.606965936879601,0.48106987098439835,0.7657058536503986,0.6405931404790705,0.8915121984807315,0.8232756882455979,0.899965643686447,0.6978109592774664,0.4397574037894423,0.4345712208649378,0.7377563134063112
1496.85870938,0.40364240929418976,0.43722146432829967,0.28847193800572196,0.5424037109477423,0.8249453337311156,0.31532314696445923,0.6787324026401637,0.7706844648074771,0.7204890214310552,0.8339476087991993,0.47112926253023585,0.7858608226929698,0.4110858852956752,0.920013727468798,0.5819991167430215,0.5249407529655841,0.5050520663253105,0.6101156596747533,0.48481498468899287,0.7757891320607928,0.6425630082478775,0.8920187256324447,0.8218292161259102,0.900634243626772,0.7117815476757559,0.4443250903523655,0.432622627402146,0.760879236399726
1504.34300292,0.40581871196690755,0.4279861211694985,0.292782725524701,0.5516822137697566,0.8250000155615789,0.31649034297364165,0.7044354855759807,0.7814089984414155,0.7320062373805101,0.8402091605032617,0.46504327191239564,0.7910978890661556,0.41254587738229315,0.9217326225355541,0.5848553539370918,0.5260900611755204,0.5065584352717193,0.6129184670253548,0.4881532789178098,0.7845832643998044,0.6441340058608312,0.8923559763920398,0.8205245728981533,0.901219877089643,0.7199855037172275,0.4485250962523599,0.42985920514448356,0.7789192428542081
1511.86471794,0.4078187202859838,0.41878743596520646,0.2971142263308106,0.5608547556761417,0.8256556435556894,0.3176811175750735,0.7264421888727967,0.7900623286548152,0.7423073585224832,0.8428346100180658,0.4583260466792741,0.795864021025016,0.4140899674571005,0.9237541765087482,0.5876305979529023,0.527290711971669,0.5080146774320038,0.6154676741691228,0.49110682842947245,0.7924156843765672,0.6453564463767084,0.8925286828563644,0.8195007410254391,0.9017503158375257,0.7246347741428952,0.45232080476707826,0.42677960974580204,0.7934432182451799
1519.42404153,0.4097651804778179,0.4095895343116698,0.3015991021999482,0.5700048913024499,0.8268722349642604,0.3188369379659404,0.7422657759779804,0.795895872909476,0.7475951477278759,0.8430694332924697,0.45107662159550915,0.800034886827906,0.41571185739332,0.9251177674178538,0.590166181690256,0.5282009009699932,0.5093146710011065,0.6175291909737657,0.4936979749091746,0.7994079305872537,0.6462160656643591,0.8926682852154675,0.818855821352094,0.9020785643736942,0.7277982433294474,0.4557280771094353,0.423591743831102,0.8061139100154326
1527.02116173,0.4115391362418717,0.40044842392148966,0.30599077919960327,0.5790300338570682,0.8278323444313079,0.320005500993169,0.7524025994989852,0.7992999876821194,0.7491126671315304,0.84245773777249,0.44336209012216593,0.8035993077112282,0.4172249017272726,0.9261774305893522,0.5923941084156873,0.5289067781068367,0.5104124812080382,0.6195278404651782,0.4959632830628399,0.8058965474929412,0.6462572417639445,0.8928430198400036,0.8184572982633156,0.9029157497191286,0.7298976005813216,0.45873777284587663,0.420261119885524,0.8171398438314885
1534.65626754,0.4131455441659546,0.3913279203118699,0.3104754407876835,0.5880113420607798,0.8286263420133854,0.32105196125909735,0.759092451004337,0.8017102865281093,0.7500351022846473,0.8418895298268609,0.43556743053008834,0.8066277085773531,0.41880351658272963,0.9273965592018714,0.5950307822468475,0.5296198764636216,0.5114622015645618,0.6212498010399187,0.4979649527901333,0.8119447931939002,0.6461206135199727,0.8930671828695008,0.8182233443275694,0.9042033324382741,0.731256172704666,0.4613856855141194,0.4172175561981464,0.8261859404375496
1542.32954888,0.41480442876571116,0.3823327290567948,0.31497709938031004,0.5967238654605642,0.8298406304870068,0.32209161635618444,0.7640392666275484,0.8053025293769285,0.7547958905575084,0.8418987298490748,0.4285194431193253,0.8092613398640285,0.42052901727141645,0.9286025967033579,0.5977573031450395,0.531138426966029,0.5125993992956475,0.6229325125469253,0.49980614924765715,0.8176982080061788,0.6474871934953005,0.893328418346926,0.8182803621210919,0.9050108214586535,0.7319930403689844,0.46372785737425537,0.4165122712520804,0.8336631003306215
1550.04119662,0.4163292860127845,0.37348658443615823,0.31937536307996983,0.6052120101231668,0.8305612980917296,0.3230310202863867,0.7672104604986841,0.8110430267670591,0.7654797225647418,0.8429292800833749,0.42416515722259657,0.8115840232866398,0.42238450217670165,0.9295369332784167,0.6000449359135552,0.5333587881657554,0.5137594883586395,0.6238574427974107,0.5014206350564626,0.8227904874113342,0.6501368462737706,0.8934089531741204,0.8187659633794339,0.90545215022857,0.732859228891826,0.4657520847240688,0.42014307794441025,0.8404922117243024
1557.79140261,0.4177218124289006,0.36466117786532837,0.32364356446375653,0.6135290609547044,0.8311990848654499,0.3238479229263795,0.7691311284545469,0.817500870315786,0.7792905438274628,0.8451438704917815,0.4227836763834188,0.8135922374211246,0.4242380677706087,0.9298485924161788,0.602214952733387,0.5356318886102056,0.5149254410888341,0.624817360002704,0.5029989795485045,0.827355708588757,0.652437819723975,0.8935981736463965,0.8194858224176237,0.9060439618372879,0.7336428798256898,0.4674408877893734,0.42681986404798805,0.8462374372445307
1565.58035962,0.41918761303040075,0.3559886481963664,0.327709584701993,0.6215466468714043,0.8316886770279316,0.32467698914093723,0.7699607741100036,0.823326293014864,0.7921609820424206,0.8485844043698559,0.4222320951807614,0.8153861220068174,0.42607114611875474,0.9304787113793943,0.6043660278182679,0.537556579314366,0.5162084518869228,0.6261170884147805,0.5045502496550044,0.8316843354937213,0.6540450030863925,0.8938405860325387,0.8201693428071632,0.9064164618215342,0.7342262275079046,0.46884119599360224,0.434189843990507,0.8508984281935584
1573.40826142,0.42058422318489164,0.34739619945402694,0.33186012036540424,0.6293374617614856,0.8317144347034954,0.3253864770909793,0.7699740319232528,0.828269237809699,0.8028990370836955,0.8523063143819658,0.42109090042478653,0.8169950581902549,0.4279898138502036,0.9310671211591272,0.6065683212288308,0.5395684358893742,0.5173303973621439,0.6277502781944856,0.5059872171020993,0.8351930937155826,0.655350656669916,0.8938753615043095,0.8210408420077556,0.9060678873208303,0.7346443227704599,0.469930190319028,0.44110033683305705,0.8550552018672711
1581.27530273,0.42190006992616097,0.3389253633570415,0.3360896952247392,0.6369045120454327,0.832003532130631,0.3261087071273673,0.7693885357837461,0.8321901495912961,0.8124161115460907,0.8558346691124924,0.4190284711744909,0.8184147399343125,0.4300440234496674,0.9315251669634287,0.6090045789897061,0.5418757957764956,0.5182554682386036,0.6287151830221632,0.5072734240776926,0.8382524466758479,0.6565215213497205,0.8939163929665045,0.8217725782112,0.906242338899109,0.7348954536183879,0.47078517197830794,0.4476452550207888,0.8592640833246885
1589.18167924,0.4230643073291442,0.3307137163773532,0.3403771651406834,0.6440502563825583,0.832227947431706,0.3267757884153674,0.7685157593516347,0.8351504330912111,0.8210810742023696,0.8592234389511118,0.4161903927651145,0.8197172046095905,0.43212440474236885,0.9316567549876845,0.6111948891287137,0.5442190305812118,0.519045682283908,0.6296965331321167,0.5084297616748048,0.8413313398842428,0.6574473022920625,0.8942573282630549,0.8222403334976875,0.9066731452844313,0.7351157303788688,0.471413258251926,0.45390460554112866,0.8631047343720643
1597.12758764,0.42409563365849123,0.3225930942786848,0.34466701588054033,0.650825271068036,0.832262129291095,0.32753672315433896,0.7675506664426373,0.8383004055129006,0.8292156468157125,0.8625219502354874,0.4131750883123799,0.8209131600338292,0.4341436367324355,0.9320134183532424,0.6132002153239972,0.5463592679481994,0.5199028802773553,0.6309906085164602,0.5095339168172538,0.844011928534595,0.6583972527979877,0.8950285270896525,0.8226252903675335,0.9063817262051106,0.7350826036873592,0.4718234535383136,0.45970812752506063,0.8656434774747938
1605.11322557,0.4250688636390521,0.3145369692524181,0.34879565784673733,0.6575159546859853,0.8324481884649368,0.328361217482678,0.7659699073941146,0.8413166793932088,0.8372339035108748,0.8653113734680402,0.4103899154872106,0.8220068955239365,0.43610019688581875,0.9322659221900861,0.6151555717144178,0.5482885288571677,0.5208089133680646,0.6320766201636279,0.5105390361285245,0.8461148496575986,0.6595305205913103,0.8955136607487449,0.8230033598916766,0.9059539023624437,0.7350053009494036,0.47202552477939363,0.46505931452408117,0.8676308671349211
1613.1387917,0.4259450686289218,0.30681406887674606,0.3529552709672853,0.6638399512955767,0.8327575753398447,0.3290992723304374,0.7648910108323775,0.8433857360681712,0.8448786336406252,0.8676506077698231,0.40838636262472133,0.822982152727959,0.4379166684489774,0.9320887559937624,0.6173881241590479,0.5504890450127112,0.5217706232692583,0.6327163309320127,0.5114659725496297,0.847745078123204,0.6605183179535606,0.8954687205210076,0.8232549457781568,0.9061822874963257,0.7353176681334023,0.4720385343077183,0.47001662184668536,0.8699101140749687
1621.20448566,0.4264381440019911,0.2994361107363435,0.3571227002941772,0.669655447478519,0.8326691033914132,0.32958961479958193,0.7639139139366935,0.8451460498941342,0.8516547312120191,0.8695585084444081,0.4074249192992808,0.8238622768208463,0.4397040688792867,0.931316258077678,0.619204551906975,0.5526743759500101,0.5224894322718393,0.6327898469347323,0.5122653627065162,0.8494538034645669,0.6613099740832068,0.8955172213425368,0.8233065003797119,0.9067288393592936,0.7354283852099038,0.47189987169516046,0.4746150407604162,0.8718964326086439
1629.31050809,0.4267536364605238,0.2923776942751397,0.361161637335105,0.6752170874343242,0.8323800152813562,0.32991646383868406,0.7625789767864024,0.8466206358739244,0.8575493195800777,0.8710386340147942,0.40749669040742825,0.8246183577218417,0.4415662286972776,0.9305333809471841,0.6209965862353953,0.5546290878251365,0.5232306096668963,0.6328920419618094,0.512962267773869,0.8508966153781382,0.6620274791492331,0.89573491268014,0.8229656473458639,0.9067544644549375,0.7354498626201439,0.4716277697786553,0.47928013787001866,0.8730074932841037
1637.45706063,0.42720815377022175,0.28565003198000455,0.3652185788992155,0.6806254635412813,0.8323485717962321,0.3302141886996404,0.7610502272416145,0.8474910671091475,0.8629302373007841,0.8722934451029837,0.4086458822793586,0.8251906041515898,0.4434679502158151,0.9301181885282823,0.6230963008675793,0.556273687095684,0.5240965249295314,0.6334559715107143,0.5137567747782487,0.8523352403710642,0.6627225237755936,0.8963116901616476,0.8222032045336753,0.9062685179200591,0.7355976070847977,0.47118248365014453,0.48395251939346706,0.8734429206189066
1645.64434593,0.4278008379015818,0.2791705677359173,0.3691491443534627,0.6857299524633576,0.8324624163294942,0.3305410579537522,0.7591380349616358,0.8476522732999309,0.8674160464722176,0.8733228966258009,0.41029280482066344,0.8256330782530029,0.4453481893355829,0.9298097443864282,0.6249158678924958,0.5578281929395511,0.5249533713057567,0.6340070832123419,0.5145448358526333,0.8533610245835489,0.6635114668246009,0.8967650814626487,0.8213539611531403,0.905745633511999,0.7357043455824345,0.4705704891994263,0.48863979388557954,0.8734071228272783
1653.87256766,0.42818308815796613,0.2729599897014778,0.3731654875586144,0.690545314578053,0.8325582407531645,0.3308962795312036,0.7564510274872054,0.846921239093353,0.8707092008640501,0.8734949290415945,0.411364369246995,0.8258475228370743,0.447184383442673,0.9295186339950954,0.6262795211722487,0.5594542071380658,0.5256317937259382,0.6347372789660651,0.5152111264934899,0.8535607628468614,0.6643126702950435,0.8967746973419229,0.8205760864646702,0.9058674751645899,0.7356852021149245,0.46981801237694965,0.4932708560770324,0.8728540431065647
1662.1419305,0.4283356247988558,0.26688965483985927,0.37727739173506514,0.6951048114151804,0.8323388250991147,0.3312615269864425,0.7530405154022318,0.8442414574434283,0.8727594485425388,0.8729883263648727,0.4117120076011114,0.8257034307043013,0.448951243961699,0.9289412812227859,0.6273002631190304,0.5608429432900556,0.5262922128138217,0.6356725510961018,0.5159008722477532,0.8530994174966458,0.6651044828872442,0.8965520265878936,0.819565572743677,0.9065027120513766,0.7354149679760608,0.4689187886780121,0.4974958165860869,0.8713120002341264
1670.45264015,0.4285309466301689,0.26086276121415103,0.38095481758280025,0.6996697877082414,0.8319169695282452,0.3316175275410027,0.748558711964684,0.8403269879209914,0.8732212901608376,0.8725134176437872,0.41174857762506784,0.8251375065315257,0.4505852832108236,0.9277309757266606,0.6281334413810656,0.5619451332357522,0.5269636374107469,0.6365439498200969,0.5164846632117227,0.8524857686836276,0.6655235063723265,0.8966616378209243,0.8186206117820328,0.9071548974916859,0.7351741693239917,0.4678918239038419,0.5012952432399878,0.8688063059105828
1678.80490335,0.4285423524142421,0.25486952480553765,0.38438549200528377,0.7037207127295397,0.831604293642862,0.3321519294830249,0.7433031805051629,0.8362091069113472,0.8713809535327606,0.8728290725127373,0.41157645555868055,0.8241695652112903,0.4522302449337151,0.9272235431685928,0.6293607699903062,0.5630010085787645,0.5276325298598412,0.6370408833683945,0.5170042556471928,0.8514483433742509,0.665995414058934,0.8969147144590713,0.817484344838771,0.9067263916131801,0.7351198487102507,0.4666881440927364,0.5053374609904179,0.8651623235825749
1687.19892787,0.4284257497909421,0.24918467589347387,0.387621700510562,0.7073861016376368,0.8322997196698505,0.3325495153952097,0.7375807900436716,0.8317254529312449,0.8667524904628028,0.8735566857543148,0.41133749825914634,0.8227640306690164,0.45393723431538224,0.926513440978016,0.6309099737914573,0.5645028301847907,0.5282246997150497,0.6371610141521852,0.5175108469038144,0.8501568403226456,0.6673804374109005,0.8970074055100467,0.8162501229050312,0.9061726799515601,0.7350948416288842,0.4653193438261883,0.5106756093865101,0.8610559608995674
1695.63492251,0.42825145755292954,0.24394331961666615,0.3907629029797642,0.7108803866738311,0.833727958902462,0.3329280867541118,0.7313903520504097,0.8262248902654636,0.8587700499899683,0.8742339918649188,0.41113242135975786,0.8210162949573149,0.455705904307602,0.9259047585187714,0.6326706685469442,0.5661819326149853,0.5287357310448483,0.6371701017008883,0.5180866851016201,0.8483004876025151,0.6695142325161022,0.897345951324681,0.815093238233501,0.9064228082922227,0.7350295075236455,0.463780174905676,0.5169727644801696,0.8561256707669946
1704.11309712,0.4279723999125972,0.23919682979301718,0.3938587938440728,0.7141261437548829,0.8346315779820851,0.3333461266454666,0.7239456369563861,0.8190335267172238,0.8468560763664054,0.8749586451996656,0.4111211313110689,0.819224678403819,0.45725227519232686,0.9251655947646995,0.6345540115324515,0.5673419184426136,0.5290031674382767,0.6370765207993937,0.5186888972016129,0.845594483080224,0.6704681029137959,0.8976035346579407,0.8142422681012528,0.9073852131973218,0.7349813496154901,0.4620505203359313,0.522142274483844,0.849634117683528
1712.63366261,0.4275648186872172,0.234586567338985,0.396888566372141,0.7171764048006144,0.8343719499814521,0.3336310923130113,0.7138270452134454,0.8099907054777971,0.8312589285218295,0.8752179983200451,0.4116605914051121,0.8176107399166979,0.45832126005635104,0.9241322741136564,0.6361970065284739,0.5679430398004724,0.5291140265173566,0.6368851372672115,0.5189674053001935,0.8420271357765581,0.6697769730991138,0.8974738040605656,0.8132998431213956,0.9082881939757169,0.7348217745910264,0.46005969596431445,0.5265048113419728,0.8407355049507819
1721.19683092,0.4270324467984932,0.23014697316424132,0.3997973012351847,0.7198075171965796,0.8330992476469319,0.333831222988988,0.6996546426991009,0.7993609467459895,0.8127556512342454,0.8747849429803216,0.41314541998096593,0.8160889114500145,0.4593315290357082,0.9228839996822075,0.6376152800900827,0.5684228063233974,0.5293033945437146,0.6362788376657582,0.5190275008139542,0.8377279918262408,0.6690586077044093,0.8971357639749359,0.8122772627310824,0.9089110938545533,0.7345015216736361,0.45776651124044954,0.5313536094315825,0.8296600027750123
1729.80281508,0.42641087536604877,0.2258800161222219,0.402441133234912,0.7219809238303192,0.8324447901529877,0.33403517912519015,0.680993641048567,0.7871257553331487,0.7932485511985621,0.8737907640615701,0.41534441170002323,0.8146025550262237,0.4604630567068088,0.9214579203805864,0.6388541006707622,0.5692695295258644,0.5295356964807244,0.6353996660611713,0.5189883415866158,0.8327508153504153,0.6692688810476006,0.8966605889571894,0.8113620523385486,0.9094947813791049,0.7340451714625432,0.45523348478538334,0.536741662722332,0.8158707660234653
1738.45182915,0.4255002936923079,0.22179476255488811,0.4049741417343814,0.7240538296493859,0.832921534698679,0.3341334622235733,0.6597102541019416,0.7740719570812744,0.7753938692275743,0.8723893776998646,0.41804617763700486,0.8132165968160115,0.46159990432177816,0.9196957985468421,0.6402417582004815,0.5701870529832381,0.529484363148767,0.6340356625861331,0.5189096273861514,0.8270551739868489,0.6703509702935028,0.89613272439899,0.8106166704088593,0.9101349144634169,0.7336271238676263,0.4525033256372035,0.5421472685736012,0.7984459611943723
1747.1440883,0.42428363029712995,0.21798320170674176,0.40765572119690857,0.7261070832032356,0.8327684187969988,0.3341264454824315,0.6387613530039635,0.7615080403612895,0.7630204252866543,0.870815210372509,0.42127839074965906,0.8120284560448122,0.4625994129812458,0.9177216555523141,0.6415113628899174,0.5708289022456038,0.5292291381512086,0.6326878523558823,0.518809802667794,0.8210376368169833,0.670897637515969,0.8955055553832322,0.8100032043635126,0.9102214889311977,0.7334508656695967,0.44957186293284535,0.5469773489802815,0.7768669553357942
1755.87980874,0.42308984856309106,0.21444803017988326,0.4101561519702664,0.7279005553142538,0.8321490430137568,0.334011855167512,0.622821400331207,0.7508959731600051,0.7588130136101445,0.8689110692386247,0.42484525482233293,0.8110792754553012,0.46343064415450314,0.9154117496175911,0.6427265613066706,0.5710170507168125,0.5288683541800302,0.631678535036632,0.5185104583111437,0.8148177512310858,0.670973885954936,0.8946302299202278,0.8091273121482224,0.9099927836657442,0.7334318954501454,0.4464789819174035,0.5510832902593401,0.752878424773559
1764.65920778,0.4217840709072647,0.21110856603876246,0.4123595747132328,0.7294938715815561,0.8316154151523683,0.3339057255214114,0.6156553790942172,0.7432771031871594,0.760830512675605,0.8668397088262589,0.4284360075340371,0.8101405886408479,0.46415373735002813,0.9127363302158072,0.6440233349821617,0.5710605853377907,0.5285006648461702,0.6305297609256432,0.5182689451055896,0.8085421706913607,0.6702082644877722,0.8938972711482426,0.8079265437339896,0.9090952010702112,0.7334755014135966,0.4433798382738885,0.5549911421078784,0.7292701527289015
1773.48250382,0.4203403128762609,0.20800553541440525,0.41438459076904477,0.730876371372112,0.8315166741035981,0.3338431225649688,0.6214415212050375,0.7393083719221436,0.7649047670210867,0.8648102573503087,0.431961336512537,0.8090462540955276,0.4649584624678935,0.9096611603192176,0.6452385388845144,0.57125095272595,0.5281283556747737,0.6292820301944874,0.5179784192868597,0.8023751467887037,0.668945929958636,0.8935609724920639,0.8064240854375329,0.9076441792772686,0.733457758525549,0.4404290406720737,0.558961990012852,0.7091389383263209
