Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
960.287580831,0.16321671101382243,0.15202018107099718,0.20735284450891003,0.2649725418445288,0.31423349350195084,0.3242014854315816,0.8711520326773656,0.9096412225898964,0.9366087059989444,0.4234026586821167,0.8471401810386353,0.9350306798975101,0.2916729593380466,0.9294484809587922,0.44180275797761565,0.4136908462828677,0.41162938753515826,0.5835947989538414,0.38604325755335805,0.8969535531587047,0.5658203721053477,0.884724533204432,0.9000225064597667,0.9014474810469898,0.7357422144027322,0.5644934496445912,0.23945883441390114,0.8732806621230512
965.089018736,0.16009027875756265,0.15869267216738206,0.2064257011499521,0.2591109096577638,0.3230634276896036,0.3234413106352005,0.8700848207589016,0.9082818251897106,0.9352792966071194,0.4261642579012698,0.8456807390385184,0.9320713708961744,0.2931074061348494,0.9295682294532659,0.4424441056068685,0.4139215435003424,0.4133322608004323,0.5837708180872554,0.3870470338380876,0.8967185942492862,0.5688227130887005,0.8847945039443241,0.9000784808389446,0.901781256936832,0.7358333577467592,0.5641102682099857,0.23796853861216147,0.865369698638305
969.914463829,0.15719742211205162,0.16626496650812758,0.2054451407190141,0.253252269892339,0.33184476322022916,0.32253521060654555,0.8686055876245742,0.9067485699128116,0.9337414687323242,0.4294239023145526,0.8442930699572441,0.929242358234246,0.29428853812341216,0.930902407861489,0.4431972517173876,0.4147302098647042,0.41503223264224237,0.5839460751707604,0.38822233058112743,0.8975982508697259,0.5704023309591258,0.8846984134431459,0.9001786666271161,0.902000519221096,0.73581286409122,0.5639397603540702,0.2364995431618745,0.8592919617064269
974.764036148,0.1545920667188215,0.17474391540639098,0.2041892308480284,0.24763873443491238,0.3408311304663768,0.3215437194522411,0.8667187119115145,0.9059819213052375,0.9322887400129932,0.4333763067045446,0.8430680225147814,0.926611726445186,0.29539562515798357,0.9330273616723505,0.443842708755152,0.41577411066626246,0.41656143912455657,0.5845428141903192,0.38961552048258635,0.8988448128797332,0.5710326691050254,0.8848771441138257,0.9001591047200997,0.9018113420084328,0.7358577413779173,0.5639588213105002,0.23513078511564472,0.8588067820142553
979.637856329,0.15221551560937446,0.18428064231056532,0.20300931245910075,0.2422764308896762,0.3500438147100868,0.32058052281941196,0.86435209910244,0.9062517052684049,0.9307483704333717,0.43737896125025044,0.8421055949024159,0.9247142359085299,0.2964926704304322,0.9346082875375781,0.44436113350049555,0.41673585481026204,0.417832326951879,0.5857485097001852,0.39103533211630276,0.8996017594681593,0.5714396507019248,0.8849658655737457,0.8999993695097479,0.9010124618981395,0.7360306154584931,0.5640579770086338,0.23419268704220375,0.8619970864087396
984.536045611,0.150082055137911,0.1947235759730159,0.20187851281334954,0.23689973446048412,0.35945287950069493,0.31972387477821274,0.8615679866203021,0.9072852220022571,0.9289930626567182,0.4412092850873852,0.8413603412624437,0.9240978009260153,0.29750071151074065,0.9354870399249187,0.4448225142735203,0.4175092171208593,0.4188570501994554,0.5866919354159166,0.3925913575180406,0.9001114835957377,0.5721243180547415,0.88486953954415,0.8999559996940308,0.9007909567908943,0.7361462055402558,0.5641856005263094,0.23337860319481887,0.8670504284963205
989.458725839,0.1482033863531697,0.20607730556085677,0.20078406833632473,0.2317260165515654,0.3691895879354462,0.31871614615766963,0.8588351501801497,0.9086701468462128,0.9275625457309938,0.4454547468267558,0.8405238555208768,0.9242599927654146,0.2983995497387977,0.9357029308836933,0.44520563106822886,0.41811223864887054,0.419728737196838,0.5869861854744703,0.39447583630184757,0.9005442559333343,0.5728909841387785,0.8848670127464549,0.89981154725344,0.9013616228315465,0.7360717948023533,0.5641328218420432,0.23263671393090815,0.8730855155658775
994.406019468,0.14663036027911627,0.218457544163733,0.19961222552392235,0.22683229061646415,0.37929659076587663,0.3174897906795709,0.8567725979553349,0.9101716580818519,0.926532946389057,0.4499207020128551,0.8396826794751066,0.9247904560355888,0.2991279208383222,0.9360870904002683,0.4455283203596015,0.4184577752681772,0.4205319651494382,0.5869820294775644,0.39646064431802813,0.9012473372752943,0.5734454298203945,0.8848820215387978,0.8997689695083244,0.9015004583496311,0.7358873052682338,0.5640032760730294,0.23207088502584286,0.8789096533081129
999.378049565,0.14541969496927906,0.2321182335813042,0.1984260493709176,0.2223327660794789,0.3895801022417776,0.31627567564511494,0.8559651671600175,0.911797606733403,0.9264954177910291,0.45455103144426146,0.8391783268198443,0.9253483791047866,0.29972747743270434,0.9368779654477931,0.4459002791716784,0.41840037369344163,0.42133816597200563,0.587705007083399,0.39842349407244937,0.9019604679551022,0.5740316338652078,0.8847759322275542,0.8999165660708925,0.9006999769626173,0.7356584420431824,0.5640262774347664,0.23138247017280697,0.8837333844435702
1004.37493981,0.14458178426052945,0.24688039653284238,0.19728206565113932,0.2181996534196725,0.3998827981264437,0.31521414778025175,0.856746739607997,0.9133344637646201,0.9274720315889612,0.45953130187305496,0.8392099572007848,0.9261779157200629,0.300253878650234,0.9369238711909981,0.44631063246372293,0.41827990926680847,0.4220167106870422,0.5883832085156836,0.40057341529583756,0.9027980382686068,0.5749028330441662,0.8842464422745743,0.900430667876637,0.9004576948837869,0.7355335221573309,0.5640886782714164,0.23059998793799696,0.8880209554256111
