,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1686.55255666,0.9995506829110088,0.9913977789693489,0.9958796444267712,0.999771902737689,0.9996687654063172,0.944305707893678,0.9964889584764114,1.0,0.4166164054681702,0.9794065870808798,1.0,0.9972859776574902,0.9807054630094166,0.9997301930270057,0.9996492091011281,0.9979166253037774,0.9994621528843884,0.9968212167087064,1.0,1.0,0.9987162294305639,1.0,0.9970435761797374,0.9807983755804481,0.9968336349703126,0.9989296925057548,0.9980143432991523,0.7136119249308533,0.9946233291352153
1694.9652068,0.9999932119285985,0.9917960954600966,0.9960203994895703,0.9996023355202024,1.0,0.9508179610247834,0.9942821171300418,1.0,0.4081352283336493,0.9827599851072375,1.0,0.9991585642332285,0.9815242415137269,0.9998447909062853,0.9997135099640962,0.9983620441003007,1.0,0.9980375282574322,1.0,0.9998012932004967,0.9991078439535851,1.0,0.9992996459645297,0.9758056092211306,0.9946052187262002,0.9936260274392972,0.9988634172058993,0.718126019206802,0.9948318715198213
1703.40698655,1.0,0.9927816873503748,0.9969052839721062,0.9998196319402349,0.9998880131223797,0.9556421348742923,0.9902850085779387,1.0,0.4005250993087462,0.9858771992114054,0.9999475674917165,1.0,0.9825198545970567,1.0,1.0,0.9993079497498125,1.0,0.99845704417302,1.0,1.0,0.9998154179253478,0.9997736895776125,1.0,0.9693993311389874,0.9907928702911853,0.9844545931971748,0.9992832959919723,0.7233805506367993,0.9942773709144666
1711.87790799,1.0,0.9936651573652446,0.9980110753368564,1.0,1.0,0.9582730131963619,0.9833660799938732,1.0,0.3931358857973138,0.9888505012212816,1.0,1.0,0.983280202408999,0.9999154657859614,1.0,1.0,0.9999415465945759,0.9993156603124131,0.9998695174736058,1.0,1.0,0.9990729719195414,0.9989287523711087,0.9596530851823998,0.9844601276071803,0.9704962448805211,1.0,0.7294294351490979,0.9944504965210367
1720.37798277,0.9997905319342728,0.9944371771461417,0.9983590348648562,0.9997580507746273,0.999952973234031,0.9618881293099799,0.9740051459243133,1.0,0.3862065197876661,0.9912384976989151,1.0,0.999076226612555,0.983234685365071,0.9996971850476306,0.9997661310987281,0.9996614141925394,0.9991066539368403,0.999898425891117,1.0,1.0,0.9999312606977518,0.9973916872557622,0.9975394364908855,0.9443058251930846,0.9763762863172686,0.9531149628447904,1.0,0.7373838539000572,0.9946891098744511
1728.90722205,1.0,0.9952164877071696,0.9991741313348801,0.9995272780418453,0.9992403816530643,0.9666039224135602,0.9614910781177164,1.0,0.3793444050596422,0.9933679560571191,1.0,0.9985066183145467,0.9835965842180219,1.0,1.0,0.9995439780852577,0.999201693642381,1.0,0.999996504825586,1.0,1.0,0.9942031043324971,0.9978315648151376,0.9229314907200079,0.965762541905292,0.9343615146429934,1.0,0.7467935455941808,0.9952060731542375
1737.46563653,0.9998052711977292,0.9965757803846725,1.0,0.9990573774006737,0.9987967233706453,0.9710672696424548,0.9453999184440226,0.9994600993231693,0.37285929070261664,0.9952046247001594,1.0,0.9994923808214699,0.9835399883253223,0.9998304140353568,0.9996477622711084,1.0,1.0,1.0,1.0,0.9992743446157397,0.9999556191848236,0.9909498211750456,0.9987721703454564,0.8976048099577553,0.9544719411416959,0.9166656966628551,0.9998096548349548,0.7570032560181587,0.9951556512182793
1746.04891596,0.9998180728201449,0.9981658275129,1.0,0.9990042723997973,0.9973482668709645,0.9746303210193729,0.9235020550427196,0.9985324382158033,0.36680903279244614,0.9971140840118107,0.999993736521594,0.9995929872266927,0.9832902137559139,1.0,1.0,0.9998788150366578,1.0,0.9990630221046777,0.9995484882871024,0.9985725013353989,0.9999205591974142,0.9872374082313723,1.0,0.8719802493160271,0.9435183392464193,0.904674804310486,0.9999762008597036,0.768689823601934,0.9957273012584994
1754.65358123,0.9993736375828767,0.9989697036630509,0.9997163093088072,0.9991603195149649,0.9957231049184069,0.9769914712546243,0.8990410170133301,0.9969285215502276,0.36116574321907946,0.9984040174513839,1.0,0.9990371280685835,0.9826691756365218,0.9998560525507082,0.999884604110488,0.9997321541770723,1.0,0.9992819701044031,0.9995705700981031,0.9984317639229326,0.9998759665987003,0.9829908669756349,1.0,0.8518882039465377,0.9341764862110606,0.9022834094609818,0.9996873921839488,0.7813291170051044,0.9967503104622019
1763.27958128,0.9990960291630993,0.999669250510144,0.9989358252314527,0.9996857116858983,0.993540077875654,0.9787403034172607,0.8737799489466458,0.9961189104860392,0.3558144805039065,0.9994151586434945,0.9997682577356399,0.9988759931960247,0.9820458615112134,0.9998119037722284,0.9995441440478627,0.9998470153552108,1.0,0.9995536961557647,0.9990947909137537,0.9982172365829726,1.0,0.9787339547023653,1.0,0.842990006434515,0.9285352506823826,0.9076909981220359,0.9987418797226045,0.7937347284229204,0.9976313722734679
1771.92686491,0.999097593002505,0.9999165659483154,0.9978240874998041,0.9995769441797071,0.9922270042663479,0.9803411030828096,0.8520337505887227,0.9945959983132598,0.35086278783541885,0.9997385167769576,1.0,0.9990321493139996,0.9813233874516629,1.0,0.9988125050604804,0.9995789289902641,0.9996815261520667,0.9994861858006872,0.9988323042025786,0.9976346497630348,0.9992890059990391,0.974720754317915,0.9994473458606535,0.8504702861750559,0.9271351078881539,0.9160532466790923,0.9981083536111415,0.8065615097838365,0.998760446073724
1780.59538078,0.9994517016323952,1.0,0.9958334266724181,0.9997789468475388,0.9913746393923096,0.9832591789655847,0.8374267755733366,0.9923318981190132,0.3462816661457919,1.0,1.0,0.999437572527016,0.9811378419618956,0.9998028636826295,0.9977994927998602,0.9993524725755207,0.9999467088715267,0.9995833010115768,0.9983878594287242,0.997626406061047,0.9989069850892416,0.9704708810537414,0.9998807441052223,0.8757972027170697,0.9311325513357692,0.9264511006613064,0.9979438218975346,0.8196814120712068,0.9990288863887138
1789.28507741,0.9991056297742911,1.0,0.9953048341550127,1.0,0.9910418549080594,0.9867934943648079,0.8298933827911991,0.99014211432579,0.3419477171694382,1.0,0.9997489876342739,0.9997057069344444,0.9813041252873967,0.999883326607375,0.9965290248010339,0.9993580020753563,1.0,1.0,0.9990468637831328,0.997098237953213,0.9986226208201859,0.9666552737643116,1.0,0.9135333091735262,0.9385264474846234,0.9392234302883309,0.9968272671681496,0.8330663792682491,0.9995130962689256
1797.9959032,0.9990259539252253,1.0,0.9954971764794885,1.0,0.9908097553812323,0.9865057989543465,0.8279156277347003,0.9877007225522358,0.33811294792000535,1.0,1.0,0.9992096044969639,0.9807420262389848,1.0,0.9959586137428539,1.0,1.0,0.999787726306976,1.0,0.9966328503811527,0.9974662972831657,0.9631856989851502,0.999946319586473,0.9502753322409211,0.9492549325014157,0.9539509403727803,0.994922007579335,0.8464324938296467,0.9999250587004338
1806.7210252,0.9991739199212643,1.0,0.9954495499778169,0.9997140640617059,0.9912529312328414,0.9819770137529062,0.8326311076702193,0.9849506863757712,0.33514067716751295,0.9996499431564962,1.0,0.9980752743110202,0.9803999755875844,0.9998581586113132,0.9959240915761501,0.9995767165543475,0.9992116841893762,0.9996477489185771,0.9997052495166102,0.9961657654037162,0.9970510573750463,0.960169248524289,0.9983406774637674,0.975045766771932,0.9609977988278725,0.9672821592413641,0.9906486341906854,0.8594851700955171,0.9999311754231508
1815.45600983,0.9996006756910029,0.9999376919646608,0.9945692127811709,0.9992912801075695,0.9911465141168055,0.9732799601758472,0.8449853060053952,0.9824779563062593,0.3328032301304019,0.9997204675761044,0.9999653516385666,0.9970998139105742,0.9799242720616922,1.0,0.9963101545376731,1.0,0.9974018123083745,0.9993403907557816,0.9998280610955389,0.9951631226502333,0.9962534235186133,0.9560448411838645,0.9967005325938606,0.9892729938617614,0.9706195648716177,0.9773169537404702,0.983080136236228,0.8711761461143572,1.0
1824.20079533,0.9995075413845196,0.9993226041034505,0.9944643867970375,0.9982334072407542,0.989725914310763,0.9622389809921711,0.8583363272783381,0.9787582181455562,0.33076707731393457,1.0,1.0,0.9954415678566377,0.9794689225851644,0.9994313337903945,0.9977549661763807,0.9999942340625163,0.9964161387707021,0.9984506045722872,1.0,0.9935972599583442,0.9949073563531421,0.951451881403119,0.995611156145978,0.9964733348233876,0.9760988588079088,0.9836849421342931,0.9719739878087982,0.8805003798925036,0.9989981541086388
