Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
946.933892918,0.9994293621732582,0.9974567344599742,0.9970808019865756,0.9996138572401583,0.9955875186213222,0.8821007144293623,0.9799962571735693,0.749784714358504,0.6177184896749535,0.9011064886789761,0.7952672983871053,0.9057695517556762,0.9877726355861937,0.9975717146900869,0.9959020275435655,0.9789015441028204,0.9840984521345476,0.9896257292918694,0.9915925099981338,0.9977809071201734,0.955234852876111,0.983954474304757,0.9735354034631138,0.9981904302451267,0.9903902651274111,0.9968265868955363,0.9154164659876929,0.9965642533811412,0.9935950211440961
950.996970209,0.9992937331578349,0.9975196739870361,0.9972829154385063,0.999669523708019,0.9957227701506375,0.873351344920003,0.9771191952009279,0.7313405858657435,0.6109882834040153,0.8932858141988309,0.7773336739138716,0.9052832237123002,0.9856745897088907,0.9975568345356424,0.9947796142412982,0.9771764933817803,0.9833366518861825,0.9899581018846296,0.9919460003237415,0.9976757152354347,0.9532508873886067,0.9829937939896705,0.9725141065119887,0.9975841841252103,0.9891943300882248,0.9961370561481028,0.911250110805315,0.9952280384305372,0.9923293518907939
955.140355948,0.9991855230378079,0.9975486741089085,0.9983816947605775,0.9997771116723665,0.9956289586263098,0.8651624396701043,0.9728489019511694,0.7138556557802812,0.6066376824213573,0.8856448215491094,0.7591155952073481,0.9074720927209535,0.9837802721706118,0.9981102151796103,0.9934628213019585,0.9752938383823853,0.9828075597748717,0.9916485388935621,0.99295002006803,0.9971145414030752,0.9511636866553338,0.9843001391041305,0.978820265688481,0.9969709205265043,0.9883974720459896,0.9952921969887083,0.9073151299101757,0.9939051381341544,0.9902927411945569
959.368226885,0.9991638692709159,0.9974764171368407,0.999210978346953,0.9998523513414564,0.9952281057925004,0.8562411201491479,0.9665890935399761,0.6970777373049041,0.6049989615719774,0.8784517148413611,0.7405633775404842,0.911556283699842,0.9817236150919926,0.9991863150133474,0.9928711697576023,0.9737078119024003,0.981379344578726,0.9929437385768333,0.9943216255335469,0.9964045647023309,0.9493511057028166,0.9842171562449769,0.9853257536339771,0.9960279660883963,0.9875869704276239,0.9938762185634255,0.9041213594172146,0.9925824523341542,0.9876458337506225
963.685132242,0.9992079631736344,0.9974506899598731,0.9995364248508445,0.9999030135496175,0.9949257267998918,0.8465654059245794,0.9587619450078134,0.6811358971126226,0.606258238446443,0.8714456156334578,0.7219303636161647,0.9163312894773585,0.9795610480767549,1.0,0.9925431571297764,0.9725940561137231,0.9796011409581842,0.9938067626937811,0.9958770398386603,0.9958862093954264,0.9477839108092339,0.9837373999779826,0.9891447973265756,0.9945713864565884,0.9864444649002031,0.9926574935783988,0.9013831819297375,0.9910833730278936,0.9848894242212669
968.096041789,0.9990130125253875,0.9975002327729594,0.9997306726109302,0.9998057036090889,0.9949343100626342,0.8368507687321309,0.9513849191439363,0.6659097683147421,0.6102348364843005,0.8644549066519429,0.7031314326062913,0.9207019316818466,0.9770146996580247,1.0,0.9931625146495572,0.9717826045664875,0.9789310355996295,0.9944665795960311,0.9975004149121379,0.9953150915595554,0.9464752644964773,0.9843176200771149,0.9906132466287151,0.992668976717461,0.9849287526796521,0.9912865408520027,0.8992954651667687,0.9895790470196736,0.9822268981343428
972.606402173,0.998988663278411,0.9974946567781557,0.9997293233106366,0.9996917025054767,0.9952820926964401,0.8271616621098119,0.9487524899915379,0.651607374162313,0.6166206431117865,0.8563680605923513,0.6845977510212142,0.9250914173111006,0.9740909420894952,1.0,0.9949335990321065,0.9708467319817337,0.9791360246616821,0.9950461018422995,0.9988817536215323,0.9950485528067582,0.9456520829804692,0.9856731417902125,0.9903611523626383,0.990355079359212,0.9838270645046123,0.9898448859106554,0.8985315101620948,0.9882015512592106,0.9796486113129087
977.222203311,0.9991163663134511,0.9972918319915914,0.9990137251456611,0.9997566536904856,0.9958225034164975,0.8184667755973639,0.951143581772727,0.6381920362502229,0.625763612649001,0.8478551966546006,0.6667528691607422,0.9299315699589964,0.971051463315363,1.0,0.9966414897849843,0.9695800562377165,0.9793192026487952,0.9954915971011513,0.9997398743877888,0.9958392477006351,0.9450294220055787,0.9867526207737103,0.9892519607764785,0.9875475710631373,0.9837549204032942,0.9884681956018541,0.8984406834091332,0.9870305979998168,0.9774476455489189
981.950057134,0.9989814066799173,0.9971107962353589,0.998222348829591,0.999882879638212,0.9964705366159982,0.810787364413335,0.9559966237878206,0.6255542173551453,0.6374877589788255,0.8397227671293346,0.6490048466009991,0.9350196999718904,0.9682503737119798,0.999883920166406,0.9975956827568994,0.9681116019959692,0.9791275036102685,0.9957810412232219,1.0,0.9969607331630027,0.9444408592915912,0.9873800172697688,0.9883539041316337,0.984183319106247,0.9846192671695484,0.9868115082465801,0.8978641589997207,0.9861504466062341,0.9763295589597111
986.797291589,0.9988081325226087,0.9969706089896042,0.9984245295530634,0.9998158221441149,0.9970214153865162,0.8030196152528252,0.9623682401131424,0.6136402022874582,0.650878515044208,0.831553501273238,0.6311024199257955,0.9404029383537602,0.9654274474337534,0.9994156965779294,0.9978494845982472,0.9664836410393961,0.978494610116978,0.9960218135920464,1.0,0.9971587117702454,0.9444021960169126,0.9878733843732311,0.9878732090859899,0.9805208140286183,0.9860658282793003,0.9851724482512234,0.8973722208856868,0.9853351990952797,0.9763181262285344
