,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Size,,,,,,,,,,,,,,,,,,0 - 500 µm,,,,,,,,,,,
Locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
900.0,0.8843848814176396,0.9019640526363704,0.9013048867652553,0.7346199852214482,0.5696031611081698,0.25745912117194847,0.9076720184677078,0.21677330028691183,0.12247695909099571,0.2234476244890474,0.33221148649336113,0.24487897303631675,0.3298439706558013,0.27602705587996107,0.9329029001326766,0.4386052597733954,0.4096518077918242,0.7418359154103359,0.4012064491823574,0.5793971827390771,0.38412806966649704,0.9119685188934914,0.5599869637940214,0.8696839856539131,0.9229153600611573,0.9439674017279771,0.41014280133284253,0.8544093235039842,0.9495486350066453
903.28574336,0.8842028828108633,0.9018214503564589,0.900914564333979,0.7344983694881256,0.5696375411925552,0.25653223720640755,0.907862737579684,0.21392377106625324,0.12165284440478437,0.22237691127393117,0.3295024910138181,0.24671506930395606,0.32973031084198023,0.27641948272898564,0.9330444268370708,0.4387238777410327,0.40945168041879726,0.7421477729878341,0.40155187470383835,0.5796355085822783,0.3835347660527091,0.9112821938844599,0.5609817842669189,0.8695550676166248,0.9223231542867765,0.9436611419416299,0.40912449452772714,0.8544007133398012,0.9493386702107934
906.618278421,0.8840548625506455,0.9014791058104238,0.9005302836022894,0.7344931832141852,0.5695784635826464,0.25567007900506195,0.9074156441912945,0.21099316143119354,0.12126844951391885,0.22139263292656833,0.32670788699131564,0.24881276837069494,0.3295669165280648,0.27694659248470765,0.9331362602826987,0.4387552875154645,0.40919252726384814,0.7425934819950173,0.4017772500551773,0.5795685607195277,0.3831173866248682,0.9103185482237824,0.5619668848906232,0.8695502831312093,0.9217465876699531,0.9433698815723159,0.40847124383601896,0.854451279824862,0.9489889730083607
909.999291084,0.8840161058593021,0.9008859143606861,0.900175530295115,0.7346149410238383,0.5696489265005877,0.25486435018498915,0.9063094378523299,0.20794990237251168,0.12126237075637493,0.22046361934382463,0.32372758822073067,0.2512052993490501,0.32944223418868246,0.2775922302290211,0.9331217007191598,0.4390560630886131,0.4089422765636516,0.7432173808540901,0.40202223090286915,0.5793946431493607,0.3827254049796926,0.9096098197194524,0.5627134142125364,0.8696994184624831,0.9210814429737249,0.9430403808635653,0.40809939475946766,0.8545834475433922,0.9485030874450773
913.430570243,0.8840093597932075,0.9008926840494034,0.8999833401657346,0.7349157897438339,0.5696152367664395,0.2539262052616075,0.9049544438433218,0.2047350538977974,0.12137773348664627,0.21948031051148142,0.32031890056176243,0.2537555014870873,0.32932496547167844,0.27828842498365364,0.9331847517182109,0.4391529630824622,0.4088499963904538,0.7437927054787493,0.40249973761512586,0.5794793486030626,0.38228535624296633,0.9097846383160874,0.5632949456592259,0.8699497611515804,0.9204329254982136,0.9427471600429254,0.40815486818347335,0.8547079864269669,0.9481967606861801
916.914016797,0.8840035080065268,0.9007650730072314,0.9000179162232999,0.7349653066833058,0.5697084447633656,0.2526970105416557,0.9037030929473111,0.20135426386258046,0.12180149893568856,0.21836534388111942,0.31664298042818095,0.2563958004193712,0.32922979871671587,0.2789768997158117,0.9330061033581797,0.43919182704790294,0.4091239207262103,0.744254255404214,0.40300321247336146,0.5796010045962773,0.38206830329113917,0.9097029706715708,0.5637970167776937,0.8705798047975384,0.9197713025595674,0.9426398412708608,0.4083820290186636,0.8546689560485274,0.9477901039736829
920.451653694,0.8842138666652735,0.9005216366584603,0.90050622907825,0.7349598812418429,0.5695950608317574,0.2512755297795164,0.9024996406526595,0.1978030242093317,0.12258629367106158,0.21725544966955607,0.31293973416990334,0.2593103000840314,0.3291599736296162,0.2796669554040466,0.9329798695217676,0.4392433272105748,0.4096073566580362,0.7446326633235231,0.40345707222622457,0.5798141059448862,0.38205484562672054,0.9089845742199505,0.5642375147398124,0.8713406218120784,0.9190571397895443,0.9425909713194656,0.40865158405162894,0.8546883555227237,0.9475189854681227
924.045637162,0.8846958192184178,0.9003540215823643,0.9010219250972021,0.735193104362929,0.5692380585615396,0.24982795890995493,0.9009403024051966,0.19430201327402485,0.12355882337983354,0.21615239956655585,0.3091495526479323,0.26278804686817453,0.328885724114653,0.2804668393479604,0.9334925412341465,0.439358024713446,0.4101596211725181,0.7446402197424737,0.40380364740643393,0.580400175673207,0.38199590835769265,0.9081195827353115,0.5646545470890859,0.8718591961518096,0.9186351301917167,0.9420817958314468,0.40935893158203746,0.8546041410839814,0.947059496427517
927.698269301,0.8847370078732815,0.9001857318088702,0.9014165705333839,0.7353966036282678,0.5685992128985137,0.24848248499234712,0.8990226560811676,0.1906560070774501,0.12478632802222982,0.21516161442935905,0.3050505653318862,0.2670480936742124,0.3285261174713941,0.2817018455365006,0.933278640345558,0.43947980876826165,0.41059716466697765,0.7445364580116038,0.40385023624608957,0.5811905439401703,0.38208530847529826,0.9073680469811366,0.5651351674854739,0.872113625779505,0.9187039605806512,0.9417225964242639,0.41013616085018706,0.8546034902820184,0.9465055610957004
931.412012249,0.8848005110296768,0.9000966279322042,0.901722569006893,0.7354132259314805,0.5680543389748502,0.24724182387818475,0.896897520256235,0.18706430757845352,0.12621516342066708,0.21422549851557396,0.3005830326851537,0.2718115310967827,0.32818585367009,0.2830516631723971,0.9327979352060962,0.4396403358504117,0.41088579655577406,0.7442042149095005,0.40419121804100205,0.582259100910168,0.3823021357851719,0.9064966124272463,0.5652831392971168,0.8725055413275097,0.9187804577507016,0.9414999684757795,0.411101581229279,0.8544093002667372,0.9458410007803048
935.189504163,0.8848384277574899,0.9000825330181991,0.9015166118296477,0.7353136342665841,0.5675554031569641,0.24614871801545699,0.8945314302918282,0.18361163775217054,0.12801366082158522,0.21332510397462207,0.2959507547359981,0.2765729665034834,0.3279039658384096,0.28419411051548293,0.9325877332601603,0.43999950036708363,0.41132609265407993,0.7435073317902811,0.4051550293029089,0.5829316087220734,0.3826001226845117,0.9055862782359819,0.56465130482779,0.8729208063337754,0.9180203275753251,0.9416390779058137,0.4121689649488611,0.8541828407019468,0.9449918732802504
939.033577299,0.8847010234610653,0.9000666551761538,0.900788572263572,0.7353817774795931,0.5668475126402374,0.24507700509502287,0.8921401882054693,0.18020227526834562,0.1304745338763486,0.21242826263975803,0.2912268937188463,0.28128637103312837,0.32749259071356207,0.28536340890918616,0.9324125983156757,0.44027658143362536,0.4118077139926589,0.742106739849857,0.4061125176314746,0.5827722781791419,0.38282310288015214,0.9040407351007399,0.5627155275325212,0.8731391841508845,0.9163551841589584,0.9416432695178442,0.41382140044280885,0.8533921469377741,0.9440204196275397
942.947278561,0.884688228277025,0.9002299113133373,0.8999509434771656,0.735334212723266,0.5660013195332996,0.24390666372437336,0.8899345444813638,0.1767380342634911,0.13337288634625397,0.2115093386182846,0.28639788655350024,0.285987668962976,0.32694426270183846,0.2865544730849558,0.9320852011180732,0.4405696240816638,0.412090707375327,0.740506599369668,0.4068052770813742,0.5826915156519205,0.3831512399975447,0.9005587929159709,0.5590326101405694,0.8728047565701312,0.9146207130262343,0.9411298206684298,0.4153876978026542,0.8525001353309516,0.9430009488533708
946.933892918,0.8847967951655,0.900132713014437,0.8993113332004162,0.7354500717590722,0.5655916797886213,0.24267806868820832,0.8876499432396319,0.17330416696713252,0.13666930293607776,0.21055379762165624,0.28152335825832625,0.2910966780426755,0.3262834453427037,0.28760597990524917,0.9317495891352537,0.4408866315866714,0.4123882909442753,0.7395870175756949,0.40755165979291397,0.5830898064725715,0.3837209560087617,0.897089745284043,0.5556103841700931,0.8723621026210039,0.9128867479088273,0.9402003126625134,0.41688612794506247,0.8514259541966932,0.9420149444603446
950.996970209,0.8846955544006175,0.9002091570129549,0.8996054178457866,0.7355419140451255,0.5655257483566629,0.24162147785180849,0.8849797166447417,0.16994991709828716,0.14047296359977246,0.20950813123405215,0.276625396072993,0.2969200156032873,0.325667992659933,0.2886452840734159,0.9308785395798602,0.4410924953608685,0.4128678518538755,0.7401801891436299,0.40855607916849584,0.5834604411270894,0.3843736138132934,0.8962144718194561,0.5559376335294692,0.8722354407569131,0.9118020119245115,0.9394786652089763,0.41858383540389305,0.8502003380281373,0.9407089581511775
955.140355948,0.8847033700150674,0.9002961685586546,0.900519566005905,0.7356351145663077,0.565251808048512,0.24070111624352386,0.8808506857112031,0.166787183802806,0.14485439562176458,0.2084933543689007,0.27155455457822336,0.3037605135732055,0.3250862873689125,0.2898870837957092,0.9298927890531159,0.44132392291621264,0.4134202696412849,0.7418974005992768,0.40982830190208597,0.5835656889758757,0.3850314361729341,0.8973821440842313,0.5603615129566509,0.8720756147032193,0.9109669207761867,0.9386398554115304,0.42038965265719586,0.8490374759940785,0.9386447436300075
959.368226885,0.8847359182961705,0.9002218403331561,0.9014296821539752,0.7358840296324773,0.5647714876323652,0.23956716940638054,0.8749279482422879,0.16378051844793795,0.14992286195449614,0.20762851168283902,0.26633791006527213,0.31140825970790526,0.3244018529911953,0.2913247410498806,0.9296665920906299,0.4415996153706127,0.41368420302117115,0.7433127989774735,0.41128277240771455,0.5836405564611075,0.3858011228136647,0.8972930545052733,0.5650878451705281,0.8717332406897811,0.9101568500720718,0.9372386069426573,0.422591888011505,0.8477928663485758,0.9360584029423168
963.685132242,0.8848958950159673,0.9002807261454969,0.9017799422806841,0.7359109378753395,0.564401880994042,0.23823385873986683,0.8677846372423531,0.1609460279757359,0.1558614668463344,0.20679391846869116,0.26105574606321813,0.31952049534688837,0.3237394688002606,0.2927265165291061,0.9295699200988046,0.44216893800998464,0.4137971334396357,0.744292445864022,0.4128103035025076,0.583780906646619,0.38669027502017417,0.8968450266790383,0.5682198889118962,0.8708290024650999,0.9089136628645765,0.9359167582422823,0.4250513045091368,0.8464728000064812,0.9332282676516079
968.096041789,0.8847986039990399,0.900444957699292,0.9019590098213002,0.7359744465658719,0.5641554647209548,0.2369109112548692,0.8608497186387043,0.15823808152140664,0.1626592502755591,0.20596868475065863,0.25564901836684645,0.3276753295104205,0.32295299449772513,0.2938341634897494,0.930318769396528,0.4428552926031413,0.4143579864699457,0.7453152967497355,0.4144432376032417,0.5839351775026609,0.38774553810728724,0.897305438619214,0.5700816888766309,0.8695493122967478,0.907469471164736,0.9346100376340009,0.42793056824859854,0.8451331009462301,0.9305931290939905
972.606402173,0.8847902577605417,0.9005023909584466,0.9020339220597888,0.7359833350688902,0.5640718064010996,0.2355527598545531,0.8581965565041878,0.15574953748722634,0.17033810287720316,0.20487201512980682,0.2502994921387058,0.33606797368664293,0.3220690985036332,0.29487284438560185,0.9322858448187171,0.44357950810969954,0.41530905579634797,0.7461753857557448,0.41598192953104085,0.5841853189961541,0.3890114631896647,0.8986556331254132,0.5708766987341338,0.8678763644403653,0.9064524559032723,0.9332699720018925,0.43150476111704067,0.8439657641475082,0.927955897585698
977.222203311,0.8849541412911093,0.900437870624908,0.901455716280424,0.7360509206753713,0.5642358156865674,0.23453588785173174,0.8601879157585774,0.15345423615436882,0.17909067819659455,0.20368778104469626,0.24514895171626636,0.34481643084470265,0.3210839413722437,0.29595887034048624,0.9341674633065752,0.44409792149542887,0.41633574061664863,0.7469894801820275,0.4172762849786659,0.5851656658157123,0.39042235348762666,0.8995466530900901,0.5712796090691717,0.8658117021526279,0.9062206707091908,0.9318301032430242,0.4354767576372883,0.8428692381095839,0.9256513324046923
981.950057134,0.8849069383864405,0.9002013001034762,0.9008487856605406,0.7361850392040336,0.5642312629356763,0.23377241048279276,0.864509737434265,0.15132835901263814,0.18895770425482727,0.20256555501843682,0.24003592037242028,0.3539134626922623,0.3202011276410634,0.2969649872508703,0.9353530397679284,0.4445838463434371,0.4171791117013968,0.7476725951097021,0.4184050269270228,0.5863526628511347,0.39184189155258453,0.9001922379430242,0.5716792231773612,0.8632921102552977,0.9068988115177072,0.930189847449687,0.43928546383944517,0.8420646209090138,0.9246103793845274
986.797291589,0.8849351811731601,0.9001022800675781,0.9010230907801331,0.7361472069081049,0.5643416812296933,0.23298093744726653,0.8700335356159593,0.1493600057867665,0.19976544323952336,0.20148453519560694,0.23479546531997564,0.36341171097290975,0.3193267065254118,0.29789293905019315,0.935834832775163,0.44497472992749904,0.4178582160185707,0.7483029022741491,0.4193744277123386,0.5869742581844256,0.39352733672942175,0.9005341155041923,0.5725267065933924,0.8604746998018482,0.9081577592921775,0.9286017221500101,0.4432536508952368,0.84124387477257,0.9244771018916126
991.720028203,0.8848799512001032,0.8999767775406498,0.9015439788094548,0.7361413638124207,0.5642727363342915,0.23234218731489628,0.8762006211555717,0.1475934389171341,0.21151160927583962,0.20036615898840981,0.22972810251437153,0.3732808688831766,0.3182024486318333,0.2987157645551019,0.935973806016592,0.4453704998735621,0.4183694371467567,0.7489234480934942,0.42014113196160746,0.5870317461300075,0.3954673792980927,0.9011407861137857,0.5731986671583716,0.8581422368690215,0.9095764426059397,0.9273368572662586,0.4476278535728496,0.8404430858240541,0.9247693044113073
996.671068522,0.8848984022664608,0.8999889703150633,0.9011326014099604,0.7359841196299393,0.5642150746415027,0.23175759100443322,0.8815188174314192,0.14619061727588226,0.22441193580964416,0.1991660990221429,0.22499417348155845,0.38347111127930633,0.3169513152060814,0.2994172775029414,0.9366587784608528,0.44573899900498015,0.4184429470991305,0.74924058462546,0.42096530932716575,0.5872648204968267,0.39744976964199,0.9018471985550547,0.5737507640239364,0.8563834432274811,0.9112299199633094,0.9267469531889153,0.4521033564639787,0.8396783487673968,0.9254733332875376
1001.65061855,0.884621088601931,0.9003423624111093,0.9004742138849973,0.7356889547165649,0.5642078093027629,0.2310014630596843,0.886044430173645,0.14516105209508667,0.23857805389808512,0.19799865372120404,0.22070721326126555,0.39379619100988505,0.3157986712066978,0.29997446479051415,0.9371799712595473,0.4460744154998307,0.41838813736740443,0.7494988391382901,0.42171565589992893,0.5881674678866878,0.3994380080684309,0.9025814489269011,0.5743747798862171,0.8564242984040946,0.9127963373449463,0.9271540702841504,0.4568451795585139,0.8394899042760811,0.9259173738959102
1006.65888632,0.8839660602676476,0.9009538028710752,0.900625835650783,0.7356650712883477,0.5642137102316829,0.2302295972476376,0.8899158670400285,0.14446099818993371,0.25380152835958847,0.19686604161759072,0.21670628041577403,0.4040159226193629,0.3147513750374296,0.3004679140574166,0.9370982572944638,0.44650343932022646,0.418337467229227,0.7495111533146346,0.4223721236478705,0.5884211662265275,0.4017237260284968,0.9034201762909395,0.5753628996361625,0.857774597439387,0.9141274126833876,0.9284612614084061,0.4620179712628146,0.8396150014555324,0.9270571535458071
1011.69608192,0.8833828445024599,0.9014406349556042,0.9010353910099559,0.7356644391467057,0.5639455689111208,0.22977933291830985,0.8926736635520415,0.14409019891490102,0.2700099541125804,0.19587244787481964,0.21311345987110789,0.4140236418821053,0.3136614983965352,0.3008972150837263,0.9370655580248368,0.4469344892701539,0.4182560024492914,0.7493272525117495,0.4229271957703576,0.5882870934581717,0.4040243158634275,0.9045193674494151,0.5761289847379499,0.8605881477436476,0.9151612294287106,0.9302890490870132,0.467446187522315,0.8393875760976077,0.9286361716536049
1016.76241755,0.883509885676515,0.9018300507566402,0.901351817463855,0.7357170669301507,0.5638484655170023,0.22986697175779106,0.8948549279912192,0.1439974761999634,0.2870814707199996,0.19498962071293316,0.20988913161873812,0.42372728287350536,0.31265788946877265,0.3012790825894561,0.9375201896496769,0.44730839036453734,0.4182235181607197,0.7493838024773304,0.42363524639258965,0.5884017524499293,0.40639183368148063,0.9055088121945577,0.5765558307756798,0.8643933135091563,0.9159693609851619,0.9318162417825147,0.4731482742908232,0.8391473932884937,0.9304994365417062
1021.85810749,0.8838144282296753,0.9018657145986906,0.9011492767484565,0.7360174721422932,0.5637377014444203,0.23010515554531133,0.8963964931028673,0.14420499217484703,0.30492075228776083,0.19415728915880984,0.20688696129782422,0.43326106287443045,0.31165459513796395,0.3015782981959502,0.9382537391894676,0.44743762906691875,0.41849984284390684,0.7496671247126611,0.424506169320304,0.5886553389145719,0.4088723763092238,0.9060641938981185,0.5771958441378513,0.8689338563667937,0.9167960725941963,0.9330230632730951,0.4790610460324575,0.8391371282384473,0.9323010579410249
1026.97288016,0.8840919987552027,0.9019389743446278,0.9003803266997771,0.7363559440385373,0.5634598921310038,0.23028727950454164,0.8973730368859587,0.14468898344397307,0.32318779589643676,0.1933721647809987,0.20423518166267002,0.4424600045011828,0.3106223999111323,0.3017846716054602,0.9387735345784017,0.44753299784406164,0.418850104033117,0.7498651275426508,0.42522880287155046,0.5893344602048363,0.4115566336629519,0.906572568135828,0.5780658286288937,0.8734650676158877,0.917322749803561,0.9345048654206246,0.48523551216869654,0.8395375173316787,0.9341518005049072
1032.10649695,0.8841516440666506,0.9020766273323715,0.8999611804945078,0.7366245726000865,0.5632152992343901,0.23062974184872603,0.8975700815182294,0.14550416703582555,0.3419029386361529,0.19251017290553304,0.2021715970883647,0.4513163743029608,0.309662513610301,0.3019023189463147,0.9394797035998246,0.44780441431163326,0.418894686867269,0.7503619735000826,0.42550842746661816,0.5899883124177714,0.4142453173725407,0.9073123376710185,0.5792511775328772,0.8769166865681302,0.9178662250405724,0.9362877095666104,0.49177508091887173,0.8400730397791092,0.9360353136855376
1037.25897753,0.8841587571075267,0.9021413803082114,0.9001329145275405,0.7367439955873532,0.5630843827874473,0.2311354062460846,0.8974436586647188,0.14665783739590607,0.3611355718981127,0.19163704094916567,0.20065636499243836,0.4597511979197716,0.30865986409948015,0.3020723344806273,0.9399254668462879,0.4481003856474122,0.418768201462601,0.7511513555361119,0.42564514273578324,0.5907336414105395,0.4170546220885945,0.9080333344275225,0.5806166126432556,0.8791260530710838,0.9185086787155987,0.9377056440775801,0.49855482513226446,0.8407406334130475,0.9377826631857035
1042.4303413,0.8839236981703448,0.9023512573604147,0.9008197532460424,0.7368672360201609,0.5629762547885053,0.23174017192973534,0.8977409380527557,0.1481100799048536,0.38043962990684776,0.1910438293867266,0.19948358415503878,0.46779993561439465,0.30769871831918166,0.3022050821524402,0.9403794802919934,0.44822064959208996,0.4187726889177681,0.7518552826066315,0.4259807809893754,0.5910670830178195,0.42001651766784037,0.90838241038771,0.5821359036143074,0.8807929310993443,0.9189277343551625,0.9388942921194507,0.5055032620515154,0.841493349921703,0.9394700310577163
1047.62060737,0.8835552044615755,0.9024974029858805,0.9010078289000453,0.7369381809490235,0.5627600442444239,0.23254421048369267,0.8981583919122117,0.149844453675413,0.3997328935173058,0.19044880336591957,0.19862224875058948,0.4755411158399372,0.30668007325977403,0.30245841711173527,0.9408398318059502,0.4482441325295152,0.41893663849753454,0.7526498950846018,0.426101812105911,0.5910977506968748,0.4230146604470397,0.9088454381402953,0.5833040283788459,0.8821141768250365,0.9190577599724222,0.9397307951296328,0.5125535805886064,0.8424510877342335,0.941059337685184
1052.82979459,0.8837759097368321,0.9026321335989427,0.9009250374341202,0.7370618718072234,0.5625245706429288,0.23364053831183906,0.8979236611019439,0.15189293433036957,0.41866511705763204,0.18985645754821134,0.19825175518901242,0.48293883442735486,0.3057503207757629,0.30260927366307816,0.9412274391620209,0.448119316715728,0.41907079650707846,0.7535750253012857,0.42604606560269315,0.5908643175875343,0.426034450657065,0.9093800219392872,0.5840180015959943,0.8829901958101171,0.9189931558718806,0.940109213273144,0.5195539131271713,0.843694982830069,0.9422807343409303
1058.05208946,0.8834803149695729,0.9027635050055393,0.9013010906470715,0.7372822338198985,0.5620944696435326,0.2349135079880678,0.897388550769345,0.15433904694276018,0.4370334429397771,0.1894240575233084,0.19820542163583155,0.490428792562967,0.30491603669790573,0.3025230499614573,0.941607851014399,0.4480549832728422,0.4191060406287703,0.7546288789309998,0.42630922939210514,0.591253505841665,0.4290697358760606,0.9097505727335001,0.585017033591986,0.8836738403132295,0.9189199564814741,0.9403764960289293,0.5265856377025487,0.8449071186795146,0.9432247257415265
1063.2810895,0.883485148057668,0.903148474842955,0.9020511147807989,0.7373830872085143,0.5617359743032079,0.23639385936902177,0.8971113035984263,0.15711398718266006,0.4546707576122913,0.1891428289277906,0.19873696846608813,0.49812112140657416,0.3040819826021266,0.3025530962338587,0.941763522595727,0.44826336890692975,0.4190540837224828,0.7557147404125983,0.42652266487944773,0.5922032067445436,0.43215260340302825,0.9101020303551276,0.5863353180644092,0.8842404784485661,0.9189756163476259,0.9407167899480731,0.5339755433470754,0.8463296466826957,0.9438789796558491
1068.51675432,0.8835074449838191,0.9033720294412488,0.9027017884942993,0.7374535764053837,0.5614393228408676,0.2382287286647742,0.8965062230716749,0.16017199945978927,0.4714295674871573,0.18896401950156316,0.19971995677945512,0.5056942636426766,0.30317765593658047,0.3028878102234383,0.9417413422357926,0.44855923889317223,0.41886415876101285,0.7567141053489873,0.42675557179890367,0.5933316235086993,0.4354204769567874,0.9103592822240745,0.5877784422430414,0.8850309998792468,0.9191491948951483,0.9410587725915129,0.54124728456889,0.8475445085854619,0.9441752087048296
1073.75904388,0.8838384695301015,0.9034140258262612,0.9023830573725472,0.7376677046644996,0.5612166915506498,0.24027388643977005,0.8960078839324029,0.16350936367655552,0.4870257133175875,0.18889756484758333,0.2008988645684265,0.5132838776999669,0.30227025089515625,0.30308419053225616,0.941379373241002,0.4490184724974006,0.4186410724470703,0.7576526588310782,0.4270275189572084,0.5942653136408562,0.43868180649744437,0.9107193150808087,0.5893528422988571,0.8856103562441946,0.9191064757928962,0.9412207859212771,0.5483955590118449,0.8487088846995972,0.9443747208307285
