Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
946.933892918,0.8847729079071608,0.9001069162270494,0.8992771515888348,0.7354660335610647,0.5656362965892152,0.24267948256346886,0.887742483738678,0.1733078782817722,0.13667078840295976,0.2105468781074856,0.2815078223427652,0.2910740633752646,0.3262910850651571,0.287604777033431,0.9317070480216008,0.4409009336424533,0.41236828985258844,0.7395092325655914,0.40756823250404967,0.5830950819317626,0.38373121877987393,0.8970825244771697,0.5556184247076792,0.8724345117946495,0.9129685970128874,0.9402288898667261,0.41689851323090865,0.8513845719419585,0.9420090056540597
950.996970209,0.8847219379146,0.9002112879054832,0.8995116899767617,0.735571832267628,0.5654987437919412,0.24161024243369747,0.8849526884467793,0.16995439717184246,0.1404747066950762,0.20950710037858658,0.2766023452043073,0.29691838807629156,0.32564142103953664,0.2886607880139265,0.9308828002554915,0.44112288586918347,0.4128505496501414,0.7401680286428127,0.40855967898212076,0.5834670664586985,0.3843884009677131,0.8961890627761449,0.5559014214579934,0.8722755208889643,0.9117742099348339,0.9395123239340455,0.41857462429033426,0.8501872719890277,0.9406873330711685
955.140355948,0.8846968768284393,0.9002859044216724,0.90056135118671,0.735717451991586,0.5652262965193722,0.24069744406857274,0.880891510873497,0.16679780037546124,0.1448437596683898,0.20851150057374476,0.27155254660058853,0.3037740288439992,0.32506040180953116,0.2899037651234529,0.9298799200076697,0.44128954355720906,0.4134458806965432,0.7418574310367869,0.4098385623251582,0.5835791601455701,0.38502613878013625,0.8973754739969547,0.5604219746012334,0.8721176754365573,0.9109488195027993,0.9386474301775349,0.42039554872144447,0.8490010427879967,0.938628550348332
959.368226885,0.8847505003228524,0.900269696958627,0.9013675173914024,0.7358405596134391,0.5647744186356001,0.23958075622000424,0.8750165896808492,0.1637816052473503,0.14992831547979715,0.2076248248328309,0.2663379452164147,0.3114344800650658,0.3244263537814724,0.2913233064289323,0.9295647102457507,0.4416085746682819,0.4136755204636087,0.7432592073371825,0.41128973342485764,0.5836122767558053,0.3857997377369442,0.897287023748027,0.565086676452617,0.8716773038474691,0.9101094203512522,0.9372396326309235,0.42260679800372497,0.8478145749403533,0.9359862253246157
963.685132242,0.8848643528515633,0.9002969659882499,0.9017175492971392,0.7359469955527222,0.5643745217650012,0.23825105526147625,0.8677137521616166,0.16093894635534095,0.15585555907793816,0.2067863808063297,0.26104864553363843,0.31952546071185217,0.32375806902656146,0.2926912516136756,0.9295029935313579,0.44216224234462426,0.4137715031134487,0.7443456255887408,0.41283856389030005,0.5837674542927822,0.38669996325378714,0.8968345248414527,0.5682294889123676,0.8707925246052644,0.9089607653928728,0.9360181932106925,0.4250849922232837,0.8464760639563422,0.9332381368019083
968.096041789,0.8847669188928937,0.900393891240696,0.9019498111741246,0.7359454592972963,0.5641474695835756,0.23690877809778846,0.8608209668727064,0.15824401772503366,0.1626636264940628,0.2059560151160021,0.25565195205547814,0.32767965746107564,0.32296316890679844,0.2938401133067935,0.9303395259076558,0.44287530261906716,0.4143548374927531,0.7452893403454587,0.4144382928254698,0.5839012524030397,0.3877350554895625,0.8973541792499826,0.5700389122178029,0.8695229908775727,0.9074647276900588,0.9346513974416836,0.4279328044054668,0.8451325680777896,0.9305781118800373
972.606402173,0.8848233518587124,0.9004421438611507,0.9020059243775702,0.7359332806134523,0.5641088375892851,0.23557282973243956,0.8582469456950571,0.1557496388779263,0.1703520839978614,0.20486644584046562,0.2503058334566212,0.3360531169877657,0.32204378180823084,0.2948779557128249,0.9322678256806926,0.4435539696768789,0.4153299821092335,0.7461834169297994,0.4159605631367062,0.5842252157773955,0.38900197734157804,0.8985846841662547,0.5708750657893993,0.8678989726859525,0.9063510209770597,0.9332165683454611,0.4314881540339433,0.8438975015563742,0.9279967531564689
977.222203311,0.8850172495881703,0.9003127446003296,0.9014151399120212,0.7360554859143849,0.5641745417750156,0.23452300206010793,0.860241765180707,0.1534506418372775,0.17910384279478234,0.20367721183601745,0.24516909399401252,0.34481839649624113,0.3210869654355006,0.2959356261042282,0.9341436549007334,0.4441041837256068,0.41631686923172845,0.7469878779188904,0.4172880752481971,0.5851852410441056,0.3903868897943696,0.8995617923248002,0.5712358852140763,0.8658481120271868,0.9061897446818243,0.9318423312130891,0.4354559010546909,0.8428392421984652,0.925773161757978
981.950057134,0.8849791480500637,0.900204730378439,0.9007571266606891,0.7362250499822963,0.5642956902969015,0.23377164052828012,0.8644709270662612,0.15132407037612094,0.18896249213943309,0.20258364477023416,0.24002332071818092,0.3539213517082613,0.32021056760262867,0.29696586408391107,0.9353163314383628,0.44458593252093864,0.4171654479304048,0.7476866544159697,0.4183893749515164,0.5863538803157804,0.3918237320917454,0.9001241790355579,0.5717418168236319,0.8633146951730075,0.9068941096359683,0.9302014330477357,0.4392802690557275,0.8420300424631769,0.9245792287568535
986.797291589,0.8849073394622101,0.900132836003128,0.9010008997520492,0.7362519113237195,0.5643516384887478,0.23300024187952836,0.8700729118247648,0.1493639937775172,0.1997589602221766,0.2014884134545893,0.234794863988351,0.36339153642125627,0.3193272660674286,0.29791518236306486,0.9358314074004157,0.4450166848305337,0.41784652900658686,0.7483562385587248,0.4193168748131594,0.5869865618757075,0.3935277106273892,0.9005598385043696,0.5725131437893355,0.8605213578066986,0.9081325206382139,0.9285744275464198,0.443244182699663,0.8412724054460996,0.9244359103522087
991.720028203,0.884934181210096,0.9000006337723638,0.901546773506189,0.7361163299600079,0.5642300750014344,0.2323537565420998,0.8761420844830594,0.14761179422841858,0.21150461232828652,0.20036763086833956,0.22974707262065597,0.37328519488455486,0.3182061251061411,0.29873998399773416,0.9359976175957812,0.4453614095372973,0.41835399818291524,0.7489221851866004,0.42014312030040535,0.5870341444285166,0.3954887928801019,0.9010958857425839,0.5731903925978178,0.8580317895844367,0.9095724021895718,0.9273110199295088,0.4476207072430782,0.8404011141720464,0.9248046836735202
