,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
1191.52999524,0.8947889857211581,0.9313548810074457,0.9248099993167549,0.9073685622787822,0.9234460217871325,0.9293422977719288,0.963679492420398,0.9558219837687034,0.9425459960315947,0.9447503249774669,0.941165830035257,0.9420067492826123,0.9573869937280272,0.962822940549276,0.9627861025044899,0.9577339065067338,0.9029467129488234,0.9546666186078213,0.9567852848008984,0.9481194715008048,0.9511050710920461,0.9841268351108187,0.956982177760213,0.9793924997339869,0.9793057314505811,0.9592847196460716,0.9571032353024858,0.9494301548391679,0.9181340378178949,0.9407569182010194,0.9877902587497395,0.9888189331859909,0.9900214965418711,0.9843901140207816,0.9740273785213042,0.9735550377832491,0.9765073365149269,0.9767715831771842,0.9305178693197421,0.9324724491123847,0.9296884458389874,0.9446971781551419,0.9203270488556264,0.9302352533017091,0.9034231422399821,0.9040317894220229,0.9992260482227908,0.9988907510517189,0.9999214762220094,0.9968489301712674,0.9965205981283516,0.9964902594495322
1196.89576018,0.8963768844431923,0.9333029532257624,0.9264945546212977,0.9086624358572299,0.9260514855819649,0.9317957673778406,0.9659116421363205,0.9572683572730748,0.9428128010432534,0.9450126891093716,0.9414389258699586,0.9422263792501042,0.9560080103643586,0.9614854351331822,0.9614728116450493,0.9562157985216896,0.9029529295287898,0.9548726661827182,0.9567438401701839,0.9480852520468879,0.9523284696533431,0.9845392950839078,0.9581484152498867,0.9799628741397741,0.9800695914265372,0.9602952962030927,0.9590716622846331,0.9511207240186664,0.9203710361294581,0.9430003186625061,0.9892752718203712,0.9903328415242576,0.9912264291943935,0.9860664196242976,0.9748007505702888,0.974336652482717,0.9773408911610397,0.9777744152193477,0.9315073567030717,0.9336580391229108,0.9309247527505524,0.945379933012206,0.9220351262180504,0.9318269570991066,0.9052668621671685,0.905584814008157,0.9992319296361084,0.9988576343076203,0.999693970702741,0.9968065949288191,0.9964584191197705,0.9964976265719613
1202.26638934,0.8981340216315246,0.9351942426686924,0.9277840407556516,0.9099166044758318,0.9282685071630383,0.9337822083362958,0.9677322962145393,0.9579665728215288,0.9429074068855887,0.9451290794503275,0.9416010661681851,0.9424997925369748,0.954467395798328,0.9600769869419827,0.9602763061366295,0.9546847075609992,0.9038241716543584,0.955461727739903,0.9572074241135876,0.948528542977815,0.953479134063188,0.9848107866336737,0.9591953232513399,0.9803819528321692,0.9806035201251508,0.9614435604093803,0.9609684175794087,0.9525971325360743,0.9224890234477107,0.9447373769413355,0.9905405985000438,0.9915278211688323,0.9922423449946173,0.9874739256371373,0.9755504125435128,0.9748308659480931,0.9780920946093933,0.9786706690287378,0.9323911146814222,0.934473300089731,0.9317156303595954,0.9457815917357341,0.9234560967113081,0.9331482127897108,0.906960708618087,0.9070710774423577,0.9992247100209962,0.9988464818708036,0.9994832783801841,0.9967873948733266,0.9965297315639359,0.9965752357528044
1207.64185238,0.8998821036658127,0.9372562190203576,0.9289781861463419,0.911388098841521,0.930291209500769,0.9354545772881707,0.9690701546760417,0.9585729699866194,0.9429244485407461,0.9453226731978025,0.9417977547941487,0.9428674710517526,0.9529585151725529,0.9587627686117931,0.9591546059027402,0.95316466713762,0.9068075983904554,0.9570475341438514,0.9587666375211298,0.9502701684970822,0.9547101576215414,0.9852427797854079,0.9602952498461911,0.9810037044209198,0.9810284669427219,0.9627557018647356,0.9627903097444217,0.9541507817205823,0.9244446862302024,0.9463284530179037,0.9917552706027317,0.9925702030734479,0.9934020966267909,0.9889533206813258,0.9762724323452506,0.9754083620527146,0.9788345203897151,0.9795327772464827,0.9334214791164939,0.9352589069902095,0.9324960426199564,0.9461728273156532,0.9251340884540097,0.9344494041462031,0.9086293925930479,0.9086685541121293,0.999175476944219,0.9988497904096623,0.9994686439079603,0.9967365507247659,0.9965859767290551,0.9966226317806451
1213.0221192,0.901543972594259,0.9393216310011562,0.9303512145117624,0.9129933162592689,0.9321047475129608,0.936892733036092,0.9696550462388296,0.9591956891517459,0.9430017628902015,0.9457277180859718,0.9420787745355594,0.9432499701652527,0.9514143986836996,0.9575875479540796,0.9579296019637004,0.9517071664553863,0.9125074500911599,0.9599132203560318,0.9615528692701865,0.9535546176253995,0.9560332722506283,0.9858294894916255,0.9615501917487923,0.9818443991274978,0.9814401143938623,0.9641254983282146,0.9645443384121981,0.9557351628178691,0.9264096907103813,0.948322509509346,0.9929341212968015,0.9936346505539487,0.9946779807718584,0.990456595382264,0.9769964959988502,0.976182303619361,0.9795355775344168,0.9802595356173902,0.9348184409029655,0.9362188837710096,0.9334643874423046,0.9465225784281865,0.9272702362747195,0.9360586608227109,0.910389861932414,0.9106208594466458,0.9991499257728089,0.9988061665407907,0.9995150529705663,0.9966184662220446,0.9965208039699728,0.996581894243413
1218.40715994,0.9035112216908674,0.9414095821544779,0.931967482118143,0.9148091366357345,0.9338195999843911,0.9383205705335199,0.9699955560398194,0.9596220711347118,0.943404682336651,0.9464652874898248,0.942441249230606,0.9437861167987701,0.9499767210421609,0.9564214661648758,0.9566547123502703,0.9505088963469596,0.9193491373858587,0.9633406090037961,0.964939903269874,0.9574691809720074,0.9573938608118936,0.9864902180795433,0.9629920014417276,0.9827904821160345,0.9818245117772275,0.9654505864384182,0.9664746910538307,0.9574790790091972,0.9285123411002458,0.9505392834388093,0.9941155234684591,0.9947085154854088,0.995743896030874,0.9919080172232313,0.9779734786770469,0.9771514368818662,0.9801877846861513,0.9809565438782841,0.9364343145711519,0.937393714587983,0.9346005292435181,0.9469564959763064,0.929448436516653,0.9379507708469962,0.9122191375945605,0.9127900477019896,0.999220627931593,0.9987588125126172,0.99943602362245,0.9965599997975304,0.9964872161795544,0.9965399098508098
1223.79694502,0.9056973239056479,0.9435943878583157,0.933807929410305,0.9167204846290303,0.9355297164561502,0.9398077089825071,0.9702658882560588,0.959948581333361,0.9440705702698933,0.9474284799769296,0.943041720116808,0.9443940777710443,0.9487160598083574,0.9551012153385935,0.9554518483364388,0.9493739578123933,0.9255727683620185,0.9666273148832102,0.9682098278714116,0.961141496329496,0.9587761849818891,0.9870697846231778,0.9645888807576442,0.9837178008568165,0.9822462971510395,0.9667247565225747,0.9686809999391839,0.959338922049942,0.9308636639046973,0.9525557239329865,0.9953075345395523,0.9956706929437851,0.9966171444256938,0.9933528911923124,0.9790530452155848,0.9782184833286726,0.9810150399146786,0.9817895280991934,0.9377974557356205,0.9387842967933799,0.9357241140207602,0.9480095107166678,0.9315464019783154,0.9395957435579877,0.9140195310220194,0.9149611529142032,0.9992746991784194,0.9987344067513582,0.9993865734992179,0.9965717724841927,0.9965133810723568,0.9965642337730384
1229.190873,0.9076726539060054,0.9456187935271906,0.9355560446459203,0.9186751407170479,0.936858251510624,0.9411048506072986,0.9701965358624354,0.9605647982681748,0.9448482705407946,0.9482623209206932,0.9437666490916693,0.9449514721759357,0.9472868516082227,0.9535894252684095,0.9540530288995615,0.9478878367951252,0.9315210281103617,0.9695907397963296,0.9712933078613762,0.9645168535165382,0.9600699184351771,0.987526455089151,0.9662642050144067,0.9844712192413405,0.9827756233655037,0.9680230365985912,0.9707866272416844,0.9609203156989226,0.9334863811381167,0.954451611911051,0.996199974682915,0.9962974733978762,0.9972986716085132,0.9946208083704586,0.9798381882890007,0.9790844464953361,0.9820269040813272,0.9825667945377907,0.9387153784109117,0.9397649998548306,0.9369275331738045,0.9493973047218458,0.9333904549681428,0.9405395248902122,0.915552183354348,0.9168680023575878,0.99922575794538,0.9987253305644853,0.9992882415437375,0.9966300492489681,0.9965876569148328,0.9966139833369887
1234.58829679,0.9095217490290466,0.94763614756495,0.9372242746646481,0.9209211861716718,0.9379921207462867,0.9423296301216961,0.970716438281415,0.9615138234779649,0.945847260174663,0.9490050189178474,0.9446445983973216,0.9456942574282309,0.9457584363199126,0.9520440024736238,0.9524630189548542,0.9462328840452939,0.9388354345004692,0.9729810625998777,0.9748385049675743,0.9685257165880752,0.9614702957276178,0.9880251275085338,0.968048574278428,0.9852081439170157,0.9833834187398067,0.9694934804815595,0.9727618856781081,0.9624260967374832,0.9362491454807177,0.9563368195781032,0.9969796632639967,0.9969143635606246,0.9979448856219213,0.9956507159893064,0.9806119757535579,0.979846749022319,0.9831334369609366,0.9833110432901444,0.9398151998345902,0.9407015901014691,0.9382975864786784,0.9509391134801446,0.9350956145530404,0.9413536474032447,0.9171974050756352,0.9187046244061534,0.9992117415864423,0.9986998201559404,0.9990769766083388,0.9966768911072174,0.9966339420200925,0.996640938682296
1239.98919257,0.9115137238068534,0.9498832240643311,0.9389725484687192,0.9231871664423217,0.9389781338198492,0.9435294710187719,0.9719753503486973,0.9624558798932131,0.946930554346552,0.949936950431262,0.9456028363024926,0.9465137704385452,0.9443448609944051,0.9506678415138352,0.9509731314548546,0.9447581871861592,0.9479883958546443,0.9773603160343926,0.9791046016562065,0.973611105691813,0.9631816843518447,0.9887351258019444,0.9699476454087398,0.9861150427343719,0.9840004498471101,0.9713176643498567,0.9747908255852258,0.9642509852372417,0.9389003430762938,0.9582720334059063,0.9978192739962196,0.9977096388436187,0.9986407426764617,0.9965715869784372,0.9814897198644735,0.9806377111902144,0.9841142424799985,0.9840186224189954,0.941301161569401,0.9418464168156508,0.9394627453881098,0.9527359992563985,0.9368459807779647,0.9426040656874605,0.9194442425440515,0.9207595192418843,0.999244747160539,0.9986693576597655,0.9988436947055596,0.9967446280014414,0.9966812640287197,0.9966440853665622
1245.39353673,0.913443868223011,0.9522306596177106,0.9408226766575593,0.9253393465863771,0.9395703692444473,0.9444651659854236,0.9732407340263767,0.9630100092772638,0.9480355413279262,0.9509648604179091,0.9464757419631729,0.9473442549528418,0.9429356165990963,0.949275312092189,0.9496637137891469,0.9432828387706891,0.9575818747564478,0.9821540711927393,0.9834877471975005,0.9789025614639364,0.9651443881774471,0.9895700335717456,0.9717730431960535,0.987095531403818,0.9846206293378753,0.9732288217786825,0.9765082882652751,0.9662123617182887,0.9413503715114115,0.9600957700290299,0.9986035691584801,0.9984055565726929,0.9992418375601035,0.9973356676884096,0.9821855161112435,0.981368427298256,0.9848328854497275,0.9846682042789058,0.94277984925424,0.9430317022092105,0.9404367341114231,0.954455836530848,0.9385252473794187,0.9441783292479456,0.9218707645521462,0.9228197142382601,0.9992610835264334,0.9986426067869156,0.9985408890413079,0.9967862196240912,0.996655430685291,0.9966359015631169
1250.80130588,0.915383626202004,0.9545456786000851,0.9427592371196851,0.9273912682562787,0.9399318891430317,0.9451592458620598,0.9740278793735987,0.9632184502597492,0.9491098887898165,0.9518679657811238,0.9472243439161591,0.9482242805675045,0.9415739720840791,0.9477622025545167,0.9484942304639411,0.9417005749262244,0.9661286335093072,0.9864579529063109,0.9873139388192527,0.9835472266703048,0.9670745533024272,0.990289009206276,0.9733980531446267,0.9880922509193896,0.9853196154739602,0.9749087072539624,0.9778222470116691,0.9678145251262146,0.9434996190557993,0.9618028542656497,0.9992686375640694,0.9988843000523256,0.9996970546004358,0.9979790612686178,0.9825956996882601,0.9819730837073735,0.9854917502836732,0.9852796329457362,0.9440636870315061,0.94434063925693,0.9416060775454248,0.9556900333119807,0.940082026015699,0.9457723115908092,0.9241999391811815,0.9246960257668656,0.9992528167895238,0.9986394251446336,0.9983031573303796,0.9966701500790084,0.996524273814938,0.996588088697729
1256.21247686,0.9174797569720198,0.9567950381433602,0.944595418049527,0.9292501917852874,0.9403590913482658,0.9457759084108937,0.9743620338955282,0.963407726596019,0.9501678212082594,0.9525692144525569,0.9479947100753824,0.949223659176302,0.9402740805472012,0.946262158002798,0.9472051343597307,0.9401048164359163,0.9731416157886243,0.989863623851236,0.9904227582128298,0.9872891600199705,0.9688202668720506,0.9909171215261127,0.9748204703045572,0.9889389125025573,0.9860350557094802,0.9763671834587343,0.9790097368476165,0.9692134545446666,0.9455693439811897,0.9635326738617138,0.9997309296828549,0.999343854204698,0.9998801649978593,0.9985805918395478,0.9830409124682655,0.9824036153936886,0.9862080580852834,0.9859402459797821,0.9452556415822931,0.9456089697124146,0.9431945852054338,0.9566075241803618,0.9416055915432014,0.9473864476474175,0.9262566357395815,0.9263713972563883,0.9992353148037738,0.998627217439305,0.9982146737110608,0.9964805583112691,0.9963413296751271,0.9964270744039957
1261.62708732,0.919581431443815,0.9588351181275135,0.9461101266726794,0.9309109895779453,0.9409245915214859,0.9463794796751199,0.9746467746055308,0.9638346819402559,0.9512924454671788,0.9531427163611114,0.9486313044625061,0.9502091106724115,0.9388041719486914,0.9448017763502657,0.9457551607579576,0.9384792147561786,0.9790544065440407,0.9924306513810066,0.9929789174282952,0.9902853204591001,0.9702573178071576,0.9915057024530195,0.9761922232542991,0.9895067361624278,0.9866926443430246,0.9777319661673554,0.9802398174880967,0.9706825910161375,0.9476999981424508,0.9651486283858862,0.9999638362266375,0.9998004049811345,0.99993025812373,0.9990715620627417,0.9836322506899673,0.9828136837579557,0.9868626866474097,0.986688874758187,0.9466331796007886,0.9466176591529779,0.9449287292610095,0.9575930012213716,0.9431045231539433,0.9491291123599637,0.9282171152430762,0.9278909745772596,0.9992180640509392,0.9986043842975844,0.9980940281129609,0.9963911768702752,0.9962324507202416,0.9962470946281298
1267.05580532,0.9215764941314198,0.9606860325337945,0.9474510530701613,0.9325915765487595,0.9415334224453238,0.9470493024464552,0.9749380200865362,0.9644756270699667,0.9523971559372185,0.9536850288123686,0.9491093295713707,0.9510207108968263,0.9371556457980711,0.9433533933649209,0.9443389780913417,0.9369269375062066,0.9843476709665941,0.9944310944786405,0.9951359499343301,0.9927912909249749,0.9715631883484891,0.9920043483704526,0.977616462705652,0.9899272235621588,0.9871520080551999,0.9790954076607411,0.981530579128224,0.9721707672050852,0.9496562137652415,0.9665707848206772,1.0,1.0,0.9999749629329918,0.999411625692349,0.9843362976425882,0.9832040877599967,0.9873350647041054,0.9873849875965193,0.9480114411324795,0.9471033423418496,0.9464681653426027,0.9584339025407059,0.944573660521045,0.9506950944298266,0.9302184484070876,0.9293558884722349,0.9992100358733016,0.998590782899162,0.9979113587909331,0.9963832135060465,0.9962092890584786,0.9961524573384205
1272.49861965,0.9235956249247458,0.9624172500012393,0.9489211429584625,0.9343554639702523,0.9422801105746494,0.9478113575672423,0.9752486168897544,0.9651181390515207,0.9534423936990172,0.9543466846686557,0.9497471205065176,0.9519918535264867,0.9355159145706236,0.9421461833776058,0.9429771798474308,0.9355934344316698,0.988938297611448,0.9962985042268737,0.9969631289060511,0.9950343759384351,0.9731109460112866,0.9925854442258905,0.9792336087098222,0.9905793756923902,0.9875145566173298,0.9805780306399288,0.9829763284284715,0.9736724295315515,0.9515692267780077,0.9679781405434909,1.0,1.0,1.0,0.9997519552235963,0.9852646319458155,0.9836303426977153,0.9878477807471515,0.9879208509490597,0.9492743355935274,0.9477403304080659,0.9480171447237319,0.9590429071792316,0.9459652718363158,0.9522208842758242,0.9323102539212179,0.9310842574624275,0.9991918267269712,0.9985552566994816,0.9977389025412364,0.9964021686804179,0.9961902888262629,0.9961180881182291
1277.95551888,0.9256635101649301,0.9640250297534252,0.9506917782848504,0.9363364832367072,0.9431202018870866,0.9486547974318875,0.9755912865368288,0.9654350482819017,0.954545566005125,0.9552608487752459,0.950654737931048,0.9532002906648691,0.9341674643163416,0.9411702615640893,0.9416388211374059,0.9345271178246048,0.992446030444454,0.9979763071874995,0.998372027174145,0.9970701561140243,0.9746552154187949,0.9932184062593884,0.980969303222444,0.9914437993200499,0.9881468322707956,0.9821741742176191,0.9846655147524228,0.975096507162394,0.9535225669558381,0.9694007179019609,1.0,1.0,1.0,0.9999931902931749,0.9862597106118617,0.9842188327123255,0.9885812553746989,0.9883521813546257,0.9506578397630285,0.9488564518708724,0.9498628761596603,0.9600632248321497,0.9477104329364541,0.9539253347563529,0.9344349972408238,0.9332569875719952,0.9991905236989043,0.9985213644694966,0.9976028559545244,0.9964986365180589,0.9961967400270932,0.9961502608541538
1283.42649147,0.92771222425833,0.9656223380683818,0.952576149088355,0.9385099053340746,0.943939909708775,0.9495544275090806,0.9757694698638004,0.9654666156619839,0.9558296665462376,0.9564148830277049,0.95170137074335,0.9545056564784252,0.9329950086380452,0.9404092527770338,0.9403086986947033,0.9336139810961942,0.99482014489787,0.9992759612579017,0.9993605287159016,0.9986959339935371,0.9759486055996711,0.9938207833221985,0.9825538967818139,0.9922348276709884,0.9889293685480943,0.9837843149577241,0.9866266079504019,0.9765699172418649,0.9555430780813186,0.970820646417109,1.0,1.0,1.0,1.0,0.9870683163683484,0.9849731341521031,0.9894643626373661,0.9888859364874311,0.9520637785506292,0.949948215630259,0.9518393194091911,0.9614750397830238,0.949648569834848,0.9556339756720184,0.9364746194306397,0.9355557421098685,0.9991903904797301,0.998479055522134,0.9975808899096867,0.9966755070592271,0.9962349096658597,0.9962728673916744
1288.9115257,0.9295869967910699,0.967393841895222,0.9543540265554981,0.9402665725061854,0.9448214975404511,0.9503635043237219,0.9759912659168573,0.9657222073155239,0.9572811373554232,0.957781385682102,0.9528311266013355,0.955880586618252,0.9318351921873119,0.9395917927222913,0.9391266248687701,0.9324951007118173,0.9961120879329067,0.9999523820373313,0.9999125203695799,0.9997035072781386,0.9770000757273198,0.9943004067475499,0.9837537025210281,0.9928965065977943,0.9896333388796603,0.9851242617679464,0.9885121508636122,0.978148275997721,0.9573572493876188,0.9721818336130348,1.0,1.0,1.0,1.0,0.9876655797201798,0.985831716811296,0.9902785066497728,0.9895641863110084,0.95350045511759,0.9508936444028477,0.9533917948866139,0.9626200597038179,0.951390615606182,0.9571210844145754,0.9384192967710557,0.937621373502165,0.9991993392291099,0.998450894467249,0.997548026014133,0.9968359451922582,0.9962324895141217,0.9963824020956447
1294.41060969,0.9313130713756379,0.9691194693441701,0.9563184722669097,0.9413831508436452,0.9457674417088878,0.9511162448454138,0.9763585645361789,0.9663293072060883,0.9587354940039513,0.9593640045995451,0.9540176549106818,0.9573932250487526,0.930784166526335,0.9387191114948207,0.9382641416708987,0.9311028045449138,0.9962917967919857,1.0,1.0,1.0,0.9781012370688525,0.9947375740396668,0.9847221088158032,0.9934740187557467,0.9901895709687697,0.9860449249893222,0.9901943654999188,0.979628099187199,0.959090521045292,0.9734101429796569,1.0,1.0,1.0,1.0,0.9881963020046223,0.9866769866981003,0.9908342302048329,0.9904049459154329,0.954969349112798,0.9521646496279529,0.9543697049281001,0.9633796612706339,0.9531304406260027,0.9586642734468647,0.940350405448943,0.9395249201747766,0.9992030157027918,0.9984676925711404,0.9974108648310547,0.9968413544399805,0.9962042035457316,0.9964879364775048
1299.91690127,0.9328512700465785,0.9706582366722427,0.958416202919457,0.9425658497451378,0.9467971652099382,0.9521060352032352,0.9769558135583398,0.9673548326973945,0.9599078310940035,0.9608534130413872,0.9553594322721333,0.9590043355897552,0.9298694356650209,0.9377614687044512,0.937601052705235,0.9297500460650681,0.9952745294440191,0.9996342195956573,0.9999632106921862,0.9998208288477879,0.9795904798775689,0.9951454201922445,0.9857431566536297,0.9939995997742812,0.9905624465124957,0.9867152094244516,0.9916938165659241,0.9811071703664147,0.9610492868987113,0.9746615025057319,1.0,1.0,1.0,1.0,0.9887924096892726,0.9874473763296561,0.9913108537545501,0.9913084615674785,0.9563657365625537,0.9540419875394388,0.9553018159510772,0.9644820119493086,0.9550949443400792,0.9602951829802049,0.9423014720430419,0.9414889233816782,0.9991783011463435,0.9984825096342801,0.9972716818588186,0.9966498011285768,0.9961509589876598,0.9965096866899783
1305.42577023,0.9340667573522164,0.9718441599040865,0.9601558987284156,0.9439339876768716,0.9477507760331169,0.9532051860940949,0.9772422960524472,0.9679957385319883,0.9607630293632857,0.9620294516153431,0.9568333172324794,0.9604514691645375,0.9286628169428854,0.9364795397444661,0.936749343296538,0.928612015392978,0.9926000260938073,0.9983533293176139,0.9990856015811882,0.9985983150995323,0.9810613069307331,0.9953750712962184,0.9867483024552967,0.9944293579940219,0.9906458747526333,0.9873551105690088,0.9928866235661225,0.9824298283085221,0.9628177122479316,0.9756432037401365,1.0,1.0,1.0,1.0,0.9893595392528209,0.9880451314775258,0.9918749105450283,0.992055875388181,0.9574602868922336,0.9557651661035758,0.956110821440535,0.9657442871161951,0.9567459152584863,0.9617199523615806,0.9442555249871037,0.9433465989391975,0.999193799523458,0.998483568950218,0.9971568517034158,0.9964693498656761,0.9961268595290877,0.9964065534217091
1310.93719838,0.9354610840840774,0.9729756658757046,0.9616917922950334,0.9455353465206642,0.9488545162253339,0.954554964444671,0.9775459007886532,0.9687078734694655,0.961745857768148,0.9632141226661997,0.9582745968543357,0.9618701214695549,0.9275159295029619,0.9353617754791609,0.9358717863573166,0.9276881923244992,0.9884196184599839,0.9963790904231847,0.9975378280112098,0.9964015468916445,0.9823110757905412,0.995690765752385,0.9877325333012221,0.9949456955417145,0.9907504986623694,0.9881697257928639,0.9940294280254993,0.9835624808034098,0.9645029067601326,0.9766887953430354,1.0,1.0,1.0,1.0,0.9900495702415572,0.9888370982730816,0.9927655423016399,0.9927739677832103,0.9586948300217618,0.9572460460918651,0.9572409589604446,0.9671612449446886,0.9585313030260184,0.9634548841683818,0.9463653126777664,0.9453546868603531,0.9992432283062126,0.9984407836447797,0.997177914587308,0.9963795822451604,0.9960993943508719,0.9962831827439976
1316.45116775,0.9371264420209481,0.9739584717343869,0.9629888033168024,0.9471801485629862,0.9499410837946028,0.9559582310148765,0.9779872703323761,0.9699357368027014,0.9628037854748103,0.9642868562581918,0.9595651811730737,0.9632873245144526,0.9264689332698414,0.9344555694013802,0.9348895118809905,0.9266855046663462,0.9827103472353149,0.9935583135474993,0.9953394850432583,0.9933090149863292,0.9833390151203034,0.9959936246679598,0.9884192217883111,0.9955160807493231,0.9907712618894249,0.9889000800208917,0.9949426860019102,0.9844175662475703,0.9657447937527319,0.9778336965564051,1.0,1.0,1.0,1.0,0.9907223910812887,0.9897405332818601,0.9935890229382816,0.9933830889953094,0.9598122105102331,0.9587018813584002,0.9586168495211621,0.9683531220327852,0.9604353897120058,0.9649759423484872,0.9482784239592864,0.9474192339224029,0.9992740410365282,0.998379511200986,0.9972217952994133,0.9963110122114756,0.9960530450822626,0.9961464886453293
1321.96766053,0.93866551118022,0.9744833962966399,0.9640328528304511,0.9486388049675631,0.9508714989165755,0.9572812742555569,0.9784329173737754,0.9707746890826705,0.9637957145469332,0.9652319193742204,0.9606089878615418,0.9644692932048963,0.9253619235105216,0.9335271243585881,0.9337339851296584,0.9255727237094487,0.9750803992460759,0.9897288542109175,0.9921225171018655,0.989197501937925,0.9839685431145087,0.9960907634861119,0.9887026744641835,0.9958445835785966,0.9904495206849142,0.9893670506996489,0.9953590120747067,0.9850061569411769,0.9666404282112964,0.9787391865734264,1.0,1.0,1.0,1.0,0.9912722139100516,0.9904854469743368,0.9941659883347288,0.9937471917569851,0.9607759386230086,0.9599523218171059,0.9597023678835912,0.9690760725211003,0.9622781984967972,0.9660729260526415,0.9499401598519889,0.9492223942320089,0.9992863828314972,0.9983452426553706,0.9970956448857295,0.9962594441050129,0.9959830792780736,0.9960244895104942
1327.4866591,0.9396976524916187,0.9746732858066183,0.9649327042129215,0.9498642389382544,0.9517112059189098,0.9584308771935216,0.9784949347835639,0.970962696892649,0.9646913302188601,0.9661828719287796,0.9614368829446465,0.9654088556248196,0.9241316648845558,0.9324669069883558,0.9324742815675333,0.9244993891632273,0.9655940402760997,0.9849142032789414,0.9877385205706835,0.9840130795021609,0.9842876405506414,0.9958575537751068,0.9885676352711583,0.9957449662883131,0.9899270016934502,0.9895106727794569,0.9953639580356465,0.9851820063506443,0.9673105284842151,0.9792474794777125,0.9998368593495858,0.999936748951855,0.9999081197889677,1.0,0.991705321583886,0.9908803492090088,0.9944314505521996,0.9940545940688171,0.9618514720752726,0.9608944673955911,0.9604259788948414,0.9695243500522529,0.9639336895944796,0.9669720903574434,0.9515284791828162,0.9507410957381195,0.9993049395142766,0.9983197139851973,0.996947876993024,0.9962216548021645,0.9959171348003121,0.995925218115372
1333.01349556,0.9403860458079,0.9745422965335057,0.9656280165499465,0.9507719974105445,0.9524507012029669,0.9595190208954392,0.9783194671570777,0.9711909362297425,0.9655289840799902,0.9671202039091054,0.9622394162685471,0.9661857609517629,0.9227784197317701,0.9312293431081848,0.9312053686775916,0.9234495683692798,0.9544531677138433,0.9792514828848511,0.9821757512345708,0.9777746781943787,0.9844547866036523,0.9952993673135618,0.987964990991488,0.9953137826598786,0.9895050225557915,0.9892653650191771,0.9952351184676286,0.9852134030811737,0.96769891655164,0.9793010377008707,0.9995558383097688,0.9997234572077448,0.9996263166119539,0.9996277329901374,0.9920782533481272,0.9909821215135042,0.9944328228462432,0.9943608259748768,0.963130115162072,0.9614830954120638,0.9609235054749472,0.9701402555658576,0.9653636376425216,0.9677574728510329,0.9529638571845649,0.9523272094983151,0.9993130872998065,0.998307301818534,0.9967510663979524,0.996212307073976,0.9958443506547973,0.9958054831098977
1338.5688161,0.9412300589488334,0.9743812044154196,0.9664090152378222,0.951615554686014,0.9534547269089337,0.960936542908091,0.9784409029279084,0.9719943143868652,0.9664904958435664,0.9681895317122435,0.9633286785137615,0.9671711762937247,0.9216820234576866,0.9300368256559971,0.930148317724583,0.9224368984991442,0.9420641151078403,0.9728514287204392,0.9758337240002466,0.9707902669980609,0.9847616104483375,0.9947352505189975,0.9873071539942262,0.9948918854376004,0.9893513906558176,0.9888540650340591,0.9952265186612671,0.9854652446747992,0.9677426516780577,0.9792410564200408,0.9992202255515076,0.9994129802169199,0.9992366652644931,0.9993163274865169,0.9925531764066101,0.9911969856114204,0.9947163179813338,0.9947885201596433,0.9644878409627096,0.9620938520730405,0.9614587210461841,0.9711727967555984,0.9669534298968954,0.9686655982786052,0.9545403721707966,0.9540502925209942,0.9992812723918783,0.9982890724233983,0.9965589551072087,0.9961910159194022,0.9957246571916425,0.9956798276313276
