,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
2125.37093026,0.4699924707935877,0.4500888854824146,0.36503565304483654,0.17929951231727617,0.1533543357121956,0.14508895732202085,0.09476564814261466,0.0894664271490836,0.45271427101634254,0.4728675258818327,0.45967809578357044,0.45419208383570125,0.27396740059115043,0.26093713791886886,0.31342814515679224,0.3245051892324659,0.1628774195797295,0.31158092321319186,0.36179414069272015,0.2175663677740546,0.4798290265433574,0.45879165144800266,0.44771262191457484,0.43446653456498696,0.3783821375785223,0.4747791725922468,0.2750654172626025,0.17863287483664742,0.17438011743850557,0.20109317383603095,0.3750978091686529,0.2874322850193867,0.2764561232918815,0.31906238485784666,0.4571483896454825,0.45803146736817063,0.4186746466780011,0.4303613197288996,0.140781657712676,0.1535604378937379,0.13447285021702418,0.19319711196996933,0.16455249369928768,0.1544510085495667,0.15747325079218252,0.15961725256064957,1.000047086813423,1.000013377025963,0.5913806015845732,0.9984242383179783,0.9973887829653703,0.9981103796829447
2134.35713173,0.4685122355610857,0.45008207079633133,0.3643830840903396,0.17943223194698585,0.15298901060574094,0.14423037891759716,0.09437986898743432,0.08919465473922199,0.45355914211174675,0.47389176790264853,0.4607898549146784,0.4552500202107393,0.27488532110659125,0.26173990968465044,0.3144772634873536,0.32533142814714755,0.16172851156470608,0.31004017961917224,0.3598402434265973,0.2170691003519062,0.4773846409799873,0.45734706766849614,0.4436841758094057,0.43258106420555686,0.37742986048961574,0.47102280468424856,0.2755028185016756,0.17870636745779908,0.17427966085465976,0.20125937503624447,0.3739938611176146,0.2865388002328716,0.2751126680169341,0.31717805637440993,0.4575142309198648,0.458263460303332,0.4193073819810586,0.4310639381048741,0.13935888793000215,0.1521339582661493,0.1331648256216691,0.19174375036434702,0.16414675830162703,0.15403530604476384,0.15736962790273168,0.15935452383112494,0.9998463642137516,0.9999522465482704,0.5922591320655735,0.9984656122813573,0.9973403034295791,0.9981428510527455
2143.36995005,0.4642829178970847,0.44799635333530724,0.3625099055303604,0.17918693602529417,0.15239433807261665,0.1431287246202581,0.09389459334147053,0.08882375166705517,0.4536874883538886,0.4740517169011183,0.461419638737366,0.45593203768260454,0.27557485846739793,0.26216693034704275,0.3152114701859562,0.32585208991642894,0.1604322330149842,0.3081697274515653,0.35740116496969276,0.21626665083244545,0.47399483570995476,0.45491007810589323,0.439001982736896,0.4301339575084617,0.3759830465926512,0.46676031123129513,0.2751815267113115,0.17826998143991613,0.17361702000786333,0.20077451733683008,0.37085922496812973,0.28414120888286687,0.27219606303855287,0.31346458281950135,0.45740595683454016,0.4578688195544472,0.4193880498311052,0.4309220494725079,0.13696560290102686,0.14963865806968887,0.13079318819875174,0.1892288993256637,0.1634720446569633,0.15343445255706203,0.156965752977995,0.15883165690344442,0.9997268900534282,1.0000368935060087,0.5925142582426922,0.9984898461603422,0.997413710313398,0.9981539349667403
2152.40939672,0.4574799840683293,0.4437406875113741,0.3593349818419204,0.17831279696130192,0.15151456896763296,0.14186254697926018,0.09323078649186155,0.0882141062037026,0.4530297421069293,0.4731914024853315,0.46120913934683005,0.4557677035201241,0.2759093709259266,0.26193978018760017,0.31516139868444365,0.3256761286071942,0.15901768947491077,0.30557456328080446,0.3545662719785154,0.21510534187713715,0.46932262009985487,0.4514984267751106,0.43291604675361145,0.42665792369798805,0.3736134571244241,0.4609695252775253,0.2738814237090866,0.17708631707635672,0.1724063494829526,0.1999322097994716,0.3650224681453515,0.27956211303633344,0.2670179902435106,0.30723361749719513,0.45638214016648937,0.45696254479398357,0.4186531063557951,0.4305345045097456,0.13391372835364707,0.14623483341068008,0.12747061994379047,0.18591656133117138,0.16236387632365334,0.15226968302528324,0.15604607896251557,0.15770437543125787,0.9999197102536383,1.0001935520135612,0.5920330542364045,0.9985289516291559,0.9977810656272549,0.9982997112648365
2161.47548295,0.44963311656991906,0.4386126428059261,0.35498478779982656,0.17702969560559753,0.1503022781498612,0.14046159644114126,0.09242279220642562,0.08755592115799159,0.45154074382977366,0.4715927296191083,0.4599615236651816,0.4546925075792752,0.27565641430728394,0.26098669497753096,0.3142755974538239,0.3248582203986014,0.15747177188657696,0.30239479815464965,0.3510402317282333,0.21363049756080568,0.4632488511719422,0.4472554391340537,0.42533227622042336,0.42203680889211886,0.37010788452965243,0.4536760968669954,0.27153481998465656,0.17557653015213034,0.1705992317611249,0.1983724218252709,0.35651589280347556,0.27275628370772,0.25990161624035446,0.29894827422622716,0.45470421070385536,0.45544827304686547,0.41703525798289137,0.42942953654733906,0.13075390325999597,0.1427495962142314,0.12417170914554282,0.18256070089862977,0.160453989654306,0.1503213582823084,0.15421073929471762,0.15555115504646858,0.9999616576539089,1.000202961674508,0.5907390572984504,0.9985740413265819,0.9978042549189621,0.998359189583023
2170.56821963,0.4424089318111952,0.4333191364282443,0.35021311908507197,0.17556351029904005,0.14890879146052105,0.13902858950522143,0.09157089480815667,0.08690760782132913,0.44967168561714854,0.4695064873935138,0.4579196496189995,0.4527601222773117,0.2752041197214803,0.2599139145247513,0.312914396339946,0.32368640764799883,0.15595954283038885,0.29894279117207356,0.34728197385262055,0.21216616729433907,0.4558054472019343,0.4425440195964691,0.4171028224246402,0.416569686446774,0.3659353244897047,0.445392003109238,0.26858148019561046,0.17360016804389353,0.16854298430464604,0.19626385600935586,0.3466406246718235,0.26479118290225506,0.25171037453925404,0.2897542771025348,0.4525738571762063,0.453159167224658,0.41495493309246007,0.4275543206948077,0.12799118752673114,0.13991349199585512,0.12181456319351416,0.17962710135272686,0.15771801694730536,0.14753476059481854,0.1512391656949197,0.15216702766504622,0.999895673461018,1.0003232035899938,0.588989447101352,0.9988650078402141,0.997677637858718,0.9987082405374459
2179.68761735,0.43542573654673833,0.4271587330134128,0.34530601582140663,0.1735153809970069,0.14751044182900178,0.1376939485723769,0.09053400226469172,0.08623988541650691,0.4475387819691116,0.4672093373675197,0.4558033740319112,0.4506949614159538,0.2744398476895351,0.2588968369970975,0.3116239407808425,0.3225369806598066,0.15451958881969893,0.2958745711045044,0.3437043296467664,0.21096676390722718,0.44758413694219307,0.4373916247501993,0.4088455826411883,0.41067570496407585,0.3617449760876783,0.4369006197544988,0.26522121545824157,0.1715978493530857,0.1662824902763126,0.1938439846490895,0.3364054257043148,0.2564868827393833,0.2433592512920372,0.28040768090488133,0.45066755972418493,0.4507518247098084,0.4126695138489048,0.4256982812312449,0.12556604063844867,0.13709879567236954,0.11945192261948817,0.1766719294885871,0.1535902947887045,0.1437322225147416,0.14684565656206008,0.14763850741541568,0.999870251095458,1.0005187074341853,0.5872302219920313,0.999103041612101,0.9977834070474385,0.9988654880142229
2188.8336864,0.4272480032902823,0.41995610729342875,0.3397668485412636,0.17078638472636154,0.14645876505854066,0.13648293671068118,0.08939351109886053,0.0857391085865001,0.44537227263712115,0.4651171386599256,0.45392205645769473,0.44893767538285256,0.27353559938182365,0.25788845698183005,0.3108044503520466,0.3216729900370368,0.1530788940762271,0.29328351064091324,0.34024725775687403,0.20962957643749813,0.43894792584165254,0.4319057860810229,0.4005453173180857,0.4046981089803265,0.35760302537520505,0.42857278809721694,0.2614801561044161,0.1698055028453215,0.16342560391551508,0.1917524274811749,0.3273113242436043,0.24916109743991074,0.2359324921869688,0.27210528656626454,0.44892302889614777,0.44874124951026473,0.410400515630007,0.42419436487339246,0.12279873496191415,0.13404556245693328,0.11654726554081195,0.17356212195021542,0.14834254805777347,0.138780408811632,0.14130201483920335,0.14220744099463634,0.9998635922748282,1.0004028208014446,0.5855157344678396,0.9994854108853398,0.9978357100161327,0.9989210844181511
2198.00643675,0.4181340165918736,0.4120047211534158,0.3330495707642637,0.1674682790589984,0.14544338588940775,0.13525090143335983,0.08845247179484689,0.0853168854454063,0.44389054481746415,0.46324573502002586,0.4523000326098787,0.44751618129112475,0.272633730128135,0.2568695612891491,0.31011943406486453,0.32099383035996243,0.15174908958468464,0.2907854041060152,0.33669269308140404,0.20806380650312134,0.4306110653617803,0.4263576634271422,0.3923904889307634,0.39882836611092165,0.35336549420759,0.42008070925784186,0.25788853046350035,0.16803594377580555,0.16049880744282716,0.1895642777502514,0.32086276210921405,0.24380791053357234,0.2304149505311603,0.26604783923183906,0.44715291725399087,0.44679050936086084,0.4085304618349902,0.4223109443737119,0.11962620992356394,0.130629516595121,0.11368655543234221,0.17007582650430336,0.14293464989251603,0.13346120888381138,0.13578187163333458,0.13663202084276466,0.9997435045983984,1.0003427823701845,0.584582121096546,0.9992457512442127,0.9973759674052527,0.9988164323051926
2207.20587807,0.4108342006277795,0.4048856878407735,0.3266627139615578,0.16433110521717198,0.14464380996603898,0.1343362882418614,0.08767828496442838,0.08470088998855613,0.44294202316944437,0.4620916580669871,0.4510913247817954,0.4464036662565647,0.27199294800299045,0.2563407929336682,0.3095327531948974,0.3204426986973463,0.15052644159084935,0.2883051393944419,0.3332123885433791,0.20667956807910473,0.4241297875910944,0.4219208124642359,0.3850100894613809,0.3939548786676153,0.34973816474928915,0.4126039747069288,0.2550260854992264,0.16687407195831458,0.15838399794694877,0.18789541748150076,0.3188448120094072,0.24227181349709348,0.2283747264360411,0.26392968318803833,0.445437466133038,0.44511732569236667,0.40727105433708005,0.4205635888947461,0.11706240925545042,0.1281239593840533,0.1116540394027266,0.16730976484102586,0.13851948617068668,0.12919983641774999,0.1311996310146834,0.13215576099952492,0.9998313833248326,1.0004311796013254,0.5843142395834456,0.9986395169593228,0.9971786692199733,0.9982840021829007
2216.43201972,0.40918374766948895,0.4021548189864237,0.3223798704122351,0.16293983913636956,0.14406090903006374,0.13356876482483404,0.08673252985195383,0.08418850434324748,0.44228488452376563,0.4613662295567189,0.45033449093329203,0.4455687173534383,0.27167265545199804,0.25602611219609295,0.30921652964676827,0.31997281910303993,0.14953685042738715,0.28644442946080007,0.3305233549379139,0.20557400273163262,0.420609081114872,0.41943833116785206,0.3808376075775057,0.3910228283954653,0.3477439013952231,0.40846492562716286,0.25312250191401087,0.16603240896180427,0.15694426826770652,0.1867352695062004,0.32215425050389385,0.24500499014094962,0.23071324553103098,0.26691321470316337,0.4436508437743313,0.44353349822543336,0.4065336942184612,0.41946801049924365,0.11770021400472458,0.12898867254638044,0.11228315699204869,0.1683080249172058,0.13624646119146525,0.12693498511881604,0.12846428167988164,0.12945958029637256,0.9998950554879301,1.0006018095932028,0.58411232479992,0.9983544210150729,0.9977795725258722,0.9982560979371902
2225.68487077,0.4093169146051318,0.4022375604849196,0.31949093160754083,0.16274859870754474,0.14365458255191982,0.1330947905953783,0.0858277624270671,0.08401949373599713,0.44133470148185916,0.4608524404502378,0.4494251358025754,0.44472314682097586,0.2716968152768783,0.2558719048403967,0.30913794857886634,0.3196941050472261,0.1488805637490084,0.2855462330394687,0.3294704313659036,0.20501635423667586,0.4199706938542825,0.4192708079619606,0.38108378830102685,0.39031064564139595,0.3474378587632381,0.40855188464106784,0.2511050714194189,0.16491056411064373,0.1554789379900878,0.18527562654065027,0.32677271057552654,0.2488220507123867,0.23400019835731903,0.27116526301560084,0.4425050711661088,0.44221589538934825,0.4058769394934577,0.4188743282140848,0.1195535996682004,0.13084039489636332,0.1140815264603906,0.17050776897081782,0.13608496705986667,0.12694635612174332,0.12816545624321518,0.12907650482905197,1.000173963902749,1.000376849809866,0.5840843032694353,0.9985272109241514,0.9980541690540269,0.9984009467603299
2234.96443997,0.4072690847075407,0.4028562695388403,0.31751642132147706,0.16378095886044228,0.14334630892982775,0.1327024944329908,0.08530758517182459,0.08391936605479404,0.44016892299154803,0.4592613287175239,0.448178247969994,0.4434436744979285,0.2719524536405881,0.2560637069499925,0.30944593757316385,0.31972944560178074,0.14811710517378357,0.285575031792187,0.32920279003202346,0.20547447576159306,0.4205990139030844,0.42050821224580626,0.382859826350498,0.3901484199908232,0.34788023983564037,0.41042561925229615,0.24872471654612124,0.16371132312833842,0.15372927049036947,0.18347204068921089,0.3301085306835067,0.252002758378185,0.23650293967106448,0.2737428749782812,0.44182820354273344,0.44133006691521826,0.4052806640405787,0.4186318914201302,0.1209692053984353,0.13218414886156554,0.11522488727051645,0.17177708697405028,0.13731938786036574,0.12860424699110473,0.12997556919222703,0.13095290989421196,1.0004314070712008,1.0003032643248304,0.5849177756992459,0.9984823724134259,0.9975140685984393,0.9980614848377174
2244.27015399,0.4033784904562062,0.40249393121533206,0.3152770299140012,0.1649841969882558,0.14327450306410194,0.13237036188532542,0.0849267724384137,0.083985557761506,0.4386691585310015,0.45710733745846305,0.4463701990379152,0.4417693078096005,0.27237772303147545,0.2567090672393352,0.30985299747139805,0.3196734859584433,0.1473262375653404,0.2854767017384398,0.3283387192703663,0.20615783887232647,0.42106802772905527,0.4212775221957541,0.38390114473606785,0.38992202624078226,0.34792132756971655,0.41152378091944203,0.24595553992105998,0.1619393528005308,0.15139935468638607,0.18132364420216532,0.33250744991987646,0.254380239370415,0.23829978925955983,0.2749853247591502,0.44149910489299266,0.4406166303911494,0.40490954705620025,0.4185335831213649,0.12155727818524811,0.13265760099086474,0.11524642098176825,0.17233306331871967,0.13899858233805365,0.13080434249058445,0.13230526657870068,0.13321250240487145,1.000626553078563,1.0000868603937165,0.5858020451950128,0.9981929784824944,0.9970808300617618,0.9978894418990993
2253.60010501,0.3997309538539559,0.40126327748304796,0.31282691032783694,0.16634862764274347,0.14313513860507904,0.13220386130180126,0.08460932586595567,0.08439090729937784,0.43674793711865206,0.45493563942391985,0.44393292115281424,0.4396619658538774,0.2727445790238641,0.25731385772784887,0.31014935481088945,0.3202731066008062,0.14653699506329487,0.28495794988262513,0.3264677769805119,0.20637281055686285,0.42130569779013555,0.4216081529013542,0.38433907584097854,0.38985820828902445,0.3477035672052648,0.41197447318621633,0.24267322874490008,0.15972163305251857,0.14847819527856385,0.17868477351010423,0.33410811403619317,0.2561734599031221,0.23944954764974652,0.27570439731513846,0.44147255885371933,0.4402759406434279,0.4046050949956829,0.4185084496645488,0.12127224461434792,0.13278286976372194,0.11426322087053281,0.17246354667972108,0.14050239256503677,0.13258008096780952,0.13429621739021355,0.13502662693485865,1.000395391607029,0.9999334707700522,0.5867413977764487,0.9983109864098414,0.9968979474200492,0.997675589883848
