,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
1395.0151167,0.34593160179272714,0.377512490260185,0.2770386667817717,0.1738186415733432,0.16725102434512215,0.15382482280281218,0.0972739031566179,0.09702047281450253,0.3547404450703365,0.36581324895595524,0.3532804323792865,0.35529134100434157,0.2599404878422827,0.2414385037415391,0.2879668056576959,0.2936392038534885,0.2648231588050529,0.4104699504750259,0.44611137552591174,0.35693552054646843,0.439603685922581,0.4237771099972835,0.4587365932865032,0.41415712536192445,0.3528046162665211,0.4710550937961787,0.2162049546926532,0.16356190505184498,0.13807151720464392,0.15429478841157435,0.37299892044127,0.30519291756284994,0.26387130694999444,0.32388091792049445,0.4018678511126339,0.3997951444534346,0.380662080721669,0.3970702854369742,0.11916886696298681,0.12805089839053696,0.11519322316472283,0.16338231846266058,0.13411684530605492,0.12066281176420544,0.13097494726123418,0.13349387349385672,1.0000925885539564,0.9999544793598214,0.5074140660366168,0.9932686873179636,0.9912722740178325,0.9923515055247029
1400.60415467,0.343629498870835,0.3722656391281346,0.2749025684720886,0.17206495340138966,0.16789967535068792,0.15438553371609878,0.09740344476973577,0.09717936519562978,0.3555536659125363,0.36675330963696906,0.3542061958251328,0.3563438914774647,0.25946129624383707,0.24093717368284118,0.28737866987357935,0.2931075075844589,0.25752423368118665,0.4045306678826299,0.4392466656705877,0.3512227400798635,0.43680811799760394,0.42208928417690283,0.45487898932872767,0.41203379359473663,0.35123359598336523,0.4674190995018782,0.21366378074512138,0.16165047898899512,0.1360927898614633,0.15227816428832627,0.36746342476629007,0.3003433217066848,0.25982538214184064,0.31889799298129284,0.40179426685875497,0.39967199284430055,0.3806068646301525,0.39696147713209856,0.11881271177169789,0.12774440534745485,0.11476455782905538,0.16310767334603848,0.13296142455878573,0.119614054690623,0.12954107008727772,0.13210167818444965,1.0000784018425464,0.9999453035194216,0.5080111576396563,0.9932672197836908,0.9914260123110845,0.9925647928683653
1406.19775036,0.34161324830858947,0.3671407470271439,0.27270611169147396,0.1703012848626483,0.16855012387655297,0.15496415363928998,0.09749145963445091,0.0973130416949932,0.35648588814248144,0.3677643849362603,0.3552953632192163,0.3575296496501961,0.25901691056532555,0.2403975818939117,0.2867816218905707,0.29255830483098066,0.24962382362799873,0.39787096795834154,0.4311468515591888,0.34467732132375134,0.4340299743024886,0.42012393093402906,0.4507098922173631,0.4098414015472788,0.349664148496633,0.46349924819689164,0.21136390095481483,0.15999440478387522,0.1343529645331831,0.1504950595255693,0.3631886984161937,0.29658622726000927,0.25664678599811647,0.3149316974154244,0.4018104729071032,0.39972437631530605,0.3806751059917474,0.39703224419885136,0.11854436051790626,0.12747728020192567,0.11443592977478126,0.1628464166277849,0.1319619397626451,0.11870214304963864,0.12826273161711665,0.1308678556707362,1.000079842777808,0.9999529441663669,0.5085905125515052,0.9933526969446922,0.9915784633868022,0.9928242275294996
1411.81328293,0.3409549057275927,0.3635819487494471,0.27123781568186317,0.16923230546811407,0.16920095281173164,0.15552710096811792,0.09755952312144855,0.09747209056857446,0.35736608424051064,0.3687473863307477,0.3563585780199996,0.35860753693008635,0.25859400203490757,0.23985258570729262,0.2861592396873729,0.29197060852910084,0.24182501495125694,0.390798438088489,0.42228670134592317,0.3377600275632433,0.4322792709583243,0.41848083762970995,0.44692383217790743,0.40811308884771547,0.3484739816694798,0.4601030446461866,0.20988211845700214,0.1589953161505616,0.13326176780185536,0.1493681811934031,0.361691371235852,0.2952520069634944,0.2554709833977297,0.31346184894733475,0.4019776823973512,0.39991617240093763,0.380834548981816,0.397216593718402,0.11858527520897229,0.1275042372750676,0.11442814311644528,0.16287288831362348,0.13163139797305512,0.11839287312490432,0.12775912860027783,0.13038350167190796,1.0000869294074304,0.9999879011186062,0.5091746491791757,0.9934843081290501,0.9916807468393356,0.9929141028966256
1417.45083527,0.3426671221917847,0.362748911682929,0.27106118313530103,0.16954689102154247,0.16987774022835062,0.15607306804543797,0.09764582818840233,0.09766977437445223,0.35843246570628573,0.3700278152440226,0.3576645893510888,0.3598305509629249,0.2582295065712723,0.23940125650591174,0.2856722050604748,0.2914770073804981,0.2347445310788614,0.3838464745270446,0.41352267539732873,0.3311154010914024,0.43217155093831916,0.4176724414759714,0.4440128301173146,0.40723042257160746,0.34794819757676193,0.45776364411856574,0.20956175905162783,0.15883401445918643,0.13307939076521652,0.14912150079877842,0.3636992641517718,0.2970196964910223,0.256895019522488,0.3152745274518612,0.4023574254104192,0.40027644008481283,0.3811460775341724,0.3975489786453593,0.11941657683985243,0.12838733545392692,0.11528083504002065,0.16379156883511778,0.13230157903801068,0.1189408908734781,0.12839363033327356,0.13104668898859648,1.0001220371117905,1.0000109271091322,0.5096982187673377,0.993583153063052,0.9917512836133819,0.9929091829229946
1423.11049053,0.3459754657648811,0.36407163762056527,0.2720771345788415,0.1709866738682008,0.17053886902241508,0.1565684100905721,0.0977657648256543,0.09785373531687927,0.3597446983805715,0.37158858594180383,0.35917736451656934,0.3612161992095412,0.2579315054835858,0.23902366952584522,0.28533371076237796,0.291097010746677,0.22873940878647758,0.3773638372296291,0.4054152030199306,0.32508944270586915,0.4332189389243879,0.417362294587096,0.4416937945438511,0.40698191962396346,0.3479475519619167,0.45606717244258516,0.21032947576588995,0.15939073660373396,0.1337497408566522,0.14972504772641598,0.3678622101217442,0.30067500696874216,0.25993228066067825,0.31906923962392686,0.402873580069498,0.40086388846057436,0.3815192569294553,0.39796174522049266,0.12086684022113645,0.129916079430099,0.11676409884864838,0.1653161374327778,0.1337798593391721,0.12018471583331848,0.12998137423332182,0.13267737868530646,1.0001563270755083,1.0000281332394223,0.5101515397785156,0.9936052732274355,0.9917343966519115,0.9928483573273992
1428.79233216,0.3496249627600756,0.36651120375862667,0.2737981920672116,0.17293454787190257,0.17122699365346386,0.1570558506654714,0.09791670923116724,0.09803911914468705,0.36124899350461065,0.3731985954734562,0.3607757849564694,0.36269147251764317,0.2577149086533565,0.23867737902589972,0.28505099667847233,0.2908129817574802,0.2238472325294286,0.3714624384085191,0.3979363359822854,0.31969680702940045,0.43435605631806024,0.4169875850746544,0.43917396062616104,0.40681566058991503,0.3480533431942684,0.45407157188277597,0.211993943629193,0.16053185050299684,0.13508352219186875,0.1510735006153032,0.3725113124616049,0.30468300422448485,0.26328808678106896,0.32330890918117405,0.40357077529386914,0.4017606214515927,0.3820187748869275,0.39845303715206926,0.12237693997481713,0.1314782758421703,0.1182420091565742,0.16679267024314487,0.13562902366196633,0.12173352206311966,0.13195585058297518,0.13470574593842274,1.0001771186812063,1.0000720204444995,0.5106089562946028,0.9937215499048104,0.99173185654018,0.9928257043909634
1434.4964439,0.35310138156807847,0.36941558522960183,0.2757473714891659,0.1749701610342217,0.1719618834425637,0.15757522186180833,0.09807699414939877,0.09823705020008264,0.36281543306797526,0.3747665289700005,0.3623524754967093,0.36418440317311285,0.25749956521762857,0.23826153989353427,0.2847337674741128,0.2905574355491825,0.2197768224258995,0.36595710395368886,0.39075025976209493,0.3146958040938126,0.43472148406951777,0.4160482682316859,0.4355880570276593,0.4061068036830484,0.3478071054389753,0.4509588349048626,0.21424342847212896,0.16203910696297047,0.13677948019866673,0.15283703481431452,0.3768539411542909,0.30839953303592743,0.2663873020466469,0.3273098837323475,0.4044844123625103,0.40282772236335157,0.38263707173126915,0.39911384764463886,0.12371826785432014,0.13284927245545922,0.11945243049106301,0.16811181105728676,0.13742877248255914,0.12326819307544407,0.1338404526963276,0.13659807608621968,1.000172658464539,1.00005994636748,0.5110290209961834,0.9939686195964507,0.9917777391079926,0.9928772512479643
1440.21938683,0.3562214083529745,0.37243813930294417,0.27764303946320296,0.17686331974921118,0.17270912526605395,0.15807339788476837,0.0982337803443703,0.09842365896741445,0.36434405870741143,0.37624132992062015,0.3638499969673746,0.36556404857491215,0.2572192133019021,0.23781397365525617,0.2843358008771822,0.2902787656724486,0.2165182926135338,0.36115407390546506,0.38438998072684516,0.31041225298388225,0.4345972490060759,0.41474429773757493,0.43162691369809036,0.40501336644940467,0.34721385175314273,0.4474208790784273,0.21661720690161343,0.16361744902904907,0.13857604054544276,0.15466689201171993,0.3805679281830505,0.31163132930415305,0.2689892606843759,0.330726637669777,0.40544786661321114,0.4037840310533709,0.3833014152929021,0.3998743130530574,0.12476570722144249,0.13395622555976658,0.12047012179383355,0.16923803013316543,0.1389075698171231,0.12454190233413238,0.13537341543820308,0.13811378934091012,1.0001298141300823,1.0000402676833158,0.5114230733906407,0.9940280178400729,0.9917730111024978,0.99287423499169
1445.9515979,0.35906490448547435,0.3754611220263162,0.2794998612270136,0.1785927484653181,0.17343738359950547,0.15857306183983905,0.09840659584774306,0.09859760289459159,0.36588576262499295,0.37765024672150593,0.3653154108895491,0.3669520759570642,0.2570165240559877,0.23755111672271426,0.2840168419195439,0.2901244324138087,0.21452958807362563,0.35820474640583344,0.3805999700855387,0.30789810087598124,0.4354361415376585,0.41425640719202583,0.43010587932032024,0.4047680946323356,0.3470931613501521,0.4461596228405489,0.218922057407515,0.16511107635285407,0.14029351993990702,0.15642626157591497,0.383592647838042,0.3142901271407312,0.27114186671776874,0.33349094606464313,0.4063636225822915,0.40468603052768415,0.384043366298143,0.4007265063385638,0.12560127815946426,0.13483415712183755,0.12139400588088303,0.17012888169498425,0.14010619098734217,0.1255565389979802,0.13656080398095738,0.13932126147428156,1.0000984808365503,1.0000425289875687,0.5118364444374347,0.9938795261319789,0.991720998107233,0.9928631752899707
1451.69304835,0.36169717244356386,0.3783085849721376,0.28130241934571215,0.1801240532113721,0.17409100447310413,0.15907859404176175,0.09855358930484123,0.09875054165056821,0.3673822173450083,0.3790614269680827,0.3666809852988758,0.3683222570134041,0.25692390051730646,0.23744991731743015,0.2839664941505033,0.2901324784184299,0.21389779475560053,0.3574549352830845,0.3799149880619212,0.30752229511145884,0.4378769619782978,0.41516505270039844,0.43242520159092274,0.4060011175555836,0.34784624120217966,0.44849558056409566,0.22100488007668634,0.1663840344730838,0.14182673520915684,0.15798895558963777,0.38603671628231795,0.31638952012092375,0.27294284769723565,0.3356932612052957,0.4072876384685868,0.40561125599940473,0.38486431538993715,0.40160452056616736,0.12634259599598546,0.13557211942879555,0.12217257986470945,0.1708348339668565,0.14107370800596888,0.12635989112347737,0.13749596643034673,0.14032284256657868,1.0000920887554077,1.000037729178412,0.5122572911179467,0.9937808164633269,0.9916913801366012,0.9929562157680524
1457.44370948,0.3642220567761125,0.38093418089346887,0.2829874457234927,0.18147280206936622,0.17466783862299873,0.15960053625376694,0.0986942381315643,0.09889923582160336,0.36884534924045004,0.3806118346383995,0.36803526989875945,0.3696992862434688,0.2568966808993322,0.23745173245228368,0.2841037139816463,0.2902018757633192,0.2140027141216392,0.3580277150623235,0.3810933604775586,0.3083473938793919,0.44105240012526825,0.41675384246291336,0.43666978289000363,0.4079422529536658,0.34907737088209867,0.45258079131211537,0.22280430333261125,0.16752713457585364,0.14319194487711695,0.15932283551719,0.3881213088708104,0.3182103766996527,0.27446408894153107,0.3375901799452985,0.408353898407589,0.40659847819724215,0.38570922593665125,0.4024494075427639,0.12706807989096094,0.13626522046391232,0.12284527632946005,0.17143867860096143,0.1418491960900098,0.12706132216565047,0.1383128303582898,0.14120310360225338,1.0000929556545997,1.0000376021094621,0.5127521662937949,0.9937319989225021,0.9916540688669899,0.992998793673191
1463.20355265,0.3667104059558031,0.38349058565037103,0.28461350441884026,0.18273634029728575,0.17519699142302475,0.16016104348272853,0.09883521426070942,0.09905369801097498,0.37025795312628623,0.3822109152511485,0.3693802811504181,0.371094079474503,0.2569323024906059,0.237549745838461,0.2842181634301374,0.29023707813261407,0.21426219912705152,0.35894597359759794,0.3827431910386618,0.3093265290557828,0.44406763907327124,0.41822988672563843,0.4405543140363311,0.4097444094362561,0.35026061712423157,0.4563596131782642,0.22447817821297927,0.16869394170336138,0.14448490159847302,0.16052597375053143,0.3900151484352849,0.3198662380817796,0.27583737111016143,0.33935361168751355,0.4094441647171584,0.4075913576916589,0.38644998461873675,0.4032558425980232,0.1277383949238629,0.13695004826056686,0.1234791191488511,0.17198025927649763,0.14256302522768943,0.12772492937320704,0.13906410647504475,0.14208711796890752,1.0000664690744383,1.0000431678667085,0.5133071821948404,0.9936164092629532,0.9915739017917266,0.9928982551898827
1468.97254925,0.3693229975373906,0.3862774318486155,0.28633990228627637,0.18412226326355796,0.1757699814787206,0.16069366612205793,0.09898200144193377,0.09923171088835187,0.3716082036046912,0.38378261080874637,0.3706884237027959,0.37248797909337394,0.2570369718128832,0.23770962109889704,0.28427737962527927,0.29031220809019787,0.21451519595759233,0.3597318005156036,0.3843373261213445,0.3101770177177719,0.4467036583731922,0.4194678344500532,0.4435410869424845,0.4112662726517053,0.35126912384660786,0.4593681423789408,0.22625828557820168,0.17002173773381069,0.145946815118104,0.16187722973309607,0.39192348223889617,0.32147967321150367,0.277200991207358,0.34113988534077444,0.4104746739251488,0.4085940465420924,0.387177359088219,0.40403566361685134,0.12833067486918526,0.13760933476599507,0.12412006463755336,0.17253481906524346,0.14325673563305594,0.1283742968486704,0.139779939513412,0.14293937038216492,1.000050859050693,1.0000241329046142,0.5138208446326292,0.9935179642746056,0.9914671936548641,0.9928072812717703
1474.75040717,0.37213738675494534,0.3894513975800657,0.28824936902156456,0.18564794745964208,0.1763772586113983,0.16116650967087656,0.0991193356504334,0.09945061513133957,0.37294622546446154,0.3853051179115801,0.3720350517784486,0.37386246141189483,0.2571039053948457,0.23786431575790504,0.2842929794334633,0.2904208239341425,0.21464657162199635,0.3603640134087596,0.3856492955906937,0.31082842507697306,0.44900800340715885,0.42045970821382095,0.44579402608875335,0.41250984197311663,0.3521439688441098,0.4616380325363964,0.22823027642530436,0.17145342717855738,0.14760993536179348,0.163467813956919,0.3939064262930289,0.32321330222797023,0.2786010310356929,0.34297904269903695,0.41147949289361735,0.4096560105557596,0.3880188943911154,0.40485069949668623,0.12885047308215514,0.13827304425429457,0.12473926699015409,0.17311593766383115,0.14392496879984729,0.1289881395697421,0.14046680158364683,0.14369913223188224,1.0000912224134935,1.0000002669426553,0.5143314074774419,0.9934844766537919,0.9914224716275628,0.9927738025836531
1480.53455271,0.37506231158302633,0.39295893100310697,0.2903784933046627,0.18725306884677034,0.17702620459701238,0.16164263342084897,0.09929289466717643,0.09970388857806767,0.37447448564812047,0.3867983034371328,0.37354622970141466,0.3752968985516451,0.257130459411269,0.2379948752773763,0.284351993453396,0.2905444599199784,0.21467209481610264,0.3608880976880657,0.38650878596545907,0.31126198047814974,0.45099158736244294,0.4211996176520865,0.4472813533072589,0.4134702914706486,0.3528630578342496,0.4631229201878427,0.23030990513694471,0.1729238565569132,0.149315391679714,0.16514714754061469,0.39590958381503893,0.3250536779211594,0.28001966047143007,0.3448328202834769,0.41245943335352625,0.4107704584574551,0.3889993236402219,0.4058299301047535,0.129337092156929,0.13892855702541895,0.12532176421690955,0.17372237577360283,0.14462157993271432,0.1295803168550633,0.14115870387803117,0.14444030939425492,1.0001393676155772,1.000017118833946,0.5148416740404899,0.9936207198017657,0.9915935446528134,0.9928503608969441
1486.32495713,0.377940488928122,0.39661662135729214,0.292582243379427,0.1888293354081224,0.17764316559443938,0.16206278191536658,0.0994293303639328,0.09991717720985442,0.3760624337906439,0.38821118724228537,0.37511036811871185,0.37679739725649325,0.25711764056995334,0.23801322738676756,0.2844527440182158,0.29060047690937735,0.21468754113406532,0.361375048484868,0.38714255080432547,0.31173595807885635,0.45285463990393554,0.42178207426062403,0.4484518827745823,0.4143379871706266,0.35344319923624473,0.46427342486855916,0.2323954356361021,0.1743720144051421,0.15095528313549547,0.16672605676098504,0.39782238982051643,0.32676196306624106,0.28140708823380284,0.34664266192365506,0.4134489536938052,0.411886697465334,0.3900350901588722,0.40686058705686373,0.1298464710457502,0.13948558408842496,0.12584607218792104,0.17432791281715476,0.14532690292140077,0.1301003101600634,0.14183737522119225,0.14514143277457217,1.0001583477874703,1.0000091077969462,0.5153262990590188,0.993902609370288,0.9918752216804184,0.9930505498650658
1492.12159183,0.3807223646608174,0.4002210882675569,0.2947733273329638,0.19033066720798142,0.17820435656872577,0.162442994566458,0.09952075341738567,0.10004705201324281,0.3775596330049389,0.3896334233459675,0.37657711734516075,0.37831847773888816,0.25711677913464026,0.23801449173609623,0.2846286452303708,0.29057512288005194,0.21506490025342517,0.36231421855315815,0.3884954310009812,0.31275996949653606,0.455021354893606,0.4225304385988259,0.4505975333899143,0.41545875883037386,0.35415084689461523,0.46627897619826303,0.23449372635398938,0.17574427779610607,0.15251377324614288,0.16822243621165658,0.399622158496697,0.3283117025654757,0.2827457017122981,0.34832922026215535,0.4144581657125315,0.4128949402573046,0.3910397846220045,0.407829432894323,0.13037631724532733,0.14000643900045565,0.12638171131399087,0.1749458565366556,0.1460144886684149,0.13059011431690765,0.14246758464617343,0.14580342338718932,1.0001227956314058,0.9999967068168479,0.5158620827169108,0.9940073280737173,0.9919721739479048,0.9930789760436766
1497.92442836,0.3835214489395415,0.4037768973397807,0.29690782427954726,0.1917656902859164,0.17875487359908449,0.1628169122266281,0.09961110844427178,0.10015670690889296,0.3790461150059335,0.39111103318834,0.37804784913206646,0.37981342393506723,0.2571403935806091,0.2380856400690783,0.28489429682869905,0.29059373642646924,0.21602105443709296,0.36404886927678964,0.39106442956585113,0.3145355914788524,0.45785877086475857,0.4238987931556713,0.4543858631232237,0.41712410399716215,0.35522094687648437,0.46980486691869516,0.23661405258506094,0.17703269307054684,0.1540625477074944,0.16969628858798624,0.4013781225524043,0.3298216394079314,0.2840553319718868,0.3499179258263594,0.41553778206385295,0.4138124863719426,0.39197191132838344,0.408769063624878,0.1308938809236274,0.1405944845826854,0.12693452431312433,0.17558560935666762,0.1466751717147014,0.1311123697225042,0.14309316362518892,0.14644934351892552,1.000121966338203,1.00001221898853,0.516432423575153,0.9939368279200532,0.9919048161928974,0.9929543521638035
1503.73343845,0.3863186494368313,0.407246132201837,0.29885852231870996,0.1931249846903082,0.17928976382856482,0.1631825130446215,0.09972212726060496,0.10025729467634391,0.3805371056418808,0.39262168394879976,0.37954191452757674,0.3812820439542534,0.2570884767563379,0.23814173069283445,0.28516894569947854,0.29069754000812054,0.21722911106934728,0.366104743110266,0.39408518754311067,0.3166302384456581,0.4610874886260616,0.42568315017586367,0.4588628121734967,0.41904745321889725,0.3564186049982907,0.47406383138562846,0.23862753998749348,0.17824336179013273,0.15560984316100307,0.17112929389524514,0.4030635498048897,0.3311976890459408,0.2853449626191242,0.3514064709549247,0.4166035324196425,0.4146470101405724,0.3927892649995224,0.40964496047144794,0.13144044390741094,0.14118609657559783,0.127483434731872,0.1762577791499026,0.14728961916911595,0.13166401722407609,0.1437169790437374,0.14707454462893899,1.0001447895353968,1.0000108394075302,0.5168856876569256,0.9938876140483683,0.9918494595355445,0.992922080197007
1509.54899004,0.38903597205657664,0.410649001939137,0.30074770946982676,0.19439422212834379,0.17983265323596465,0.1635388121496574,0.09986152815816068,0.10036205422845015,0.3820456379848994,0.3941885535178265,0.38103249168200853,0.3827327008787152,0.2570233251851751,0.2381801393530995,0.285489849396364,0.29080711679281296,0.2182592684657833,0.3678274121942797,0.3968157032668951,0.31846689079636703,0.464175197303001,0.42733549301636736,0.4627063267822424,0.4207332283914458,0.3573878294133677,0.47794812907476353,0.24047549945188637,0.1794015402645838,0.1570688596608987,0.1724966284792667,0.40471186453551744,0.3325060687321827,0.2866366618650531,0.3528621218305667,0.417670997800215,0.41555521408605023,0.393675832346672,0.4104781888655777,0.1320530727510555,0.14176772803186669,0.1280471460993722,0.17692949805892202,0.1479445520610357,0.13224417843738154,0.14436267196585062,0.14772599648096235,1.000153884244347,1.000015680944954,0.5173526235450827,0.9938597782305336,0.9917997346101215,0.9929383985313662
1515.38336105,0.3916537310311706,0.41392192566288466,0.3026427083877275,0.19561996854399724,0.18040465335548372,0.1638987504316862,0.10000450789707563,0.10048748188048882,0.3835494565838819,0.39577846560833857,0.38246841509811574,0.38413208864797244,0.2570530719488403,0.23821730559458507,0.2857970197823804,0.2907866831420067,0.21889729000695266,0.3689360423334286,0.3988428017246847,0.31973584959169876,0.4666846810753619,0.42854967562885754,0.4654566870132214,0.4219695867801342,0.35801333837321786,0.4807779819320884,0.24224845395643274,0.18045863250366972,0.15848107777955123,0.17378661348806368,0.4062490777320379,0.33379983343004865,0.28780660036244377,0.3542452524874361,0.41872998700177694,0.4165109408073008,0.3945855448889336,0.4112483673270558,0.1326585072366803,0.1423254071483246,0.12860107579192498,0.17754199724737355,0.14862499930401465,0.13281080619460248,0.14498145506221435,0.14835995077684447,1.000157603701589,1.000038352419347,0.5178482196632652,0.9939295148376146,0.9918782784677757,0.9929347049896724
1521.23658861,0.3942139944798135,0.4168952603977669,0.30441071778875445,0.19685949389950985,0.18091096974054988,0.16423662036490255,0.10010614204198812,0.10064856653815754,0.3849724130516964,0.39724617553910285,0.38387427944464697,0.3854612148194555,0.25711660098322875,0.23824669229668177,0.2859850634595544,0.2907003370142506,0.21915917603949372,0.3694989798785373,0.40004936454250867,0.32043387626391034,0.46861851714675334,0.429313911345959,0.46729028383302307,0.42286328922965,0.3583760084642879,0.48251693003591983,0.24393216102172574,0.1814411413382578,0.15982884597308458,0.17496845952093215,0.4076001599369949,0.3349496343300996,0.2887962064420209,0.35541216245048873,0.41967985769837846,0.41731860192221165,0.3953087196282147,0.41195174341944824,0.13318588520967678,0.14287788904375473,0.12910989479154206,0.17804094231044504,0.14921477928081245,0.13329560182958958,0.14553765266552,0.14893323225964902,1.0001232134527003,1.0000419377053993,0.5183110419100424,0.9940201363374878,0.9919322950439367,0.9928555855497927
1527.10870977,0.39662870237478254,0.41953117055715866,0.3059493710552885,0.19811174641274826,0.18137280461790842,0.16455611690478333,0.1001972298230904,0.10081699804738932,0.3862049968598056,0.39850056068346856,0.3851460742949657,0.38668981482541137,0.2570823901572559,0.23822245478077644,0.28606113834863145,0.29062196610945845,0.21914338865650565,0.3697045748227526,0.40067258962623653,0.32070716503566415,0.47019636327260483,0.4297420671513006,0.46846179881532213,0.42345500267306013,0.3585631879554307,0.4836279804397032,0.2454826355180578,0.18241306113470082,0.1610486739670804,0.17603232419439963,0.40875788272598196,0.3359564054462236,0.2896004417030352,0.3564357343810875,0.4205427490357846,0.41802693987694584,0.39588073561545606,0.41263084319174037,0.13365551600273384,0.14340390375548095,0.12959054213868162,0.17839864656165516,0.14971952657742243,0.1336846846151367,0.146054246457456,0.14944584045313455,1.0000673797336963,1.0000582792604116,0.5187542140853009,0.993932856967235,0.9917654584853335,0.9926727454777297
1532.99976154,0.3989852026735321,0.42205469606428164,0.30742874208813215,0.19934544862517706,0.1817892390887532,0.16491457888500094,0.100309572504144,0.10095780783844366,0.387285086692745,0.3996731724196585,0.3863457512758838,0.3877739670111069,0.2570001871390796,0.23818205450643587,0.2861118793165468,0.29059538822989317,0.21930601065886887,0.37003187780116953,0.40144385650020065,0.32109418598419953,0.4718079157936364,0.43008081457784914,0.4697019980533171,0.42402125006255703,0.3588301149998278,0.4847845964480816,0.24691345412678187,0.18336226280396137,0.16215651918404464,0.177028779047199,0.40987429668153214,0.3369497094753773,0.29032295206138203,0.357470720299172,0.42134005823877174,0.41877097204707214,0.3964120070351729,0.4133460508334154,0.13411016348861862,0.14389518823687145,0.13008296480347212,0.17871594637487062,0.15020313979276217,0.13406716203156527,0.1465694671170424,0.14993228206959403,1.0000401506399372,1.0000990579459608,0.5191897485617981,0.9938283176204237,0.9916066984265225,0.9926531864514406
1538.90978084,0.40133975464587934,0.4245483425198846,0.30897713898729046,0.2005328506782212,0.18219474938469646,0.16530216181432,0.10041630953949959,0.10111251968304873,0.3883352110418677,0.40087839248830237,0.3875013520745549,0.3888732133222971,0.25693605612011167,0.23819066563263522,0.2861964346698199,0.2906165750289159,0.2201835906979075,0.37115933760363545,0.40332860769944956,0.3222886384940859,0.4738563815565069,0.430697066650033,0.47193351204249673,0.4250190853711588,0.3593524376475733,0.48678769753835466,0.24834516930936285,0.1843001368651653,0.16319477612415684,0.17798893427877077,0.41101481225252756,0.33791263400634575,0.29112136998231014,0.3584993967546449,0.42207740632563384,0.4195129552565319,0.3968522361139513,0.41401289548933606,0.1345863961142459,0.14440903110704462,0.13059862654092283,0.17907687061585884,0.15068423747043436,0.13453675822594677,0.14711193587341914,0.1504135654501185,1.0000740875958205,1.000117362424012,0.5196862490910735,0.9936544754570489,0.9914012034094561,0.9926525291923817
1544.8387776,0.4036205120380864,0.4269968483312649,0.3105713987610574,0.20173976655448259,0.18263105822833398,0.1657010944849792,0.10046332246192664,0.10124200161365636,0.38939075748205265,0.40213949727715304,0.3887403039892127,0.3900557317016299,0.2569168610768637,0.2382720512260329,0.2863281794470326,0.29072679681718155,0.22217417334110934,0.373340130365961,0.40662206091185,0.3246775106155215,0.4765876018927149,0.43187593383262357,0.47559868704042657,0.42659855232922456,0.3602286735220247,0.4900976960516126,0.2497847363561603,0.1852697991932516,0.1642097931935448,0.17898418769692814,0.41213830922697736,0.33883359802924296,0.2919230323070928,0.3595620822401247,0.4228520126015073,0.4201832862921943,0.3973066872907701,0.4146595707131026,0.135125187628605,0.14492490209212447,0.13111204807874896,0.17945836097618265,0.15116995423081273,0.1350693799616371,0.14765387234325025,0.15089167661842545,1.0000791016389026,1.000066936424685,0.5202370400170226,0.9934898144881119,0.9912208122603179,0.9926165395975113
