Sample ID,10_Otago_00001
Species,10_Otago
Subgroup,10_Otago
Group,10_Otago
Library,EXM_MRS
Sample Description,Sample 10
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1118.0,0.281036
1119.0,0.28122800000000003
1120.0,0.281402
1121.0,0.28156400000000004
1122.0,0.281713
1123.0,0.281847
1124.0,0.281953
1125.0,0.282036
1126.0,0.282124
1127.0,0.282244
1128.0,0.28240200000000004
1129.0,0.282582
1130.0,0.28277599999999997
1131.0,0.282974
1132.0,0.283183
1133.0,0.283401
1134.0,0.283623
1135.0,0.283843
1136.0,0.284068
1137.0,0.284294
1138.0,0.284514
1139.0,0.284723
1140.0,0.284927
1141.0,0.285122
1142.0,0.285304
1143.0,0.28546099999999996
1144.0,0.28558700000000004
1145.0,0.285703
1146.0,0.285831
1147.0,0.285991
1148.0,0.286171
1149.0,0.286366
1150.0,0.286572
1151.0,0.286792
1152.0,0.287033
1153.0,0.287277
1154.0,0.287504
1155.0,0.28769500000000003
1156.0,0.287857
1157.0,0.288017
1158.0,0.2882
1159.0,0.288415
1160.0,0.288648
1161.0,0.2889
1162.0,0.28917000000000004
1163.0,0.289471
1164.0,0.289796
1165.0,0.29012499999999997
1166.0,0.290437
1167.0,0.290732
1168.0,0.29102
1169.0,0.291302
1170.0,0.291583
1171.0,0.291864
1172.0,0.292141
1173.0,0.292412
1174.0,0.29267299999999996
1175.0,0.292928
1176.0,0.29317499999999996
1177.0,0.293408
1178.0,0.29361899999999996
1179.0,0.293798
1180.0,0.293967
1181.0,0.294157
1182.0,0.294383
1183.0,0.294628
1184.0,0.294895
1185.0,0.295187
1186.0,0.29551700000000003
1187.0,0.295886
1188.0,0.296265
1189.0,0.296622
1190.0,0.296939
1191.0,0.29723299999999997
1192.0,0.297522
1193.0,0.297819
1194.0,0.298127
1195.0,0.298439
1196.0,0.298757
1197.0,0.299083
1198.0,0.299415
1199.0,0.299755
1200.0,0.30010000000000003
1201.0,0.30045
1202.0,0.300813
1203.0,0.301182
1204.0,0.301545
1205.0,0.301892
1206.0,0.302232
1207.0,0.302561
1208.0,0.302875
1209.0,0.303166
1210.0,0.303429
1211.0,0.303682
1212.0,0.303945
1213.0,0.304228
1214.0,0.304515
1215.0,0.304819
1216.0,0.305157
1217.0,0.30554400000000004
1218.0,0.305972
1219.0,0.306412
1220.0,0.306838
1221.0,0.307245
1222.0,0.30764600000000003
1223.0,0.308038
1224.0,0.308417
1225.0,0.308785
1226.0,0.309141
1227.0,0.309484
1228.0,0.30981000000000003
1229.0,0.31011299999999997
1230.0,0.310402
1231.0,0.31068999999999997
1232.0,0.310989
1233.0,0.311284
1234.0,0.311585
1235.0,0.311906
1236.0,0.312265
1237.0,0.312662
1238.0,0.313073
1239.0,0.31347400000000003
1240.0,0.313851
1241.0,0.314218
1242.0,0.314573
1243.0,0.314911
1244.0,0.315222
1245.0,0.315509
1246.0,0.315795
1247.0,0.31610099999999997
1248.0,0.316434
1249.0,0.31678
1250.0,0.317134
1251.0,0.31749099999999997
1252.0,0.317853
1253.0,0.318221
1254.0,0.318594
1255.0,0.318971
1256.0,0.319357
1257.0,0.319747
1258.0,0.320134
1259.0,0.320512
1260.0,0.32088900000000004
1261.0,0.321259
1262.0,0.321618
1263.0,0.32195700000000005
1264.0,0.322275
1265.0,0.322588
1266.0,0.322913
1267.0,0.32325899999999996
1268.0,0.323616
1269.0,0.323979
1270.0,0.324341
1271.0,0.324699
1272.0,0.325059
1273.0,0.32541899999999996
1274.0,0.325779
1275.0,0.326137
1276.0,0.32649500000000004
1277.0,0.32685899999999996
1278.0,0.327233
1279.0,0.32762300000000005
1280.0,0.328018
1281.0,0.32840800000000003
1282.0,0.32878500000000005
1283.0,0.329156
1284.0,0.32952
1285.0,0.329877
1286.0,0.330227
1287.0,0.330569
1288.0,0.33090400000000003
1289.0,0.331237
1290.0,0.331565
1291.0,0.331886
1292.0,0.33220999999999995
1293.0,0.332546
1294.0,0.332901
1295.0,0.33326500000000003
1296.0,0.333631
1297.0,0.333991
1298.0,0.33436
1299.0,0.334726
1300.0,0.33506199999999997
1301.0,0.335343
1302.0,0.335563
1303.0,0.33575499999999997
1304.0,0.335957
1305.0,0.336191
1306.0,0.33643500000000004
1307.0,0.33669600000000005
1308.0,0.336986
1309.0,0.337318
1310.0,0.337687
1311.0,0.338074
1312.0,0.338457
1313.0,0.338832
1314.0,0.33920900000000004
1315.0,0.339587
1316.0,0.33996699999999996
1317.0,0.34035200000000004
1318.0,0.340738
1319.0,0.341121
1320.0,0.341496
1321.0,0.34187199999999995
1322.0,0.342241
1323.0,0.342589
1324.0,0.342907
1325.0,0.3432
