,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1703.40698655,0.997512590496058,0.990044492206749,0.9921805451413473,1.0,0.9988023244880501,0.9560042836165541,0.9891192576740084,0.9903236559419437,0.393027118203175,0.9789779256138244,0.9969448868258505,1.0,0.9765783081750167,0.9986777781813592,0.999376761189601,0.9971796359530403,0.99895411885958,0.9982737046492465,1.0,0.9979470548714587,0.9993622125779136,0.993442063341309,1.0,0.9698975964933525,0.9913775823393645,0.982402229155915,1.0,0.6784523076712446,0.9885395130051239
1711.87790799,0.9978056972062096,0.9922581331343285,0.9945821973640654,0.9950058422037797,1.0,0.9610605778428497,0.984174239909425,0.9883608778706694,0.38628645281989277,0.9842994269958859,0.9961502483677996,0.9971635230972248,0.9813602284057085,1.0,1.0,0.9964047075695607,0.9967375538976211,0.9983618258841405,0.9965482794097384,1.0,0.9993660294507924,0.9952550830677884,0.996361367384843,0.959999327600506,0.9868698379792585,0.9646929234539225,0.9989911554540293,0.6820659702824711,0.9901632005423857
1720.37798277,0.9988598091510609,0.9879607610776037,0.996039335769668,0.996301792257976,0.99908641440482,0.9619052982274238,0.9777266777992365,0.9921272607491547,0.3797175471427764,0.990782887026418,0.9999755368119704,0.9960114059956068,0.9842904522546749,1.0,0.999031158362951,1.0,0.9965639877390675,0.9961334630444028,0.9996695285107743,0.9950732892768128,0.9963851494532648,0.9939815218605644,0.997318150966678,0.9428343286797618,0.9772106358390802,0.9498168625005833,0.9982834639956426,0.6896061830699779,0.9910517730674956
1728.90722205,0.9965172669242978,0.9930255690429101,0.9936026424587882,0.9953793284869472,1.0,0.9663597706801197,0.9586363158278929,0.9896407626007564,0.3721335296653001,0.990045348477963,1.0,0.9965181913535623,0.9845741333935708,0.9988870318493891,0.9932918387144903,0.9990255053605701,0.9973401591483646,1.0,1.0,0.996672970000872,0.9972099313602293,0.9904805853979363,0.9956488877146623,0.9226523079039542,0.9612044654793878,0.9345015486104183,1.0,0.6953488396234558,0.9947899205570638
1737.46563653,0.999836526197424,0.9950474328661653,1.0,0.9960239591138582,0.994449985302544,0.9698837825359464,0.9455344682774894,0.9858954796720065,0.3658422693444091,0.9916237330715677,0.9987237962637058,0.9975420898562816,0.9785053631024534,0.9972559977229689,1.0,0.9980004433684686,0.9960344477033325,0.9983231420092973,0.9988107039680276,0.9959949619338043,1.0,0.9908768275846469,1.0,0.8956611157313297,0.9516392307836233,0.9163387587278918,0.9956958440571618,0.7066241507787543,0.9901429148696351
1746.04891596,0.9985315392052455,0.9913125201334297,0.9974005161334045,0.9955505572536212,0.9953690465214101,0.9758964270809083,0.9235753462616813,0.9868759772638713,0.35920293278844967,0.995177455510402,0.9969839711333752,0.9929990820627191,0.9812637491103401,0.9999976450260394,0.9987781251531285,0.9991719273707179,1.0,0.996821912222314,1.0,0.9945723169725879,0.9990714500493169,0.9864973285290083,0.9967367571853462,0.8702623729657293,0.9419475268765574,0.9014896580930878,0.996008980690115,0.7158621796461435,0.990483105735855
1754.65358123,0.9973137262132585,0.996706531738971,0.9965155362932415,0.9989864175035271,0.9951500539868843,0.9802767526716254,0.9004635105000758,0.9769072917457895,0.3538934573759556,0.9966819493723965,0.9990288988014863,0.9952975981964393,0.9784846645566895,0.9986314606952317,0.9971303915022393,0.9960043592387242,0.994463274916798,0.9993008349643862,0.9976602067629731,0.9937446133566517,0.994076099633057,0.9822128690204661,1.0,0.8500338537155763,0.9341073102955425,0.8984999346665572,0.9986250205293511,0.7242091320199454,0.9928231566164399
1763.27958128,0.9966605160323029,1.0,0.9967918734819352,0.9970415147274329,0.9947325509261659,0.9809163638329398,0.8750392150482152,0.9766628419320593,0.34946517695692,1.0,0.9966183199372264,0.9936995371157851,0.9799074029947031,0.9935050020839115,0.9986551912912706,0.998757159539753,0.9951333062916145,0.9974366619429027,0.9973495709197036,0.9967281154955898,0.9974465297957161,0.9752806689637749,1.0,0.8423164080433541,0.9272101749555891,0.9074532458736455,1.0,0.7404827400079265,0.9925394297833771
1771.92686491,1.0,0.9973649438895263,0.9931157377825813,0.998753268069013,0.9909345822874639,0.9825914919297449,0.8510673285876628,0.9731528322388768,0.3449565990253946,0.9986145496016768,1.0,0.9953330119424838,0.9783752932103349,0.9944742991923342,1.0,0.9974947623932308,0.9961242282620892,0.9974966455984554,0.9963879275667084,0.9939279739126646,1.0,0.9716191393657555,0.9978050910326915,0.8519525481104628,0.9250481224921329,0.9186508891947944,0.9959787542465026,0.7479145980052615,0.9971420982549245
1780.59538078,0.9946053217820341,0.9998409723357145,0.9931394219259496,0.9980658918828749,0.9896250422223155,0.9836155025975286,0.8333846022052233,0.9687856613450462,0.3399159174343536,0.9968779857337399,0.9963978755887218,0.9949078668800818,0.9790237430862098,1.0,0.9942504447384053,0.9933943517730173,0.9979742918052908,0.9988634698865151,0.9959879009417745,0.9958854457866642,0.9970549565046651,0.9690576639691051,1.0,0.8817489265633598,0.9304853185019366,0.9267973848418815,0.9965736441379436,0.7618007083535618,0.9929351250068968
1789.28507741,0.9903425689374618,1.0,1.0,0.9978309310259335,0.989426484667084,0.986138269224804,0.8305755767187758,0.9659086251528061,0.33601791226797406,0.9984479874197635,0.9954087295012664,0.9966101177792352,0.9772147166512385,0.9979540206433464,0.9992374839944924,0.9978045679895339,0.9951578614049758,0.99859391483203,0.9965509546188123,0.9931798804747056,0.9925347179822941,0.9645715526997153,0.9987968027045744,0.9133939403619328,0.9395741879044682,0.9371977086895792,0.9924591691444085,0.7717983378207884,0.9931838140499871
1797.9959032,0.9952305000938281,0.9971463402214816,0.9939085766367265,0.9997818740330655,0.9899512494821047,0.9887295221523218,0.8252474515771027,0.9628762439942503,0.3313951734534131,0.9998582984932217,0.9961683018480537,0.993373595973565,0.976128169694487,0.9944974643979224,0.9974287812709581,0.9988820976972118,0.99886144261804,0.9985675541434711,0.9933261169323246,0.9907989335907018,0.9943563748487859,0.9589419835139245,0.9979899793419409,0.9467825064266313,0.9473408687417414,0.9546434618806569,0.9966610521994782,0.7797263588035822,0.9949789263868448
1806.7210252,0.9946388134158263,0.9988566223905848,0.9963004537711864,0.9961988460470822,0.9881744754162787,0.9827047372328741,0.829773579275969,0.9581113965930186,0.32894683820579806,0.9996340250206692,0.9981409481960649,0.9931300443804871,0.9797337624030761,0.9995465949358152,0.9975780785200952,1.0,0.9980834959647314,1.0,0.9991935388893822,0.9956967664893546,0.987362745335535,0.9590602490464062,1.0,0.9776644108113626,0.9610143058238599,0.9649145361835423,0.990266536349212,0.7899137868361353,0.994787237628857
1815.45600983,0.9937911386560547,0.9947910700175183,0.9906545427790391,0.9959628912492556,0.9868525321600793,0.9731740490535593,0.8460143147468823,0.954172910614043,0.3262729839553061,0.9949705144664154,0.9940288583694459,0.9919271047511102,0.9759329886692647,1.0,0.9942733812967044,0.9989207418035082,0.9985774699176408,0.9952456697119934,0.9970042049789059,0.9961835942155249,0.9879089923127801,0.9489802974727034,0.999733619618643,0.9882593514285537,0.9630194241613701,0.9714480696670201,0.9839110271359204,0.7994334888617883,1.0
1824.20079533,0.992588161462292,0.9969734532897904,0.9891898268945559,0.9935221822548058,0.9864255134362145,0.9650189808454481,0.855372898317601,0.9471366536887023,0.3238250276528998,0.9982872773089555,0.9978934001585311,0.9943680979738068,0.9757619699324407,0.9957318622322361,0.996912081508559,1.0,0.9981152054460793,0.9964377175898627,0.9941824651024934,0.9911528475554833,0.9853626974513783,0.951750340041141,0.9980073545000242,0.9947117940936593,0.9719896802642859,0.9838881423407362,0.9730188503352638,0.8039315366141682,0.9969821652728059
1832.95532041,0.9929728540700683,0.9978538902644449,0.9918789096339075,0.9947285678834181,0.9849542004106917,0.9575783335513779,0.868430737153031,0.9394624536876748,0.3198232493796647,1.0,0.9950073081442354,0.9910345706067509,0.9758119828767128,0.9974058147257943,0.9976401093291005,0.9941427251211742,0.9929310963588153,0.9917418843728301,1.0,0.9891244521355004,0.9857838633230727,0.946632087725373,0.9980423865813686,1.0,0.9733843003237235,0.9862990680304548,0.9506887473156294,0.8100253439947869,0.9931462517206828
1841.71952428,0.9931774907439479,0.9974251852506391,0.9874231063643425,0.9949846307399735,0.9753147967016194,0.9610467946549358,0.8656606019124987,0.9381661449180184,0.3198160425337393,0.9966421124500484,0.9955293788193741,0.9896835094768733,0.9728065510133176,0.9851192479042842,0.9993873796674976,0.9968166801295899,0.9969506113160901,0.9907358175998033,0.9950887648447737,0.9869814643837154,0.9863451091322949,0.9341969841933637,1.0,0.9976561012818769,0.9672709573110099,0.9855146845004521,0.9296599412232954,0.8113976311230187,0.9865102603403743
1850.49334662,0.9904246587001961,0.9939853131804481,0.9840387146367732,0.9970089897730134,0.9653769710426394,0.9752727958548288,0.8550016077490912,0.9336424551677206,0.3196610515019304,0.9978601701889804,0.9946341275748853,0.9861881196044883,0.9743966847067643,0.9949937678075723,1.0,0.9963408150103803,0.9983020408535628,0.9867849259734655,0.9983711062314164,0.9768514541570498,0.9810804718486543,0.920304799788613,0.9962340904613299,1.0,0.9579194557993631,0.9764947196709062,0.9166538440623896,0.8082707281285549,0.9856884871095136
1859.27672761,0.9965385441227774,0.9953112912692909,0.989845548416356,0.9909757023120451,0.9430045188493162,0.9804119812536257,0.8325829155223315,0.9249843667665797,0.3179731452549619,0.9957461699795838,1.0,0.9819050460332758,0.9734504496124708,0.9940791089420399,0.9998279600403112,0.9944215021860696,0.9928502733886572,0.9742537793135377,0.9929531494889046,0.966974518049162,0.9782130762191668,0.893322311017795,0.995288180496551,0.9970554313306603,0.9420060417988081,0.9581331308959282,0.9269838369287983,0.7916249971974786,0.9717013114983639
1868.06353858,0.9863692801643461,0.9895178893433383,0.987506349946013,0.9951061601244054,0.8989673782769555,0.980026742376921,0.7906572095046007,0.9164806692505997,0.3205656053752534,0.9955541906528901,0.9938347705857249,0.9766417487976741,0.9731586722291499,0.9871763904299863,0.9971963820139683,0.9918866871891684,0.9969492227553909,0.9593324923391148,0.9951590194080608,0.9453264864600749,0.9605497047910123,0.8515517562993119,0.9932097800862159,0.9928269197091588,0.9149352344355937,0.9336590733322343,0.9465225706359935,0.7741039220564438,0.955870977991284
1876.84916726,0.9852990191907554,0.9862072353103202,0.9858622923833459,0.9865217855647311,0.8380356497333682,0.9808565276990497,0.7331763059596591,0.9163125104053236,0.3206343200692488,0.9985071244536291,0.9962553494267068,0.9665312759916507,0.9740962729343912,0.988623371878156,0.9903115738849015,0.9829699109045409,0.9924147463593326,0.940383521594936,0.9918659832052422,0.9103530265770755,0.9466018279570817,0.799077971751203,0.9834833982662651,0.9844971192504435,0.8753544431954833,0.8926303441446334,0.9689797686939663,0.737385789016866,0.9415183583690849
1885.63362519,0.9817043690720454,0.9757789978810621,0.9804500527663621,0.9853070260932374,0.7546054750617136,0.9866428945596543,0.6608552177356289,0.9098508996629525,0.3225143797580738,1.0,1.0,0.9559599320351341,0.9685219418769483,0.9860899742215785,0.9832104754961596,0.9759572593412752,0.99611408559907,0.9042003336867475,0.9744412264751335,0.8525357038494478,0.9157909520058861,0.71521687972975,0.966935342499516,0.9716110340832103,0.822993101148784,0.8464324290614988,0.9843166352168115,0.6975277078085964,0.909917890483637
1894.41692373,0.9893685190032365,0.9668597005827032,0.9810867753355274,0.9826368555168722,0.672614087392024,0.9977936020092987,0.5733255790254874,0.9022863683690082,0.3243371517769546,0.9965373036067168,0.9941556264210094,0.9572550727981737,0.9742998253216448,0.9869011437916804,0.9703940174212582,0.957290139246541,0.993134421036829,0.8636539943176653,0.967718517948324,0.7840117020119415,0.8731071829795417,0.6348242686310859,0.9515652048041798,0.9583535655841091,0.761407116249026,0.7956079779667722,0.9927034733833966,0.6515431158615644,0.8725385254160981
1903.19907409,0.9838878300820174,0.9456703542648448,0.9707593535914939,0.9804834816336592,0.6218204348316216,0.9953692441085131,0.48876177534162013,0.8976254047394597,0.323083193998814,0.9998047828927006,0.9979691424486561,0.9584061928283545,0.9713227501657383,0.9853819877248815,0.9678332614357555,0.9448658465685085,0.9844447294216089,0.8325036571623436,0.9589899868653902,0.7332588218069273,0.8354539294413602,0.5709851909247992,0.9295773584435442,0.9447568005037851,0.6767326518402876,0.7440912911612649,0.9985425485695325,0.6051324559197259,0.8234661019898588
