,CAGR01 Calcite,F1CC06B Magnesite,HS433 Halite,LAZE03 Prehnite,bkr1jb329c Siliceous-sinter,GDS26 Epidote,GDS1 Analcime,NBPP22 Clinopyroxene,LAPP47B Orthopyroxene,LAPO05 Fayalite,LASC02 Forsterite,GDS27 Hematite,NCLS04 Plagioclase,LACL14 Chlorite,LAKA04 Kaolinite,LAIL02 Illite,GDS106 Margarite,c1cy29 Vermiculite,LALZ01 Serpentine,LAMO02 Montmorillonite,NCJB26 Nontronite,LASA58 Saponite,GDS23 Talc,F1CC08B Alunite,GDS145 Bassanite,LASF41A Gypsum,LASF21A Jarosite,F1CC15 Kieserite,799F366 Mg-sulphate
1440.21938683,0.9957441992115823,0.9615557041490053,0.987593836517507,0.9801297244198423,0.8132715933729792,0.9524450548509907,0.6466050693636923,0.9987665420125765,0.8200297484264463,0.7584612207747415,0.7928997901540032,0.9903842313294832,0.9084119594783614,0.9839949972175527,0.9487235783367527,0.9682079012843252,0.9665395753111544,0.8948484932252491,0.9863423851247949,0.9287323299003429,0.853476969118211,0.7966789671701806,0.9515068406325436,0.7999627081198375,0.7825691219660696,0.7781680285427384,0.9974140896631122,0.7458970591400473,0.8666555923500221
1445.9515979,0.9958033765626388,0.9598368305911645,0.9870900377161135,0.9782891025387713,0.8184322920771427,0.9497633934900817,0.6826160573071094,0.9992994253888292,0.8094001879633478,0.7638124052189247,0.8017455202905321,0.9907717815066956,0.9113022227708378,0.9852915056631577,0.9564540987783315,0.9718075537745685,0.9745200522192179,0.8979763075445755,0.98934882830785,0.9364072428245073,0.8735068811867552,0.8064514572238947,0.9573222126383027,0.8029812644644604,0.7983047782075945,0.7603098791691496,0.993716853196827,0.7335581759841353,0.8672402394273948
1451.69304835,0.9958444854953559,0.958427079852627,0.9870071005639447,0.9747352044537285,0.8227032770063245,0.9468086856591247,0.709571033598197,0.999795302428644,0.79871947881112,0.7689546751446721,0.8104563569021668,0.9904647987387492,0.9142384384059896,0.9875387364069739,0.9616452831770305,0.9748412076255996,0.9799031259250411,0.901218358241439,0.9916428169842145,0.9407211950748982,0.8901026794035636,0.8137889736584633,0.9625119575367667,0.7904517689777837,0.8151510256430938,0.7594811522192162,0.9874095076199593,0.7225967319152439,0.8697719379047932
1457.44370948,0.995925227662439,0.9573459762691987,0.9868843923510371,0.9692755920987581,0.8267015480388171,0.9439574915737887,0.7241174637852047,1.0,0.7879185321686138,0.7744314139465592,0.8191646116309739,0.9911343078262447,0.9169878133021839,0.9899799588123853,0.9662923923553077,0.9774545404116146,0.9832608842264651,0.9043534961612956,0.9932532869246693,0.9431105075237582,0.900208173826203,0.819065507160224,0.966355563586135,0.7734631400869763,0.8299719405771622,0.7706310985299942,0.9771217725700931,0.71299212764421,0.873308802472721
1463.20355265,0.9959363849493102,0.9564981253525952,0.9871001225639114,0.960645775418446,0.8319853160906684,0.9410893715066893,0.729362499714405,1.0,0.7766662581070897,0.7800452472773619,0.8280443252531415,0.9922838191390339,0.9195921072022638,0.9919617714039008,0.9698569098084203,0.9795316329838449,0.9856368994467417,0.9074617233381971,0.9943713940788277,0.9460391797268388,0.9068974617250917,0.8244960399598787,0.9691165427292023,0.7566236974672261,0.839662467010711,0.7818833501341222,0.9628471223913937,0.7044481732664191,0.877196978768298
1468.97254925,0.9962583550852881,0.9559042016427248,0.9878597967925461,0.9466419680261758,0.839652361830701,0.9377755833629304,0.7395733367301607,1.0,0.7654328887465365,0.7853129104479414,0.8371650986919448,0.9929730849385797,0.9222262803487072,0.993823949824198,0.9727732654974918,0.981339464221168,0.9878355889522031,0.9109080857517857,0.9949834355846313,0.9500082822472475,0.9135521297694263,0.8327912968585347,0.97179547206641,0.7304873597509126,0.8438264746597822,0.7897034370331457,0.9468391417928617,0.6970733465812575,0.8812865931072291
1474.75040717,0.9968225417447626,0.9553564009406124,0.9884968099538866,0.9288906213253016,0.8490079002472545,0.9333351420832219,0.76448931910823,0.999995673234394,0.7544558312764419,0.7910241053181082,0.8464114439214705,0.9937775537962482,0.924970029327582,0.9951901800759603,0.9757798172129059,0.9835651611443548,0.990251945926103,0.9147056704662456,0.9955008882785096,0.9555951522406134,0.921064342052486,0.8441550145235496,0.9747541529525644,0.6982183833781705,0.8465804066394382,0.7945564483141904,0.9336531945217388,0.6912940784524295,0.8859248601980672
1480.53455271,0.9968716531017888,0.9549210829632874,0.9893915585426666,0.9213572719699962,0.8588722131836739,0.928026401137693,0.7956200142991959,1.0,0.7430880808136068,0.7967516737149423,0.8554263640550916,0.9949118639318151,0.9279872511208094,0.9963842082366606,0.9784593531599922,0.9853920623617667,0.9921659611005486,0.9188629406208081,0.9967980835703846,0.9610007523022772,0.9286408327087676,0.8568404516952605,0.9779520918803508,0.7062760480984828,0.8542292316344564,0.796672177060402,0.9307895912435399,0.6871068309630447,0.8912939211423813
1486.32495713,0.9967433017855696,0.9546215200142144,0.9907484651164367,0.9332256057521228,0.868761359347048,0.9227626558138877,0.8242242707618672,0.9998799732141159,0.7317545188708034,0.8025453705535378,0.8642983821024138,0.9962759328665645,0.9310680602570156,0.9970950277774128,0.9803960881004042,0.9866009947855865,0.9934161762631947,0.9231187404883927,0.9979001208032561,0.9654844428790664,0.9354669557151046,0.8687611687389163,0.9809213171619997,0.763134766909571,0.8664195046625628,0.7963653602580586,0.9422764255680858,0.6836864841229682,0.8972520186948658
1492.12159183,0.9970493306856875,0.9544302161936357,0.991707414609246,0.9535404746428673,0.8783436037828442,0.9166401604387765,0.8484923962556635,0.9997383726530794,0.7204887818148794,0.8088457036021733,0.8729658080770025,0.9971047806618811,0.9340025669645177,0.9974705141020648,0.9818865639229892,0.9880029072757728,0.9940007529768111,0.9273050152386274,0.9985447222473975,0.9694044110955627,0.9414228560335722,0.8793809710124766,0.9829499704987731,0.8140995873450845,0.8785289070604971,0.7974906466547754,0.9585904444159526,0.6802076633849913,0.9035555708438091
1497.92442836,0.9974356516357433,0.9544582690621913,0.9919403894686637,0.9685330411632018,0.8875151947761483,0.9088690691102079,0.8684209628194207,0.9999066855207756,0.7091022310072367,0.8154619738064721,0.8810621413587686,0.9967446872934393,0.9365109734118567,0.9975808066508175,0.9828593893898626,0.9894103192981677,0.9936517941701024,0.9316211977798697,0.9991094721162199,0.972695611309982,0.9466684214727802,0.8890558984768735,0.9843909373291424,0.8470369076339256,0.8899662198888668,0.8051940171198999,0.9689294332765274,0.6764056677645068,0.9099076532320429
1503.73343845,0.997619532957446,0.9545067179711147,0.9924314285481416,0.9772128238839737,0.8962026114438303,0.9001104295749766,0.8844865064084803,1.0,0.6975681008044632,0.8220832671019105,0.8887689331160464,0.9961110174862364,0.9389969819951437,0.9969485498357865,0.9845439757319882,0.9907664588264081,0.9929303204526057,0.9361254976401265,0.9994456544211469,0.9757109591533719,0.951477657315519,0.8976850061265232,0.9855118916866774,0.873757041285954,0.9009160106770089,0.8177521142518981,0.9738783116050836,0.6720609100698862,0.9160559672059871
1509.54899004,0.9976911849826154,0.9547666380156555,0.9929237524328115,0.9824064976030452,0.9043723141164234,0.8909657372031708,0.8978420953400682,1.0,0.6861054527076055,0.8284863134642335,0.896208653484834,0.9960086466751221,0.9416068987820593,0.99651835478782,0.986668483815343,0.9920410312989668,0.9925932814433294,0.9408602655154139,0.9997333294023729,0.9787572931951103,0.9558069602002879,0.9056380982676923,0.9862631373534333,0.8990871744685568,0.9102913350811945,0.8293077257878089,0.9761173018877991,0.6670051249493051,0.92184015760243
1515.38336105,0.9976202088773963,0.9553384826230071,0.9930844567696216,0.9862404287531182,0.9120929129299195,0.8819048995703701,0.9096741158741999,1.0,0.6747666057990196,0.8352769441317779,0.903721880690484,0.9968038093660266,0.9440981268757891,0.9965457682145258,0.9882797344987503,0.9931298413161419,0.9918405600481472,0.9459390128020696,1.0,0.9808027545556005,0.9596265766111194,0.9129795213213768,0.9868044254355387,0.9197244812259505,0.91748320812709,0.8367853689106436,0.976347996188564,0.6614377109441504,0.9271947630176381
1521.23658861,0.9976843450700112,0.956190835243926,0.9932651777253645,0.9891746154004147,0.9193532171404838,0.8725423293512505,0.9207858824192836,1.0,0.6632714879601602,0.842096751141269,0.9109268545425131,0.9975847024847255,0.9465995298624393,0.9963040554430336,0.9893166337190878,0.9937442123336425,0.9907696308634397,0.9509989297331798,1.0,0.9829380166560987,0.9630939613540597,0.9197767042121334,0.9868140597458027,0.9348924901539215,0.9224647252875569,0.8401073655845133,0.975138168203346,0.6552424340836112,0.9320912720597082
1527.10870977,0.9977054994113393,0.9571704825347456,0.9940623069301018,0.991224322031013,0.9261377455469023,0.8629485093632876,0.9306029799315853,1.0,0.6519826955492811,0.8484452395304126,0.9180019782425417,0.9979801083610588,0.9491699450260288,0.9958692897279965,0.990335429281801,0.9939443504678139,0.9893858191052662,0.9560169271732941,0.9998556768126113,0.9849541913896137,0.9661124376597545,0.9263644355955385,0.9856716266263105,0.945781906334728,0.9256740700608375,0.840973460902567,0.9737900729715502,0.6485552137670685,0.9365516066732575
1532.99976154,0.9977492677394845,0.9582380465376317,0.9952837679968981,0.9927552815272346,0.9325039055420593,0.8533227577193502,0.9389760966036272,0.9998604115200829,0.640653568935599,0.8550622715476102,0.9250476753738832,0.9980749792035554,0.9513587885656151,0.9955805027979089,0.9916049565911929,0.9948580754465531,0.9878156588128576,0.9606481379733859,0.9996411079380917,0.9865234203906659,0.9687720512424739,0.9325928116300978,0.9841542434810914,0.9540590825176979,0.9280469302595672,0.8411610928910686,0.9725167444909489,0.6416636133223907,0.9406213197924513
