Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
942.947278561,0.8847122202058028,0.8999955683423135,0.8999286415703334,0.7352850423818188,0.56590550523804,0.24397511853838474,0.8898061923510399,0.17681258545844167,0.1334463668940353,0.21154301981808593,0.2864795280649742,0.2860947838683001,0.3269346984953589,0.28651994149196286,0.9319364713349911,0.4405613791210438,0.4120786607772616,0.7403382504473144,0.4067758645264413,0.5826362331133346,0.3831158277381198,0.9004657147680186,0.5589927996368792,0.8726458824572523,0.9144346930228786,0.940898801255304,0.415316381744483,0.8523285866625175,0.9427740838536467
946.933892918,0.8847286717364373,0.8999393665022625,0.8992689433289288,0.7353685646230073,0.5655135329918028,0.24273195501976486,0.8875836437156195,0.17337118275695426,0.13674714484141587,0.21057429063611482,0.28161755405732275,0.2911740781970368,0.3262919490959327,0.28758300702971334,0.9315497935361887,0.4408787134408985,0.4123454062368903,0.7394326687050196,0.4075075671041053,0.5830123900428036,0.38368114389398383,0.8969101139021615,0.5555639762419723,0.8722541939683545,0.9128277879638719,0.9400426111688569,0.41685248833072214,0.851192770845484,0.9418151346452629
950.996970209,0.8846766608361499,0.9000397092750282,0.8995032283425785,0.7354720063438982,0.5653730705436815,0.24166423110367247,0.8847907092110623,0.1700200264027143,0.14055198170512492,0.2095354248243992,0.27671589232227983,0.29701939564485225,0.32564246331751223,0.2886382451043876,0.9307219646601776,0.44110008101457554,0.4128270009621395,0.7400894693878741,0.4084973218304709,0.5833822988601715,0.38433697030207453,0.896012733466871,0.5558455986157345,0.8720909230520062,0.9116303102470248,0.9393217526525919,0.41852710620017497,0.8499911605735043,0.9404891365190922
955.140355948,0.8846504951124117,0.900110082410977,0.9005524214791065,0.7356151295132383,0.5650975862319108,0.24075299253887697,0.8807265289770818,0.16686582941011407,0.14492186982563035,0.20854077499301094,0.2716701484844245,0.3038758425452976,0.325061614364089,0.2898803620842778,0.9297153485396928,0.44126613577998997,0.4134216030223447,0.741776513023079,0.4097743506123654,0.5834922668992283,0.38497328331671127,0.8971944956019573,0.5603636567881037,0.871928561120493,0.9108015660181338,0.9384523651794603,0.4203464219358763,0.8488003789422357,0.9384259697538404
959.368226885,0.8847029311975724,0.9000894129755527,0.9013581560645206,0.7357356042552232,0.564642543133247,0.2396380036605154,0.8748488865939299,0.16385213071978214,0.1500071339862956,0.20765507445552683,0.26645986733161164,0.3115369525065506,0.32442775889586295,0.2912989514754078,0.9293960142835197,0.44158449133415845,0.41365056560896596,0.7431758713046429,0.4112235197596591,0.5835231567333469,0.3857453428835763,0.897101455398713,0.5650256916407654,0.8714834868585025,0.9099586241148535,0.9370399537527282,0.42255587505742437,0.8476090973921835,0.9357791553542231
963.685132242,0.8848155108507185,0.9001119456706289,0.9017078505782877,0.7358392565700552,0.5642392800289885,0.23831015546706558,0.8675435284645701,0.1610120657096289,0.1559349172311073,0.20681764934336974,0.261175153961633,0.31962853134944597,0.32375968596058835,0.2926659043163228,0.9293298631350756,0.4421373832236043,0.41374586616841746,0.744259812915379,0.412770207130989,0.5836759443615356,0.3866439065964323,0.8966441900002037,0.5681660822417037,0.8705938421591162,0.9088062961944824,0.9358135775298624,0.42503210166662175,0.8462655261635567,0.9330263358060619
968.096041789,0.8847167828648775,0.9002038266333757,0.9019397864350892,0.7358347955106291,0.5640086089076742,0.2369698454671521,0.860647946226177,0.15831984529018184,0.162743332846444,0.20598836139095916,0.25578334687397486,0.327783360178367,0.322965043244615,0.2938137738497481,0.9301614499459935,0.442849578755874,0.41432834693058723,0.7452009394404052,0.41436765103247225,0.5838072122497833,0.3876772010477674,0.897158526298174,0.5699732965532771,0.8693192465025434,0.90730645141192,0.9344415796080321,0.4278777319566493,0.8449166594718324,0.9303612622715702
972.606402173,0.8847717974487042,0.9002467285148328,0.9019956016490557,0.7358195093492241,0.5639660760846358,0.23563598492299354,0.8580697532187588,0.1558282865262509,0.17043193229542608,0.20490000789997828,0.2504424009508189,0.33615744732816727,0.32204596254818,0.29485059380382866,0.9320841921132542,0.4435273369880999,0.41530247739515935,0.7460922788041542,0.41588751552019837,0.584128432754155,0.38894214943577754,0.8983831814769434,0.5708073711174338,0.8676899398477861,0.9061885881352559,0.9330012341009396,0.43143057290914627,0.8436758487971793,0.9277745078376514
977.222203311,0.8849641446853714,0.9001116758592081,0.9014046821828258,0.7359383642207079,0.5640275923959428,0.23458829942456014,0.860058830742656,0.1535322354443645,0.17918355839800407,0.20371209593899844,0.24531110560901936,0.3449233027356018,0.32108948149499084,0.2959071708961643,0.933954115359115,0.4440766199152706,0.4162882821085022,0.7468938489660807,0.41721252113235546,0.5850853551474341,0.3903249275535267,0.899354127748291,0.5711661101201705,0.8656335587972884,0.9060226097127947,0.9316210963178291,0.435395537011983,0.8426114135929679,0.9255450583143116
981.950057134,0.8849244541691401,0.8999976134282857,0.9007465428487647,0.7361043341708841,0.5641442491429809,0.2338391382148546,0.8642812106736095,0.15140875713674679,0.18904176408603787,0.20261991143511454,0.2401711418488878,0.3540267952280259,0.3202134165160769,0.29693625089316317,0.9351206882798685,0.44455739477958833,0.4171357464207297,0.747589568390438,0.41831121083430545,0.5862506196238885,0.39175947691008145,0.8999100517022539,0.5716697768635485,0.8630943777832898,0.9067216971090928,0.9299739662401474,0.4392169818764968,0.8417955385565092,0.9243445601088833
986.797291589,0.8848515480424609,0.8999214809790766,0.9009900246958195,0.7361287013418056,0.5641970522900674,0.23306936451422436,0.8698776091185205,0.1494510120468902,0.19983667115586978,0.20152576136289962,0.23494729735251846,0.36349635029188165,0.3193304377975811,0.29788468046864386,0.935631554606808,0.4449874319119405,0.41781601107080185,0.7482569458407683,0.41923682236927073,0.5868809742296683,0.39346162655309874,0.9003411570384557,0.5724393849569647,0.8602973244692588,0.9079561746691086,0.9283427450626581,0.4431784322545537,0.8410332807937974,0.9241964421614516
991.720028203,0.8848777910684427,0.899787057525345,0.9015356170770086,0.7359918388994469,0.5640738571747587,0.2324238207178209,0.8759428488088987,0.14770027751352008,0.21157964392981643,0.20040572525678052,0.22990267227144817,0.3733881744740958,0.31820966927367456,0.29870891046887776,0.9357955426854384,0.445331739808539,0.41832299794397193,0.7488216487781229,0.4200619578553537,0.586927396897678,0.3954214117216838,0.9008746822580191,0.5731156328523785,0.8578060921602793,0.9093937169833687,0.9270772168979211,0.4475529555443422,0.8401596692741796,0.92456252667678
996.671068522,0.8848645338480996,0.89982031657949,0.901161672484546,0.7357770442889833,0.5639998869252612,0.23183724853722112,0.8812877823139476,0.1462838595110655,0.224486656529469,0.19920836283249774,0.2251739951098378,0.3835835093117031,0.31695782786712584,0.29936674119561235,0.9364544690950856,0.44566729005819455,0.41847616456864495,0.74920565932572,0.42086889255206295,0.5871926135200307,0.39737584107102053,0.9016122036729863,0.5736339118989816,0.8562549009922663,0.9109459236407154,0.9264277312880077,0.4520507131276518,0.8394247410953393,0.9251201190716459
1001.65061855,0.8845907494815398,0.9001276587658288,0.9004489839413158,0.7355789685026993,0.5640750590755221,0.2310826764328954,0.8858133061785869,0.14523675573086736,0.23863884160655108,0.1980392309026622,0.22084887016119514,0.39388348938846807,0.31582043054573467,0.29993205008350515,0.9369962590272225,0.44606384702472757,0.4183374676849716,0.749419543687598,0.42162796579122985,0.5880797165443599,0.39939236986528737,0.9023502841436413,0.5743465688255808,0.8561692956156168,0.9125665112686648,0.9268850630582353,0.4568093209542378,0.8391834043731201,0.9257389393888714
1006.65888632,0.8839105279105579,0.900715205770637,0.9005671961029524,0.7355190416560331,0.5640525035279496,0.23032027326803692,0.8896872459447108,0.14456036204974593,0.2538649567107897,0.1969123466056384,0.21685911658177598,0.4041229640216427,0.3147689430077678,0.3004225367577172,0.9368080452935598,0.44648295548643746,0.4182665760056746,0.7493621964170172,0.42226654462754953,0.5883600786865175,0.40163858460788854,0.9032345136260724,0.575289570605038,0.8575981585834304,0.9139454100862151,0.9282403735598997,0.46195693188130016,0.8392789134328384,0.9268041229116641
