Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
913.430570243,0.8839597451399475,0.9006562445717419,0.8999804828331694,0.7348084838739963,0.5695076062613385,0.25395137140873436,0.9048336168215746,0.2047787647707647,0.12144861713152544,0.21949090805165172,0.32042326937569904,0.2538445632025657,0.329303535309124,0.278265297378821,0.9329502044021181,0.43916416473105946,0.40881559348250546,0.7437266497562197,0.40243711749663574,0.57939660044141,0.3822816003850587,0.9096025028661663,0.5632348047483912,0.8697742952159117,0.9203545613383108,0.9426672271354803,0.40818727715143954,0.8544460120895949,0.9480347425345987
916.914016797,0.8840030300405397,0.900611171264876,0.9000655171014983,0.7349121213634343,0.5694979397026455,0.25275472799751264,0.9035793526833205,0.2013872807661252,0.12186501287264141,0.21840211110962557,0.3167284622660564,0.25652336943745657,0.3292589788917541,0.278984141052484,0.9328434743243219,0.4391524493356944,0.4090901940981709,0.744219442910213,0.40292327920758214,0.579562349692759,0.3820423584554507,0.909614898570615,0.5637721964005903,0.8704808322474178,0.9196679830768016,0.9423682940171736,0.40829337486639095,0.8544371237004236,0.9476250884051434
920.451653694,0.8841683240334979,0.9002750314483436,0.9003898037193268,0.7349752909601576,0.5694591285219542,0.25133430444453114,0.9023012746534465,0.19785331479794221,0.12265267191677938,0.2172945248535577,0.31299658083587045,0.25939720542692996,0.329155317947502,0.27965937598348867,0.9328472236944165,0.4392214114532178,0.4096293193455134,0.744527475714707,0.4033713945914674,0.5797917055847791,0.3820020900687362,0.9088078832292891,0.5641755172590546,0.8712151729344279,0.9189812631586108,0.9424109143470044,0.40861162004798257,0.8545694372350845,0.947350822159608
924.045637162,0.8846096883996415,0.9001307600402033,0.9009521575414716,0.7350824686147511,0.5691330569559359,0.2498931880149562,0.9008220650579157,0.19435964523909632,0.12363668081697946,0.21619314919443755,0.30925867104346055,0.2628668266680065,0.3288739709722562,0.2804435989010407,0.9333491173079178,0.4393488149372885,0.4101457077580695,0.7446343904370775,0.4037366423133742,0.5802509507513647,0.38196862061258313,0.9080272703244819,0.5646343840021587,0.8716157963552683,0.9185062729234675,0.9418706674343097,0.40930324054273165,0.8544528265782854,0.9468880820105727
927.698269301,0.8847124672618042,0.9000728140025502,0.9015362452820479,0.7353191897884539,0.5685474258050056,0.24852281312815383,0.8988741490078481,0.19070774824883355,0.12485462769633995,0.21517682894591256,0.30515651650810094,0.2671188767366178,0.3285352352826738,0.28169232800475646,0.9331190799185054,0.4394475734610212,0.41059337698996035,0.7444098297219776,0.4037712049112383,0.5810967940580426,0.3820291275443658,0.9072068330245175,0.5650876998600795,0.8720597521170205,0.918633651444487,0.9415170549606224,0.41014839087537003,0.8543418315531978,0.9463307701525067
931.412012249,0.8847389238945353,0.8998854184117749,0.9017264077612804,0.7353485998985636,0.5679030413412569,0.24727378043820616,0.8966435814198473,0.18711364417633228,0.1262773499605757,0.2142453287239804,0.3006945130145267,0.27188753136627086,0.32821665752106977,0.2829918410106051,0.9328141647949245,0.4395966886747918,0.410950472257919,0.7441028558875936,0.4041822318880486,0.5821290339145672,0.38226002141888293,0.9063353538182811,0.5652051873857692,0.8723343500924758,0.9186689649787916,0.9414553902076059,0.41101268689742004,0.8542149052756784,0.9456627011489013
935.189504163,0.8847401805175881,0.8998909627103321,0.9014972935407674,0.735186767572191,0.567456384577381,0.24617263060828037,0.8943587389003298,0.18365845970595862,0.1280879558646907,0.2133524853845192,0.29607750156781104,0.2766986806443596,0.32788915257480594,0.28418033439891377,0.9325396917193339,0.4399799492444218,0.4113251129313523,0.74344452104084,0.4050940689961074,0.5829230722511858,0.3825850741889235,0.9053923773824671,0.5645960103608259,0.8727215628358338,0.9178534073411205,0.9414841926622975,0.4121256466043889,0.8539375409867834,0.9448099372304573
939.033577299,0.8846899026954795,0.9000126840242271,0.9007725790746467,0.7352010050335704,0.5666377923887614,0.2451363803648558,0.8919911087481975,0.18024829980302803,0.1305496161201401,0.2124344589666795,0.29131898949377333,0.28137239488765453,0.32746580523578867,0.28537308209330214,0.9322392263744279,0.4402767862281643,0.41176167718621837,0.7420277095728414,0.40605884066487513,0.5827043577484213,0.3828109872810081,0.9038214136414592,0.5626936149740255,0.8730018392779096,0.9163370724613531,0.9415148021479113,0.41380273202013856,0.8532261469669452,0.9438346983675084
942.947278561,0.8847616239941654,0.8999143189715103,0.8998953802548173,0.7353344048156265,0.5658624586579858,0.24397463934772434,0.8898152831761139,0.1768120324359693,0.13344403464954824,0.2115368599296445,0.28649948901439815,0.28609308676226053,0.32691447885217045,0.2865277618786659,0.9318809207476663,0.44059711745691427,0.4120431286438404,0.7403480266711755,0.40677379175070044,0.5826586861314775,0.3831094028308775,0.9005519081869737,0.5590046920433489,0.8727059757847424,0.9145155455497096,0.9409588384320693,0.4152906032179275,0.8523858273663877,0.9428112593274345
946.933892918,0.8846770170679886,0.8998785976184006,0.8991868336025767,0.7353887618418813,0.5655054808734309,0.24272997662493795,0.8876323470974481,0.17337128678117153,0.13674795277351134,0.21055638633099238,0.28160542126687216,0.2911778744771273,0.3263034788796307,0.2875845129044032,0.9315656788342304,0.44086216369749515,0.4123427020771767,0.7395270242067151,0.407525511733076,0.5829904836180141,0.38372768504606103,0.8968994299858873,0.5555778212949432,0.8722172477619847,0.9128609800552293,0.9400414707397354,0.41682880442943904,0.8512199587061279,0.9418210722293064
950.996970209,0.884643181741162,0.900067916898203,0.8995419197654323,0.7354558313172617,0.5653986935131429,0.2416676886018723,0.8847438500537832,0.17001627495919502,0.14055702279487678,0.2095385967564666,0.276710045397316,0.29700076875127035,0.3256419348355599,0.2886324352138419,0.9307241590022437,0.44108173797646505,0.4128192302392707,0.7401388402784187,0.4084868494568085,0.5833502857443086,0.38432475707758523,0.8960447049464206,0.5558273055944001,0.8720276278485428,0.9116337704347701,0.9392853530448131,0.4185317197570484,0.8500147830549548,0.9405107570428409
955.140355948,0.8846328909579666,0.9001517603930833,0.9005887938282552,0.7355922808778458,0.5650681251270531,0.24074520964911847,0.8806875843426213,0.16685832922192692,0.14491607206342955,0.2085562270847527,0.2716514556871005,0.3038696564430572,0.32506113289935795,0.28987066811226025,0.9297457323443217,0.4412656185899702,0.4134382554476874,0.7418289157277761,0.4097969934804607,0.5834825537748919,0.38499169336065886,0.89716530753983,0.5603883655297489,0.8719750149154929,0.9107798147675124,0.9384595848880593,0.42034430715595134,0.8488181393204096,0.9384421595405821
959.368226885,0.8847072395000796,0.9000832849806009,0.9013174177334504,0.735787893354981,0.5646289979409378,0.2396288944079922,0.874905654608779,0.16385493930517891,0.1500012093595076,0.20765096194859983,0.26646471655197584,0.31153832331437264,0.32444264324817856,0.29129625900249156,0.929371509469548,0.44154974804954655,0.4136183346864546,0.7430959287525774,0.41121855606224056,0.5835356029322196,0.3857408875082296,0.8971218106581348,0.5650452178850272,0.8713913984089109,0.9099292005393288,0.9370611441257164,0.42255698544902215,0.8476174729253272,0.9358513170039358
963.685132242,0.8848135874510166,0.9001307256161015,0.9017363882981824,0.7358549599471589,0.5642338529061885,0.23831697369188246,0.8674772157913571,0.1610102129909012,0.15593429317199964,0.2068201811814976,0.2611679126146065,0.31963016939602307,0.3237764058809317,0.2926424994748941,0.9292602290291995,0.4421366964678685,0.4137399502126626,0.7443002692000799,0.4127680410425876,0.5836433609789914,0.38666166672309976,0.8966403239437047,0.568195498577652,0.8705387963208002,0.9088864415067494,0.9358320841694124,0.42508288383444254,0.8463039357652713,0.9330164688955928
968.096041789,0.8847036996734395,0.9002142134803995,0.9019129860543378,0.7358737781224983,0.5639478777850715,0.23697785754480163,0.8605898563872851,0.15832136253298315,0.16274816204774478,0.20598270461962986,0.255788534324142,0.3277574988105457,0.3229626705306223,0.2938381643152143,0.9301746458491623,0.4428481011817575,0.4143490365317726,0.7451756469329233,0.4143644668699081,0.5838187032812137,0.3876801017532734,0.8972476203660839,0.5699519558765825,0.8693625980261617,0.9073726013033242,0.9345161969628455,0.4279146017644035,0.8448968831799237,0.9303762759861106
972.606402173,0.8847689868660984,0.9002620244947969,0.9019934808303735,0.7357882233131863,0.5639497941196006,0.23563286760302166,0.858105927574411,0.15582889345258302,0.17043677321232992,0.20489503136629164,0.25044609973038473,0.33616312428546713,0.3220502069538043,0.2948591689503416,0.932090908272167,0.44354390637266844,0.41528684238942903,0.7461192639131013,0.4159024809589548,0.5841431941338748,0.38894705763117016,0.898315027464154,0.5708022968577329,0.8676874641339168,0.9061856144592433,0.9329662906311346,0.4314448783402832,0.8436795867149186,0.9277336620513535
977.222203311,0.8849592497718636,0.900171342313834,0.9014219647846683,0.735948117708476,0.5639883813860608,0.23458783415786819,0.8600693908549567,0.1535360441211713,0.17918910286733397,0.20370852483939864,0.24533693328024686,0.3449282667240714,0.3211021467373407,0.2959056084295154,0.9339658568165287,0.444109001106664,0.4162719232335295,0.7468367073559183,0.4172308687662003,0.5851100951046326,0.3903325250605004,0.8993349677361191,0.5711847623415467,0.8656217818371666,0.9059488234869361,0.931667926886883,0.4353783486402368,0.8426440733237508,0.925423258978849
981.950057134,0.8848916296577609,0.899927701316851,0.9007259296815839,0.7360774060327325,0.5641336592190265,0.2338440116435975,0.8642858988261259,0.15140938582719893,0.18905257608868975,0.2026046292391319,0.24015975896010047,0.35401991449451076,0.3202161091493135,0.2969267641660434,0.9351691627268842,0.4445704529499673,0.41710463453740165,0.747616613954313,0.41829817115107476,0.5862398173316328,0.3918004642209096,0.8998864421986061,0.5716518365953874,0.8631100743827462,0.906589333881829,0.9299123776353968,0.4392227574308367,0.8418199675376102,0.9243757028301762
986.797291589,0.8848144666968697,0.8999528604401122,0.9010094472239345,0.7361229336345548,0.5642313519224685,0.23307542363982023,0.869873499197553,0.1494495623840469,0.19983295269752985,0.2015375890371454,0.23494868608517058,0.3634964285185275,0.3193263249621803,0.29788360041218637,0.9355862372137135,0.4450044412365693,0.417872450128073,0.748228531261007,0.419206376030613,0.5868836102857294,0.3934744527461084,0.9002840248218656,0.5724327127194638,0.8602905496533916,0.907905468281171,0.9284434360549236,0.44313864147861604,0.8409814754498107,0.924237623030496
991.720028203,0.8848903123791764,0.8997693396534848,0.9014572797636992,0.7359682078542926,0.564079664192073,0.2324101151319947,0.8759442605915904,0.14769029485927215,0.21159186023995794,0.20040567334932455,0.2299010437107927,0.37335962198940714,0.31818505144261505,0.2987211944100108,0.9356806544811783,0.4453329398846351,0.4183068801490889,0.7487778246353041,0.4200407143777375,0.5869645639811819,0.39542872789863986,0.9008687120780897,0.5731725250881504,0.8577486683776978,0.9093875940262848,0.9270880769415614,0.44753337296071644,0.8401379979329124,0.9245271566785079
996.671068522,0.8848238978089443,0.8998099148915923,0.901167129389528,0.7357717308357575,0.5640489181188693,0.23182864936078426,0.8812835979180053,0.14628319049304425,0.2244905277005704,0.1992183395538641,0.2251898446538109,0.3835542502810232,0.3169100009939901,0.2993823491264929,0.9364773990517499,0.445659025811261,0.4184481148699359,0.7492366867362857,0.4208724760786041,0.5871714271105095,0.39738505215236447,0.9016518763284527,0.5736916230487011,0.8563112229391248,0.9110116943606233,0.9263738090728956,0.45206818348306693,0.8394356797302406,0.9252283559617493
1001.65061855,0.8845380129159461,0.9001136444213164,0.9004473627503208,0.7355716061229836,0.5640438169079893,0.2310680287807196,0.8858751542446281,0.14524807327601605,0.2386407825630991,0.19804231516533632,0.2208458937060677,0.3938862221205959,0.315831179680931,0.29991808815017074,0.9370158507697469,0.4460179847818267,0.41832014541678797,0.7494947102322187,0.42162760426626694,0.588078558039161,0.3993860776320071,0.9023164573262514,0.5743832529074845,0.8562277319403431,0.9125358785300302,0.9268716308403983,0.4567872143211913,0.8391657669364642,0.9256695864437671
1006.65888632,0.8838963380908987,0.9006978359046229,0.9004724606458532,0.7354673138167391,0.5640693543278409,0.23031427166195703,0.8896690368059753,0.1445646253667427,0.25388846553971345,0.19690418562519976,0.21684477796148252,0.40410909271569095,0.31477109096946376,0.3004075022692562,0.936785071769813,0.44646261533445386,0.4182499278157313,0.7493730522603953,0.4222696038123833,0.5884207505316362,0.4016614898186262,0.9032339272439946,0.5753173272860351,0.8576072106769201,0.9139691271139128,0.9282050912451222,0.4619423498135705,0.839355478114523,0.9268063029657175
1011.69608192,0.8834050619949976,0.9011620836660655,0.9009289487845379,0.7355052919518065,0.5638198186159288,0.22987321480584827,0.8924442092890286,0.14418749769701247,0.2700692194104352,0.19590309774914696,0.21325893252358036,0.41410421564654964,0.3136804836065857,0.300897071026468,0.9368026684741951,0.4469340895690665,0.41820850541040544,0.7492156333185331,0.4228631045623975,0.588211203744662,0.403967876800712,0.904252390928289,0.576017898521554,0.8603582324871429,0.9150221480472353,0.9299179881410939,0.46741302214103186,0.8391319814958377,0.9283820643418853
1016.76241755,0.8835445361589984,0.9015618168458394,0.9012901807623429,0.7356249003475694,0.5636233794462937,0.2299562700174365,0.8946804941900448,0.14409131327877409,0.2871129325692307,0.19502563211896506,0.21007597649726212,0.42385128282470713,0.3126430619173549,0.30127427294430525,0.9372656359033843,0.44723574523147797,0.4182043848104149,0.7493629031872524,0.423588675912862,0.5882960681483385,0.40628554371444114,0.9052798717556801,0.5765056099485588,0.8643004500331437,0.915802991597057,0.9314747145216491,0.4729774942924189,0.8389032981804272,0.9302419292788939
1021.85810749,0.8836990957187383,0.9017257404854572,0.9011525438226501,0.7358319695652339,0.5636032615562694,0.23017597921783692,0.8961997981395512,0.14430768453788234,0.304975224483696,0.1942065274531908,0.20707643232965794,0.4333527323287691,0.31161361386863556,0.3015586238672607,0.9379156540236694,0.44740946676956495,0.4184454122471737,0.749439440657613,0.42441133154203586,0.5885565557082468,0.4087885632320402,0.9058069979111822,0.5770682581994203,0.8687300442239625,0.9165397604062337,0.932772543447135,0.4789229741334535,0.8389504988334231,0.9320406453131083
1026.97288016,0.88407044665111,0.9017223036798316,0.9003803799597401,0.7361849864181426,0.563311641110683,0.23035604203442947,0.89725056410177,0.14479030773167514,0.32321492664841367,0.19341607762880852,0.20442008431650238,0.44248125704838726,0.31063852115068114,0.3017460682198356,0.938481762852039,0.4474750572766684,0.41878954271331265,0.7497763767307857,0.4250850000849979,0.5892038291367391,0.41146070581623945,0.9061648369200143,0.5779625286737942,0.8732568487069727,0.9171326401938418,0.93423498324381,0.48513333302158046,0.8392985472363106,0.9338884377832642
1032.10649695,0.884138643552652,0.9018711253260319,0.8999500166411316,0.7364689909622436,0.5629868506916583,0.2307061208342809,0.8973075591233041,0.1456028875861155,0.3419666393858846,0.1925449856811222,0.2023614730585921,0.4514078874085234,0.3096971111558594,0.3018948183465353,0.9392038952081706,0.4477354342080676,0.41881582732914163,0.7502283334744186,0.42541916911941396,0.5899040446490603,0.41417622877522176,0.9070454375189462,0.5790927535286864,0.8766033765605332,0.9176884659080148,0.9360315197178175,0.4917087283076257,0.8398213150819215,0.9357689527562346
1037.25897753,0.8840393573188038,0.9019505271337348,0.9001365452812684,0.7366201217264544,0.5629404298219701,0.2312184261312257,0.8972552803237673,0.14675094849943776,0.3611655115699664,0.19167622594067846,0.20083785576542032,0.45982460421806265,0.3086910226730026,0.3020089943002454,0.9397187580538617,0.4480748483008857,0.41873454869787297,0.7509345057966683,0.4256025140619188,0.590605275777712,0.41697956685957627,0.9077823358147306,0.580504500649853,0.8789440051353289,0.9182611993906226,0.9373990468833046,0.4985064971901214,0.8404282747507131,0.9375133046187759
1042.4303413,0.8838787016362416,0.9021813299862493,0.9008346491072812,0.7367741381275275,0.5628457843036884,0.23180516106666288,0.89749252281084,0.1482132141099478,0.38047387541224237,0.1910698863288762,0.1996654549441078,0.46785741104539946,0.30767374692102734,0.3022126021905038,0.9401086914131477,0.448198443159035,0.4187555370280549,0.7517060782988866,0.42591015901084983,0.5909769921961704,0.41991261640677446,0.9080451075041699,0.5820059133533726,0.8806418148062516,0.9186170389905736,0.9386848933402241,0.5053664786713677,0.8412452870271923,0.9391976540073739
1047.62060737,0.8835642280781737,0.9023340916563227,0.901013309010463,0.7368907497363744,0.5626098620175409,0.2326306230937207,0.8979586267769814,0.14994473283405277,0.39975539920207775,0.19048616750780833,0.19883271581036985,0.47563359361563695,0.30663478652474274,0.30242714988229735,0.9406099312968094,0.4482377541234171,0.4189558235759788,0.7525843240418483,0.4260293537864944,0.5908923425093662,0.4228614731314241,0.9085628493151863,0.5831843611391038,0.8818180361661518,0.9188391308445278,0.9394764034362061,0.5124668624349996,0.8422410819544438,0.9407839390913969
1052.82979459,0.8835060927506353,0.9023148798972664,0.9008572913476085,0.7369205239173751,0.5623407617409504,0.23373051478202447,0.8976085550573109,0.15199398585996415,0.41868526705402637,0.18991809916572028,0.19840775389227208,0.4829671561145573,0.30575146786517887,0.3025883897253945,0.9409383516396574,0.448065817299989,0.4190588897596231,0.753433258389859,0.42594936396139266,0.5907680181224021,0.42588922778345806,0.9090752641383251,0.5839852855139651,0.8827415100286337,0.9187815853077896,0.9398408002740964,0.5194295630087656,0.8433973715804761,0.9420027076352574
1058.05208946,0.8834268645609417,0.902459345054512,0.9013425199503169,0.737080248649677,0.5619234703952309,0.23495573094253458,0.897212788940424,0.15442664048530008,0.4370368742731221,0.18945318033697145,0.19838451370672514,0.49052749111460975,0.3049409188567761,0.30250720507213724,0.9413182344809286,0.44802000817939414,0.41909778180060575,0.7545025981970379,0.42620898553504616,0.591106993278183,0.4289962506831541,0.9094947602799792,0.5849454470378115,0.883315698195585,0.9187147902900173,0.9401076691956214,0.5265238627869865,0.8446391344277192,0.9429444794249457
1063.2810895,0.8833720971855131,0.9028598260820672,0.9021093821335586,0.7371733838891604,0.5615192365218395,0.23646457743014718,0.8967410384134357,0.15720635397547683,0.45469270882819113,0.18920994281371054,0.1989211951601535,0.4982139800574448,0.30409750050282286,0.3025482997266879,0.9415436703467163,0.44816295540615436,0.41901885928682675,0.7556074136204866,0.4264758946097841,0.5920667564602724,0.4320517937356578,0.9097225157921442,0.5862355007194285,0.8840422545477662,0.9187622655777972,0.940445693929662,0.533879839257981,0.8461084049987613,0.9435965877348353
1068.51675432,0.8834810990260509,0.9031450978623665,0.9026082758315603,0.7373469661016702,0.5612406550672818,0.23830677827830452,0.8963012135229664,0.16028562184327547,0.47142358292769126,0.18902215469065242,0.1998877053614381,0.5057337144042987,0.30317827486596055,0.30284126264089195,0.9415062957076802,0.44846571582025496,0.4187845664672696,0.7566200914091521,0.42662970670364697,0.5932267984266225,0.4353499189174214,0.9100977500928811,0.5876707661423334,0.8847115873875985,0.9189171874020229,0.9408097066667136,0.5411335801108993,0.8472203150296481,0.9438907695185754
1073.75904388,0.88372133460457,0.9032678342501568,0.9022470819756168,0.7375323985459843,0.5609703128946567,0.24035573789877834,0.8957652555613699,0.16358536286421266,0.487055486882099,0.18894306106712933,0.20108075740243142,0.5133405819598993,0.30227929706443,0.30307715922634026,0.9411453896616199,0.44898226685482007,0.41857991743345896,0.7575439248435654,0.4269342278039139,0.5941875342510795,0.4386460135149775,0.9104564221106624,0.589201788203511,0.8852605372443397,0.9189828542230593,0.9410001304526778,0.5482108076662217,0.8483280957718381,0.9440882511003738
1079.00791838,0.8845302266275382,0.9032675631430761,0.9016145993503817,0.7376594274991279,0.560681644340577,0.24250159582240619,0.8952238685074991,0.16722672338140732,0.5015540966627963,0.1890486359943057,0.20275636188248433,0.5211305971655547,0.301483619178323,0.30320465363267096,0.9409695877988501,0.44917297318408417,0.41851004912238,0.7583663449525182,0.42702679689064005,0.5951341401794011,0.44173346619356213,0.9107647397675745,0.5905780223736353,0.8857852865011737,0.9186261497421733,0.9407794566517902,0.5556102428216773,0.8494752680381759,0.9439783936403895
1084.26333836,0.884850906064216,0.9034341919506487,0.901113857295191,0.7376989357177891,0.5604370179452273,0.24474078374347388,0.8944991798665044,0.17116904187398554,0.514845505707806,0.1893353087971701,0.20491054992472524,0.5290994833680278,0.3006760270157283,0.3033374795639272,0.9414367852966539,0.44948575198152846,0.41866464714703816,0.7591605557096086,0.4271907470552322,0.5952909930792213,0.4449557420070463,0.9108189060951781,0.5918610726883291,0.8858846375437657,0.9184167274487414,0.9404708308987004,0.5630296518240993,0.850249534919614,0.9437104649676917
1089.52507305,0.8849007236724138,0.9034899992801637,0.9018256318798523,0.7377632239573624,0.5600321980480565,0.24753101785732493,0.8935354617483076,0.17532678254615142,0.5273605060930515,0.18953799252233985,0.2074355077660049,0.5370794412152835,0.29994365979540716,0.3035905797304696,0.942598948850201,0.4500416193264093,0.4192081841362343,0.7598701547571344,0.42746532025792816,0.5959269072435216,0.44812240512760065,0.9107169095515348,0.5933141740244499,0.88595244015666,0.9178299345718259,0.9397850266986227,0.5700396381654005,0.8508760760545414,0.9433396279078724
1094.78823545,0.8847529778422477,0.9035127419142102,0.9027229099973867,0.7378375987796952,0.5596033161428481,0.2506951440370082,0.892161404144279,0.17974941213459972,0.5388463230154167,0.18993153311726887,0.21028632410430298,0.5451357547967918,0.29937281142712924,0.3040594959806948,0.9430698353551268,0.45042628653690986,0.41980355054730983,0.7603805862121995,0.4279694482590797,0.5964873859036203,0.4510760442058978,0.9109128814066346,0.5950388508641642,0.8861472701985089,0.9167341854557093,0.9389136912918734,0.5771062213211143,0.8513868936578017,0.9429025038932449
1100.05281299,0.8845315961845824,0.9035566048036304,0.9029745747488689,0.7379694971936938,0.5591223802889986,0.2542605518166283,0.8898876003222007,0.18439953218310545,0.5491429246272829,0.1905343676494555,0.21335556367657482,0.5534772499832201,0.2987544459497398,0.30452522398477555,0.943355273893479,0.4510068610560904,0.42050580852985653,0.7609715899820039,0.4284685183539081,0.5967262009308606,0.4540774356624007,0.91082453137956,0.5967566733995308,0.8863911982901131,0.9154563120743572,0.9384168023826349,0.5841106200130959,0.8518997249086271,0.9419733175400782
1105.31879326,0.8845084516492671,0.9036787348234036,0.9032507147984662,0.7380948777431273,0.5585839417192259,0.25815424984014607,0.8874462693528675,0.18918364004152746,0.5584400955868433,0.19124196656118192,0.21655543508710393,0.5621373791807674,0.2981781192031361,0.3048807591570026,0.9435664425791814,0.45179062552068844,0.421219269883796,0.7617109643135261,0.42907338125225297,0.5970331605242616,0.45699417588450714,0.9108309277230809,0.5984547935459749,0.8864840664355087,0.9141438758501506,0.9379758391182095,0.5913136312652362,0.8519751998869725,0.9410673277603014
1110.586164,0.884618403804964,0.9039055241014174,0.9033763473961782,0.7380797671461703,0.5580633514058813,0.2622119433816495,0.8849323353462398,0.19410671620133746,0.5669098121474285,0.1919830803305272,0.21977925070538057,0.5709340104803907,0.29756039042567106,0.30535600963662446,0.9438898113712516,0.45267567174922546,0.4219434010018344,0.7627462775117357,0.429762075375838,0.5971871049947604,0.45989469050076026,0.9104542358345366,0.6002406110922797,0.8868443878641451,0.9129138097331099,0.9373279508996685,0.598225847831209,0.8519785830384821,0.9400268856428874
1115.8549131,0.8844028201022006,0.9039504995913838,0.9035034304616011,0.7381482526723057,0.557536165524495,0.2663382735978808,0.8829075870512396,0.19905817411693943,0.5741938832797869,0.1928381956823179,0.22317647789607054,0.579747979048362,0.2969964966302386,0.30601367005969143,0.9444706289130118,0.453802246434134,0.42240247186916047,0.7638156631700783,0.43055918325669823,0.5972375277162676,0.46298036064715314,0.90962939051004,0.6019361741566182,0.8871112649987772,0.9117749587936389,0.9364111573176869,0.6050391237292744,0.8518411186836956,0.9389352592776257
1121.12502863,0.8845824682835478,0.9039507947576858,0.9034531999578467,0.7381554563313674,0.556801004973834,0.2704385989715871,0.8806456178426179,0.2041704392533936,0.5805411647263286,0.1936748131201684,0.22678974834531557,0.5886460782675507,0.29640221414344603,0.30693292387535803,0.9448902760015825,0.4548423329761986,0.42300275437490187,0.7646623813264877,0.43111602472700755,0.5972879683909473,0.46574348131567406,0.9087964090070346,0.603545910881702,0.8877926390993892,0.9111759028443459,0.9357384179828306,0.6117015697312446,0.8514916912049283,0.9373502392697038
1126.42117712,0.8848759584239798,0.9038976503920577,0.903042258049768,0.7380007490121916,0.5560308226612506,0.27466854344585745,0.8779912561919333,0.2093275453492282,0.586171810246262,0.1945863659675005,0.23028111624416917,0.5980291403882431,0.2958678172573997,0.30786092491951045,0.9453809058224188,0.45571698198675553,0.42397268407950733,0.7647041506448015,0.431745308147205,0.5978592785353857,0.4681294919220948,0.9076013604654427,0.605189337812446,0.8885857999638425,0.9101218459598612,0.9346016944439254,0.6187085655145204,0.8507793275203703,0.9355608962142621
1131.75559815,0.8850129478627001,0.9037040175302199,0.9029283030699194,0.7380095899669935,0.5549131482619136,0.2789850705691426,0.8743379495180132,0.21442613546121086,0.5910575959049185,0.1956195833470758,0.23360370199409597,0.6078918159452746,0.2953368772872097,0.30870874832506945,0.9452769646111332,0.4564845001913466,0.42479607698477095,0.7641961462426367,0.43257752575805375,0.5987248728610172,0.4705838524346117,0.9053323777161297,0.6069323687044007,0.8894182402558102,0.9078018897754454,0.9332760881942782,0.6253359251575363,0.8494836492362664,0.9334660025765831
1137.12876151,0.8851159380289492,0.9035452344740825,0.9025907844106933,0.7381087711933036,0.5535784037321515,0.28342339302440156,0.8688730726677718,0.21949033758763214,0.5951558556850568,0.1968274890121407,0.2369137310909869,0.6182929724777396,0.29476606482227313,0.3095654137359429,0.9453817287087619,0.4575505729240812,0.4256837328379681,0.7636379103142826,0.4334585714379974,0.5988853733148094,0.47281496821210034,0.9018175752295478,0.6084615944314897,0.8898933459097758,0.9043319039891515,0.9315584559936628,0.6315573354307109,0.8474931054561304,0.9308588861799478
1142.54114608,0.8853603637747542,0.903293910236646,0.9022474280009377,0.7382133153127213,0.5519386443534462,0.2880736064227957,0.8603409194554117,0.22457639196553916,0.5990042326580164,0.19827299761970055,0.24033113791726352,0.6283839100196352,0.294240508919722,0.3106168327010974,0.9455757001395974,0.45867780136302794,0.4266965225266101,0.762953918933156,0.43417272936039675,0.5987643789691147,0.47485488415784577,0.8973137648931597,0.6098804134863943,0.8900200622185197,0.9001805202778452,0.9294310863001424,0.6379308257958017,0.8447797406781868,0.927130218316114
1147.99324008,0.8857123733447917,0.90289731981921,0.9024231438848963,0.7381428767115864,0.5502308117123959,0.2929753036223141,0.8463202984476762,0.22961079721061112,0.6023766750262235,0.19991503992396611,0.243568957483671,0.6383548328688169,0.29366344173918074,0.3118832585666429,0.9455540599311894,0.46003434243842367,0.42792741103583304,0.762304161162537,0.43489917749838836,0.5986326063635137,0.476596495822764,0.8921723600850892,0.6114187622213284,0.8897818662519335,0.8949509126129654,0.9263413377943317,0.6443662589250735,0.8412502406272971,0.9221652508758333
