Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
1299.0,0.3272868037223816,0.6241960048675537,0.2171667993068695,0.31256259999999997,0.8138967394828797,0.28544420599937437,0.872454571723938,0.8949520468711853,0.9146112203598022,0.7866034030914306,0.7628137946128846,0.8871068120002746,0.3596688091754913,0.9216446161270142,0.513716208934784,0.47604321837425234,0.47131759524345396,0.6154697895050049,0.5092793822288513,0.9012476205825806,0.6324295282363892,0.8912014126777649,0.8987698197364807,0.9036813259124756,0.7355282068252563,0.5425060153007507,0.4085386276245117,0.8730660080909729
1300.0,0.3277660012245178,0.6239320039749146,0.2170879989862442,0.31338,0.8141922354698181,0.2854520082473755,0.872573971748352,0.8945230841636658,0.9146185517311096,0.7871440052986145,0.7625629901885986,0.886985719203949,0.360029011964798,0.9207680225372314,0.5141720175743103,0.4763445258140564,0.4716469943523407,0.6149489879608154,0.5093259811401367,0.9011480212211609,0.6322583556175232,0.891834020614624,0.8985720276832581,0.9033780097961426,0.7355380058288574,0.5423700213432312,0.40860435366630554,0.8725886940956116
1301.0,0.3283050000667572,0.6234716057777405,0.21716179847717285,0.3140828,0.8144481897354126,0.28551260828971864,0.8726019740104676,0.8939733147621155,0.9141766548156738,0.7882826089859009,0.7622505903244019,0.8868414759635925,0.36043741106987,0.9199676156044007,0.5146966099739074,0.47678024172782896,0.4717713952064514,0.6150913953781127,0.509390389919281,0.9011350154876709,0.6331286430358887,0.8911424160003663,0.8983668208122253,0.903753662109375,0.735515809059143,0.5421940207481384,0.40882455110549926,0.8722554922103882
1302.0,0.32884399890899657,0.6230112075805664,0.2172355979681015,0.3147856,0.8147041440010071,0.2855732083320618,0.872629976272583,0.8934235453605652,0.9137347579002381,0.7894212126731872,0.7619381904602051,0.8866972327232361,0.360845810174942,0.9191672086715699,0.5152212023735047,0.4772159576416016,0.47189579606056214,0.6152338027954102,0.5094547986984252,0.9011220097541809,0.6339989304542542,0.8904508113861084,0.8981616139411926,0.9041293144226075,0.7354936122894287,0.5420180201530457,0.40904474854469297,0.8719222903251648
1303.0,0.329382997751236,0.6225508093833924,0.21730939745903016,0.3154884,0.8149600982666015,0.2856338083744049,0.8726579785346985,0.8928737759590148,0.9132928609848022,0.7905598163604737,0.7616257905960083,0.8865529894828796,0.36125420928001406,0.918366801738739,0.5157457947731018,0.47765167355537413,0.47202019691467284,0.6153762102127075,0.5095192074775696,0.9011090040206909,0.6348692178726196,0.8897592067718506,0.8979564070701599,0.9045049667358398,0.7354714155197144,0.5418420195579529,0.40926494598388674,0.8715890884399414
1304.0,0.3299219965934753,0.6220904111862182,0.2173831969499588,0.3161912,0.8152160525321961,0.28569440841674804,0.8726859807968139,0.8923240065574646,0.9128509640693665,0.79169842004776,0.7613133907318115,0.8864087462425232,0.36166260838508607,0.9175663948059082,0.516270387172699,0.47808738946914675,0.4721445977687836,0.6155186176300049,0.5095836162567139,0.9010959982872009,0.6357395052909851,0.8890676021575927,0.8977512001991272,0.9048806190490722,0.73544921875,0.5416660189628602,0.40948514342308046,0.871255886554718
1305.0,0.3304609954357147,0.6216300129890442,0.21745699644088745,0.316894,0.8154720067977905,0.2857550084590912,0.8727139830589294,0.8917742371559143,0.9124090671539307,0.7928370237350464,0.7610009908676147,0.8862645030021667,0.3620710074901581,0.9167659878730774,0.5167949795722961,0.4785231053829193,0.4722689986228943,0.6156610250473022,0.5096480250358582,0.9010829925537109,0.6366097927093506,0.888375997543335,0.8975459933280945,0.9052562713623047,0.7354270219802856,0.5414900183677673,0.40970534086227417,0.8709226846694946
1306.0,0.3309081971645355,0.6215554118156433,0.21769999861717224,0.3175176,0.8157180786132813,0.285875403881073,0.8724193811416626,0.8910995125770569,0.9122725367546082,0.7935100197792053,0.7605731964111329,0.8859869599342346,0.3623150050640106,0.9162797927856445,0.517377781867981,0.4789793372154236,0.47227360010147096,0.6164408206939698,0.5096374154090881,0.9008547902107239,0.6371453166007995,0.8883965969085693,0.8975675940513611,0.9053109884262085,0.7354656219482422,0.5412620186805726,0.4096639513969421,0.8704317808151245
1307.0,0.3313553988933563,0.6214808106422425,0.21794300079345702,0.3181412,0.815964150428772,0.2859957993030548,0.8721247792243958,0.8904247879981995,0.9121360063552857,0.7941830158233643,0.7601454019546509,0.8857094168663024,0.36255900263786317,0.9157935976982117,0.5179605841636657,0.47943556904792783,0.47227820158004763,0.6172206163406372,0.5096268057823181,0.9006265878677369,0.6376808404922485,0.8884171962738037,0.8975891947746277,0.9053657054901123,0.7355042219161987,0.5410340189933777,0.4096225619316101,0.8699408769607544
1308.0,0.33180260062217715,0.6214062094688415,0.21818600296974183,0.3187648,0.8162102222442627,0.28611619472503663,0.8718301773071289,0.889750063419342,0.9119994759559631,0.7948560118675232,0.759717607498169,0.8854318737983704,0.3628030002117157,0.9153074026107788,0.5185433864593506,0.47989180088043215,0.47228280305862425,0.6180004119873047,0.5096161961555481,0.9003983855247497,0.6382163643836976,0.8884377956390381,0.8976107954978942,0.9054204225540161,0.7355428218841553,0.5408060193061829,0.40958117246627807,0.8694499731063843
1309.0,0.33224980235099794,0.6213316082954407,0.21842900514602662,0.3193884,0.8164562940597534,0.2862365901470184,0.871535575389862,0.8890753388404846,0.9118629455566406,0.7955290079116821,0.759289813041687,0.8851543307304383,0.36304699778556826,0.914821207523346,0.5191261887550354,0.4803480327129364,0.4722874045372009,0.6187802076339721,0.5096055865287781,0.9001701831817627,0.6387518882751465,0.8884583950042725,0.8976323962211609,0.9054751396179199,0.7355814218521118,0.540578019618988,0.40953978300094607,0.8689590692520142
1310.0,0.3326970040798187,0.6212570071220398,0.2186720073223114,0.320012,0.8167023658752441,0.28635698556900024,0.8712409734725952,0.8884006142616272,0.9117264151573181,0.7962020039558411,0.7588620185852051,0.8848767876625061,0.3632909953594208,0.9143350124359131,0.5197089910507202,0.4808042645454407,0.4722920060157776,0.6195600032806396,0.5095949769020081,0.8999419808387756,0.6392874121665955,0.8884789943695068,0.8976539969444275,0.9055298566818237,0.7356200218200684,0.5403500199317932,0.409498393535614,0.868468165397644
1311.0,0.3332632005214691,0.6208250045776367,0.21880260705947877,0.32089300000000004,0.8168243885040283,0.2864329874515533,0.8701203823089599,0.8878343224525451,0.9113345742225647,0.7971639990806579,0.7585646152496338,0.8846688985824585,0.36381539702415466,0.9141260147094726,0.5198225975036621,0.4810789406299591,0.47267040610313416,0.6187962055206299,0.5094971776008606,0.8991829872131347,0.6388886570930481,0.8887861967086792,0.8977429986000061,0.9050803780555725,0.7358836174011231,0.5400240182876587,0.40965335369110106,0.8677512288093567
1312.0,0.33382939696311953,0.6203930020332337,0.21893320679664613,0.321774,0.8169464111328125,0.28650898933410646,0.8689997911453247,0.8872680306434632,0.9109427332878113,0.7981259942054748,0.7582672119140625,0.8844610095024109,0.36433979868888855,0.9139170169830322,0.519936203956604,0.4813536167144775,0.4730488061904907,0.6180324077606201,0.5093993782997132,0.8984239935874939,0.6384899020195007,0.8890933990478516,0.8978320002555847,0.9046308994293213,0.7361472129821778,0.5396980166435241,0.4098083138465881,0.8670342922210693
1313.0,0.3343955934047699,0.6199609994888305,0.21906380653381347,0.322655,0.8170684337615967,0.28658499121665953,0.8678791999816895,0.8867017388343811,0.9105508923530579,0.7990879893302918,0.7579698085784912,0.8842531204223633,0.36486420035362244,0.9137080192565918,0.5200498104095459,0.481628292798996,0.4734272062778473,0.6172686100006104,0.5093015789985657,0.897664999961853,0.6380911469459534,0.8894006013870239,0.8979210019111633,0.9041814208030701,0.7364108085632324,0.5393720149993897,0.4099632740020752,0.866317355632782
1314.0,0.3349617898464203,0.6195289969444275,0.21919440627098083,0.323536,0.8171904563903809,0.28666099309921267,0.8667586088180542,0.8861354470252991,0.9101590514183044,0.8000499844551087,0.7576724052429199,0.8840452313423157,0.3653886020183563,0.9134990215301514,0.5201634168624878,0.4819029688835144,0.47380560636520386,0.6165048122406006,0.5092037796974183,0.8969060063362122,0.637692391872406,0.8897078037261963,0.898010003566742,0.9037319421768188,0.7366744041442871,0.5390460133552551,0.41011823415756227,0.8656004190444946
1315.0,0.3355279862880707,0.6190969944000244,0.2193250060081482,0.324417,0.817312479019165,0.28673699498176575,0.865638017654419,0.885569155216217,0.909767210483551,0.8010119795799255,0.7573750019073486,0.8838373422622681,0.3659130036830902,0.9132900238037109,0.5202770233154297,0.48217764496803284,0.4741840064525604,0.6157410144805908,0.5091059803962708,0.8961470127105713,0.6372936367988586,0.8900150060653687,0.8980990052223206,0.9032824635505676,0.7369379997253418,0.5387200117111206,0.4102731943130493,0.8648834824562073
1316.0,0.3360199868679047,0.6186031937599182,0.21933460533618926,0.3252664,0.817573094367981,0.28687179684638975,0.8634598135948182,0.884702205657959,0.9092978239059448,0.801462185382843,0.7569534063339234,0.8834972143173218,0.36619860529899595,0.912741219997406,0.5206762194633484,0.4826103746891022,0.47460060715675356,0.6160304069519043,0.5089785814285278,0.8948692083358765,0.6372905373573303,0.8899782061576843,0.8978954076766967,0.9036989450454712,0.7368890047073364,0.5383345007896423,0.4104179799556732,0.8636430740356446
1317.0,0.33651198744773864,0.6181093931198121,0.21934420466423035,0.3261158,0.8178337097167969,0.2870065987110138,0.8612816095352173,0.8838352560997009,0.9088284373283386,0.8019123911857605,0.756531810760498,0.8831570863723754,0.36648420691490174,0.912192416191101,0.5210754156112671,0.4830431044101715,0.47501720786094664,0.6163197994232178,0.5088511824607849,0.8935914039611816,0.637287437915802,0.88994140625,0.897691810131073,0.9041154265403748,0.736840009689331,0.5379489898681641,0.41056276559829713,0.8624026656150818
1318.0,0.33700398802757264,0.6176155924797058,0.21935380399227142,0.3269652,0.8180943250656127,0.2871414005756378,0.8591034054756165,0.8829683065414429,0.9083590507507324,0.802362596988678,0.7561102151870728,0.8828169584274292,0.3667698085308075,0.9116436123847962,0.5214746117591857,0.48347583413124084,0.4754338085651398,0.6166091918945312,0.508723783493042,0.8923135995864868,0.6372843384742737,0.8899046063423157,0.8974882125854492,0.9045319080352783,0.7367910146713257,0.5375634789466858,0.410707551240921,0.861162257194519
1319.0,0.3374959886074066,0.6171217918395996,0.2193634033203125,0.3278146,0.8183549404144287,0.28727620244026186,0.8569252014160156,0.8821013569831848,0.9078896641731262,0.8028128027915955,0.7556886196136474,0.8824768304824829,0.3670554101467133,0.9110948085784912,0.5218738079071045,0.4839085638523102,0.47585040926933286,0.6168985843658448,0.5085963845252991,0.891035795211792,0.6372812390327454,0.8898678064346314,0.8972846150398255,0.9049483895301819,0.7367420196533203,0.5371779680252076,0.41085233688354494,0.8599218487739563
1320.0,0.3379879891872406,0.6166279911994934,0.21937300264835358,0.328664,0.8186155557632446,0.28741100430488586,0.8547469973564148,0.8812344074249268,0.90742027759552,0.8032630085945129,0.7552670240402222,0.8821367025375366,0.367341011762619,0.9105460047721863,0.5222730040550232,0.4843412935733795,0.476267009973526,0.6171879768371582,0.5084689855575562,0.8897579908370972,0.637278139591217,0.889831006526947,0.8970810174942017,0.9053648710250854,0.7366930246353149,0.5367924571037292,0.4109971225261688,0.8586814403533936
1321.0,0.33841299414634707,0.6160675883293152,0.21954760253429412,0.3294104,0.8189699292182923,0.2874648034572601,0.8545377969741821,0.8798456192016602,0.9065771460533142,0.8040674090385437,0.7547176241874695,0.881785786151886,0.3676880121231079,0.909965205192566,0.5227563977241516,0.48460161685943604,0.47657960653305054,0.6166743755340576,0.508252990245819,0.8886939883232117,0.6372698307037353,0.8898962020874024,0.8970038175582886,0.9051933884620667,0.7367314219474792,0.536366629600525,0.4114523410797119,0.8566166162490845
1322.0,0.3388379991054535,0.615507185459137,0.21972220242023469,0.33015680000000003,0.8193243026733399,0.2875186026096344,0.8543285965919495,0.8784568309783936,0.9057340145111084,0.8048718094825744,0.7541682243347168,0.8814348697662353,0.3680350124835968,0.9093844056129455,0.52323979139328,0.48486194014549255,0.4768922030925751,0.616160774230957,0.508036994934082,0.8876299858093262,0.6372615218162536,0.8899613976478576,0.8969266176223755,0.9050219058990479,0.7367698192596436,0.5359408020973205,0.411907559633255,0.8545517921447754
1323.0,0.33926300406455995,0.6149467825889587,0.21989680230617523,0.3309032,0.8196786761283874,0.28757240176200866,0.8541193962097168,0.877068042755127,0.9048908829689026,0.8056762099266053,0.7536188244819642,0.8810839533805848,0.36838201284408567,0.9088036060333252,0.5237231850624084,0.4851222634315491,0.4772047996520996,0.6156471729278564,0.507820999622345,0.8865659832954407,0.637253212928772,0.890026593208313,0.8968494176864624,0.904850423336029,0.7368082165718078,0.5355149745941162,0.4123627781867981,0.8524869680404663
1324.0,0.33968800902366636,0.6143863797187805,0.2200714021921158,0.33164960000000004,0.820033049583435,0.28762620091438296,0.8539101958274842,0.8756792545318604,0.9040477514266968,0.806480610370636,0.7530694246292114,0.8807330369949341,0.3687290132045746,0.9082228064537048,0.5242065787315369,0.4853825867176056,0.47751739621162415,0.6151335716247559,0.507605004310608,0.8855019807815552,0.6372449040412903,0.8900917887687683,0.8967722177505493,0.9046789407730103,0.7368466138839722,0.5350891470909118,0.4128179967403412,0.8504221439361572
1325.0,0.3401130139827728,0.6138259768486023,0.22024600207805634,0.332396,0.8203874230384827,0.2876800000667572,0.8537009954452515,0.8742904663085938,0.903204619884491,0.8072850108146667,0.7525200247764587,0.8803821206092834,0.3690760135650635,0.9076420068740845,0.5246899724006653,0.4856429100036621,0.4778299927711487,0.6146199703216553,0.5073890089988708,0.8844379782676697,0.6372365951538086,0.8901569843292236,0.8966950178146362,0.9045074582099915,0.7368850111961365,0.5346633195877075,0.4132732152938843,0.8483573198318481
1326.0,0.34061841368675233,0.6132707834243775,0.22018420100212097,0.3330902,0.8204608798027039,0.2877964019775391,0.8530189990997314,0.8722654342651367,0.9024202585220337,0.8083206057548523,0.7519190192222596,0.880024790763855,0.369388610124588,0.9074550032615661,0.5250389814376831,0.48590158820152285,0.4779327929019928,0.6151739716529846,0.5073912024497986,0.8831945776939392,0.6377675890922546,0.8901545882225037,0.8965108156204223,0.9044719457626342,0.7368500113487244,0.5341166496276856,0.41340561509132384,0.8456870675086975
1327.0,0.34112381339073183,0.6127155900001526,0.2201223999261856,0.33378440000000004,0.8205343365669251,0.2879128038883209,0.8523370027542114,0.8702404022216796,0.9016358971595764,0.8093562006950379,0.7513180136680603,0.8796674609184265,0.36970120668411255,0.9072679996490478,0.525387990474701,0.48616026639938353,0.47803559303283694,0.6157279729843139,0.5073933959007263,0.8819511771202088,0.6382985830307006,0.8901521921157837,0.8963266134262085,0.9044364333152771,0.7368150115013122,0.5335699796676636,0.4135380148887634,0.8430168151855468
1328.0,0.3416292130947113,0.6121603965759277,0.22006059885025026,0.3344786,0.8206077933311462,0.2880292057991028,0.8516550064086914,0.8682153701782227,0.9008515357971192,0.8103917956352233,0.7507170081138611,0.879310131072998,0.3700138032436371,0.9070809960365296,0.5257369995117187,0.4864189445972443,0.478138393163681,0.6162819743156434,0.5073955893516541,0.8807077765464782,0.6388295769691468,0.8901497960090637,0.8961424112319947,0.9044009208679199,0.7367800116539002,0.5330233097076416,0.413670414686203,0.8403465628623963
1329.0,0.3421346127986908,0.6116052031517029,0.21999879777431489,0.33517280000000005,0.8206812500953674,0.2881456077098846,0.8509730100631714,0.8661903381347656,0.9000671744346619,0.8114273905754089,0.7501160025596618,0.8789528012275696,0.3703263998031616,0.9068939924240113,0.5260860085487366,0.48667762279510496,0.47824119329452514,0.6168359756469727,0.5073977828025817,0.8794643759727478,0.6393605709075928,0.8901473999023437,0.8959582090377808,0.9043654084205628,0.736745011806488,0.5324766397476196,0.4138028144836426,0.8376763105392456
1330.0,0.3426400125026703,0.611050009727478,0.21993699669837952,0.335867,0.8207547068595886,0.2882620096206665,0.8502910137176514,0.8641653060913086,0.8992828130722046,0.8124629855155945,0.7495149970054626,0.8785954713821411,0.37063899636268616,0.9067069888114929,0.5264350175857544,0.4869363009929657,0.47834399342536926,0.617389976978302,0.5073999762535095,0.8782209753990173,0.6398915648460388,0.8901450037956238,0.8957740068435669,0.9043298959732056,0.7367100119590759,0.5319299697875977,0.41393521428108215,0.835006058216095
1331.0,0.34309120774269103,0.610558807849884,0.220374196767807,0.33726540000000005,0.820857834815979,0.2882106065750122,0.8470876097679139,0.8619121789932251,0.8982789158821106,0.8131997942924499,0.748715603351593,0.8782579064369201,0.371042799949646,0.9066137909889221,0.5272264122962952,0.48743271827697754,0.4785279929637909,0.6172005772590637,0.5073507785797119,0.8773345828056336,0.6400269150733948,0.88992760181427,0.8956610083580017,0.9046146392822265,0.736681604385376,0.5313839792300781,0.41400524973869324,0.8312615871429443
1332.0,0.34354240298271177,0.61006760597229,0.2208113968372345,0.3386638,0.8209609627723694,0.2881592035293579,0.8438842058181762,0.8596590518951416,0.8972750186920166,0.8139366030693054,0.7479162096977234,0.8779203414916992,0.37144660353660586,0.9065205931663514,0.528017807006836,0.4879291355609894,0.4787119925022125,0.6170111775398255,0.5073015809059143,0.8764481902122497,0.6401622653007507,0.8897101998329162,0.8955480098724365,0.9048993825912476,0.7366531968116761,0.5308379886725586,0.4140752851963043,0.8275171160697937
1333.0,0.34399359822273257,0.609576404094696,0.221248596906662,0.34006220000000004,0.8210640907287597,0.2881078004837036,0.8406808018684387,0.8574059247970581,0.8962711215019226,0.8146734118461609,0.7471168160438537,0.8775827765464783,0.37185040712356565,0.9064273953437805,0.5288092017173767,0.4884255528450012,0.47889599204063416,0.6168217778205871,0.5072523832321167,0.875561797618866,0.6402976155281067,0.8894927978515625,0.8954350113868713,0.9051841259002685,0.736624789237976,0.530291998115039,0.4141453206539154,0.823772644996643
1334.0,0.3444447934627533,0.609085202217102,0.22168579697608948,0.3414606,0.8211672186851502,0.28805639743804934,0.8374773979187011,0.8551527976989746,0.8952672243118286,0.8154102206230164,0.7463174223899841,0.8772452116012573,0.3722542107105255,0.9063341975212097,0.5296005964279175,0.48892197012901306,0.4790799915790558,0.6166323781013489,0.5072031855583191,0.8746754050254821,0.6404329657554626,0.8892753958702088,0.8953220129013062,0.9054688692092896,0.7365963816642761,0.5297460075575195,0.4142153561115265,0.8200281739234925
1335.0,0.34489598870277405,0.6085940003395081,0.22212299704551697,0.342859,0.8212703466415405,0.288004994392395,0.8342739939689636,0.8528996706008911,0.8942633271217346,0.8161470293998718,0.7455180287361145,0.8769076466560364,0.37265801429748535,0.9062409996986389,0.5303919911384583,0.4894183874130249,0.4792639911174774,0.6164429783821106,0.5071539878845215,0.8737890124320984,0.6405683159828186,0.889057993888855,0.895209014415741,0.9057536125183105,0.7365679740905762,0.529200017,0.4142853915691376,0.8162837028503418
1336.0,0.3454333901405334,0.6080710053443908,0.22236439883708953,0.34356800000000004,0.8210137844085693,0.28819599747657776,0.8333943963050843,0.8506017327308655,0.8930931210517883,0.8168058276176453,0.744470226764679,0.8764859199523926,0.373004812002182,0.9058130025863648,0.5306727886199951,0.48979275226593016,0.47948739528656004,0.6166907787322998,0.5071213960647583,0.8729448080062866,0.6405275583267211,0.889208996295929,0.8949862122535706,0.9054268598556519,0.7366845846176148,0.5285920139509521,0.4142614245414734,0.8134818315505982
1337.0,0.34597079157829286,0.6075480103492736,0.22260580062866211,0.344277,0.8207572221755981,0.2883870005607605,0.8325147986412048,0.8483037948608398,0.8919229149818421,0.8174646258354187,0.7434224247932434,0.8760641932487487,0.37335160970687864,0.9053850054740906,0.530953586101532,0.4901671171188354,0.4797107994556427,0.6169385790824891,0.5070888042449951,0.8721006035804748,0.6404868006706238,0.889359998703003,0.8947634100914001,0.9051001071929932,0.7368011951446534,0.5279840109019043,0.4142374575138092,0.8106799602508545
1338.0,0.34650819301605223,0.6070250153541565,0.22284720242023467,0.344986,0.820500659942627,0.28857800364494324,0.8316352009773255,0.8460058569908142,0.8907527089118957,0.8181234240531922,0.7423746228218079,0.875642466545105,0.37369840741157534,0.9049570083618164,0.5312343835830688,0.49054148197174074,0.47993420362472533,0.6171863794326782,0.5070562124252319,0.8712563991546631,0.6404460430145263,0.8895110011100769,0.8945406079292297,0.9047733545303345,0.7369178056716919,0.5273760078528564,0.41421349048614503,0.8078780889511108
1339.0,0.34704559445381167,0.6065020203590393,0.22308860421180726,0.345695,0.8202440977096558,0.288769006729126,0.830755603313446,0.8437079191207886,0.8895825028419495,0.8187822222709655,0.7413268208503723,0.8752207398414612,0.374045205116272,0.9045290112495422,0.5315151810646057,0.490915846824646,0.480157607793808,0.6174341797828674,0.5070236206054688,0.8704121947288513,0.640405285358429,0.8896620035171509,0.8943178057670593,0.9044466018676758,0.7370344161987304,0.5267680048038086,0.4141895234584808,0.8050762176513672
1340.0,0.34758299589157104,0.6059790253639221,0.22333000600337982,0.346404,0.8199875354766846,0.2889600098133087,0.8298760056495667,0.8414099812507629,0.8884122967720032,0.819441020488739,0.7402790188789368,0.8747990131378174,0.37439200282096863,0.9041010141372681,0.5317959785461426,0.49129021167755127,0.4803810119628906,0.6176819801330566,0.5069910287857056,0.8695679903030396,0.6403645277023315,0.8898130059242249,0.8940950036048889,0.9041198492050171,0.737151026725769,0.5261600017547607,0.41416555643081665,0.8022743463516235
1341.0,0.34799699783325194,0.6053086161613465,0.2234642058610916,0.3476208,0.8204320430755615,0.2890288054943085,0.8307048082351685,0.84053475856781,0.8875645279884339,0.8200984120368957,0.7391762137413025,0.8744367361068726,0.37482600212097167,0.9036372065544128,0.5316043853759765,0.4915143609046936,0.4803376078605652,0.6177831888198853,0.5069216251373291,0.8684807896614075,0.6403872847557068,0.8896190047264099,0.8941064000129699,0.904172956943512,0.7371228218078614,0.5255720019340515,0.4143974244594574,0.7997538328170777
1342.0,0.34841099977493284,0.6046382069587708,0.2235984057188034,0.3488376,0.8208765506744384,0.28909760117530825,0.8315336108207703,0.8396595358848572,0.8867167592048645,0.8207558035850525,0.7380734086036682,0.8740744590759277,0.3752600014209747,0.9031733989715576,0.5314127922058105,0.49173851013183595,0.4802942037582397,0.6178843975067139,0.5068522214889526,0.8673935890197754,0.640410041809082,0.889425003528595,0.894117796421051,0.9042260646820068,0.7370946168899536,0.5249840021133423,0.41462929248809816,0.7972333192825317
1343.0,0.3488250017166138,0.603967797756195,0.2237326055765152,0.3500544,0.8213210582733155,0.28916639685630796,0.8323624134063721,0.8387843132019043,0.8858689904212952,0.8214131951332092,0.7369706034660339,0.8737121820449829,0.3756940007209778,0.9027095913887024,0.5312211990356446,0.49196265935897826,0.48025079965591433,0.6179856061935425,0.5067828178405762,0.8663063883781433,0.6404327988624573,0.88923100233078,0.8941291928291321,0.9042791724205017,0.7370664119720459,0.5243960022926331,0.4148611605167389,0.7947128057479859
1344.0,0.3492390036582947,0.6032973885536194,0.223866805434227,0.3512712,0.8217655658721924,0.28923519253730773,0.8331912159919739,0.8379090905189515,0.8850212216377258,0.822070586681366,0.7358677983283997,0.8733499050140381,0.37612800002098085,0.9022457838058472,0.5310296058654785,0.4921868085861206,0.4802073955535889,0.6180868148803711,0.5067134141921997,0.8652191877365112,0.6404555559158325,0.8890370011329651,0.8941405892372132,0.9043322801589966,0.7370382070541381,0.5238080024719238,0.41509302854537966,0.7921922922134399
1345.0,0.3496530055999756,0.6026269793510437,0.22400100529193878,0.352488,0.8222100734710693,0.2893039882183075,0.8340200185775757,0.8370338678359985,0.8841734528541565,0.8227279782295227,0.7347649931907654,0.8729876279830933,0.3765619993209839,0.9017819762229919,0.5308380126953125,0.49241095781326294,0.4801639914512634,0.6181880235671997,0.5066440105438232,0.8641319870948792,0.6404783129692078,0.8888429999351501,0.8941519856452942,0.9043853878974915,0.7370100021362305,0.5232200026512146,0.4153248965740204,0.789671778678894
1346.0,0.35001660585403443,0.6016373872756958,0.22414640486240386,0.3532458,0.8222343921661377,0.2894641876220703,0.8339340090751648,0.8373511910438538,0.8826717019081116,0.8230817794799805,0.7332358002662659,0.872616982460022,0.3767090022563934,0.9004227757453919,0.5314700126647949,0.4927724957466125,0.4804845929145813,0.6177692174911499,0.506591010093689,0.862982988357544,0.6404369115829468,0.8887668013572693,0.8937697887420655,0.9045273900032044,0.7367640018463135,0.5227200031280518,0.41550549268722536,0.7877332925796509
1347.0,0.3503802061080933,0.600647795200348,0.22429180443286895,0.35400360000000003,0.822258710861206,0.28962438702583315,0.8338479995727539,0.837668514251709,0.8811699509620666,0.8234355807304382,0.7317066073417664,0.8722463369369506,0.37685600519180296,0.8990635752677918,0.5321020126342774,0.49313403367996217,0.48080519437789915,0.6173504114151,0.5065380096435547,0.8618339896202087,0.6403955101966858,0.8886906027793884,0.8933875918388366,0.9046693921089173,0.7365180015563965,0.522220003604889,0.4156860888004303,0.7857948064804077
1348.0,0.3507438063621521,0.599658203125,0.22443720400333406,0.3547614,0.8222830295562744,0.2897845864295959,0.833761990070343,0.8379858374595642,0.8796682000160218,0.823789381980896,0.7301774144172668,0.8718756914138794,0.37700300812721255,0.8977043747901916,0.5327340126037597,0.49349557161331176,0.48112579584121706,0.6169316053390503,0.5064850091934204,0.8606849908828735,0.6403541088104248,0.8886144042015076,0.8930053949356079,0.9048113942146301,0.7362720012664795,0.521720004081726,0.41586668491363527,0.7838563203811646
1349.0,0.3511074066162109,0.5986686110496521,0.22458260357379914,0.35551920000000004,0.8223073482513428,0.28994478583335875,0.8336759805679321,0.8383031606674194,0.8781664490699768,0.8241431832313537,0.7286482214927673,0.8715050458908081,0.3771500110626221,0.8963451743125915,0.5333660125732422,0.4938571095466614,0.4814463973045349,0.6165127992630005,0.5064320087432861,0.8595359921455383,0.6403127074241638,0.8885382056236267,0.8926231980323791,0.904953396320343,0.7360260009765625,0.5212200045585632,0.4160472810268402,0.7819178342819214
1350.0,0.3514710068702698,0.5976790189743042,0.22472800314426422,0.356277,0.8223316669464111,0.2901049852371216,0.8335899710655212,0.8386204838752747,0.8766646981239319,0.8244969844818115,0.7271190285682678,0.8711344003677368,0.3772970139980316,0.8949859738349915,0.5339980125427246,0.494218647480011,0.4817669987678528,0.6160939931869507,0.5063790082931519,0.8583869934082031,0.6402713060379028,0.8884620070457458,0.8922410011291504,0.9050953984260559,0.7357800006866455,0.5207200050354004,0.41622787714004517,0.7799793481826782
1351.0,0.35192700624465945,0.5966572165489197,0.2247246026992798,0.357236,0.822387969493866,0.2901647865772247,0.833372175693512,0.8388441443443299,0.8753343224525452,0.8249785900115967,0.7259936213493348,0.87065509557724,0.37744120955467225,0.8914487838745118,0.5337916135787963,0.4947423875331879,0.48161559700965884,0.6167233943939209,0.5065210103988648,0.8569375991821289,0.6403715014457703,0.8878664016723633,0.8918280005455017,0.9045016050338746,0.7360440015792846,0.5202833414077759,0.4166449546813965,0.7783249378204345
1352.0,0.35238300561904906,0.5956354141235352,0.22472120225429534,0.358195,0.8224442720413208,0.29022458791732786,0.8331543803215027,0.839067804813385,0.8740039467811584,0.8254601955413818,0.7248682141304016,0.8701757907867431,0.3775854051113129,0.887911593914032,0.5335852146148682,0.49526612758636473,0.48146419525146483,0.6173527956008911,0.5066630125045777,0.8554882049560547,0.6404716968536377,0.8872707962989808,0.891414999961853,0.9039078116416931,0.7363080024719239,0.5198466777801514,0.4170620322227478,0.7766705274581909
